0,cumulative_return
2022-01-03,0.005645814530218063
2022-01-04,0.009494054496390625
2022-01-05,0.003141381694653056
2022-01-06,-0.011249316494939987
2022-01-07,-0.013893331710813195
2022-01-10,-0.019226377984317256
2022-01-11,-0.013958451449968545
2022-01-12,-0.007810159768843028
2022-01-13,-0.008588885684576053
2022-01-14,-0.02430687279473498
2022-01-18,-0.03500380042183471
2022-01-19,-0.03315398747345599
2022-01-20,-0.03795864769271562
2022-01-21,-0.057430472944078104
2022-01-24,-0.07726235965186601
2022-01-25,-0.07894914539483644
2022-01-26,-0.07047332700088471
2022-01-27,-0.07149956817812686
2022-01-28,-0.07435050386949582
2022-01-31,-0.05470788695988349
2022-02-01,-0.040934516548670086
2022-02-02,-0.028898491332303378
2022-02-03,-0.04159040879233944
2022-02-04,-0.04801507593672272
2022-02-07,-0.04835846698145607
2022-02-08,-0.05014961086358205
2022-02-09,-0.03830973452031339
2022-02-10,-0.041303135916019196
2022-02-11,-0.05113932206885452
2022-02-14,-0.07102105656105484
2022-02-15,-0.06045243070198447
2022-02-16,-0.06187679907023236
2022-02-17,-0.06669344795506471
2022-02-18,-0.0755773093736104
2022-02-22,-0.08246869215092789
2022-02-23,-0.08712861573050912
2022-02-24,-0.09753542720656494
2022-02-25,-0.0791535299394942
2022-02-28,-0.08066951520205268
2022-03-01,-0.08076607964528604
2022-03-02,-0.07789278382487241
2022-03-03,-0.07341008874472355
2022-03-04,-0.08579372940874441
2022-03-07,-0.09262779534283205
2022-03-08,-0.10167525829372848
2022-03-09,-0.09626709633175257
2022-03-10,-0.10287567891237703
2022-03-11,-0.0968583403695712
2022-03-14,-0.10464756739260361
2022-03-15,-0.09769437357645872
2022-03-16,-0.0782030864202522
2022-03-17,-0.07029681941109889
2022-03-18,-0.058667685857989205
2022-03-21,-0.05317024752371424
2022-03-22,-0.046501730607305
2022-03-23,-0.05303030480357518
2022-03-24,-0.052755630044209356
2022-03-25,-0.0456904481483249
2022-03-28,-0.042638649458589306
2022-03-29,-0.02598252133371204
2022-03-30,-0.027412054801825403
2022-03-31,-0.03257383621001353
2022-04-01,-0.040801007409331236
2022-04-04,-0.036299748510220886
2022-04-05,-0.03372584113211219
2022-04-06,-0.04751782809125127
2022-04-07,-0.04249470706693903
2022-04-08,-0.04235355744698288
2022-04-11,-0.05096748191942646
