0,return
2022-01-03,0.00426683477941708
2022-01-04,0.006508485853956427
2022-01-05,-0.0045789220179533055
2022-01-06,-0.011539322452837227
2022-01-07,-0.0015681013944295324
2022-01-10,-0.00834004969643858
2022-01-11,0.004838538519442951
2022-01-12,0.005457492806625933
2022-01-13,0.0012695531919973226
2022-01-14,-0.014807035511046883
2022-01-18,-0.010357675634044492
2022-01-19,0.001575125485623509
2022-01-20,-0.004629036847668614
2022-01-21,-0.016806827525726112
2022-01-24,-0.018633589081535194
2022-01-25,-0.001046325815748996
2022-01-26,0.008809210339582487
2022-01-27,0.000853573977298175
2022-01-28,-0.00014651693183132485
2022-01-31,0.01590757822739327
2022-02-01,0.008196396611056088
2022-02-02,0.00794975355884138
2022-02-03,-0.008657460880879559
2022-02-04,-0.003632178798979178
2022-02-07,0.00027466065800657824
2022-02-08,0.0035772466175096043
2022-02-09,0.010217894700006874
2022-02-10,-0.002285991432408009
2022-02-11,-0.009539661160942254
2022-02-14,-0.01762398416021456
2022-02-15,0.01188688042846611
2022-02-16,-0.00042145444405139454
2022-02-17,-0.0016810656128612776
2022-02-18,-0.00749384086354571
2022-02-22,-0.008802644990080497
2022-02-23,-0.0061124484498977305
2022-02-24,-0.01473681542317689
2022-02-25,0.02131325283651374
2022-02-28,-0.002112731788273721
2022-03-01,0.0008266394665764724
2022-03-02,0.003796360490805039
2022-03-03,0.005616711188626992
2022-03-04,-0.012037181734702437
2022-03-07,-0.0070298494163331
2022-03-08,-0.013038989602483295
2022-03-09,0.002414425523452136
2022-03-10,-0.005819159367543795
2022-03-11,0.007586607192196583
2022-03-14,-0.009379806171668063
2022-03-15,0.00676129211636735
2022-03-16,0.019579364056827378
2022-03-17,0.00566743574466084
2022-03-18,0.014395148120866076
2022-03-21,0.00496994717107978
2022-03-22,0.005316497317140975
2022-03-23,-0.006278207683428535
2022-03-24,0.0002659968927341679
2022-03-25,0.007025899955083201
2022-03-28,0.001286843197072052
2022-03-29,0.016332141882717005
2022-03-30,-0.0015082321167387358
2022-03-31,-0.004048518596862144
2022-04-01,-0.0084597572926428
2022-04-04,0.005784391625084685
2022-04-05,0.0038895476693006606
2022-04-06,-0.015589160020783881
2022-04-07,-2.0309653684718915e-05
2022-04-08,0.002207075105315053
2022-04-11,-0.0077118126107156544
2022-04-12,-0.0014622524480886405
2022-04-13,-0.003602077838155603
2022-04-14,0.007529421831763173
2022-04-18,-0.011051163664891835
2022-04-19,0.008097308933135582
2022-04-20,0.009602864500049846
2022-04-21,0.0031670788231886048
2022-04-22,-0.02844837782170265
2022-04-25,-0.01870709437011292
2022-04-26,-0.0036747241958762222
2022-04-27,-0.006439527025480822
2022-04-28,0.015090824185573462
2022-04-29,-0.005922196837837513
2022-05-02,-0.020931323799000114
2022-05-03,0.0019297482669098842
2022-05-04,0.017696511559346755
2022-05-05,-0.007066424556232408
2022-05-06,-0.02118181965010988
2022-05-09,-0.011864941438620182
2022-05-10,0.0008704024969061592
2022-05-11,-0.007193178131766713
2022-05-12,-0.017646003173448638
2022-05-13,0.014483046649386974
2022-05-16,0.005219222727483452
2022-05-17,0.010585216240013334
2022-05-18,-0.016179450755948205
2022-05-19,-0.03272090708172821
2022-05-20,0.0006315237470615782
2022-05-23,0.012067590148869352
2022-05-24,-0.0011585502358642925
2022-05-25,0.008304446340160402
2022-05-26,0.018293299155626955
2022-05-27,0.012289857310949
2022-05-31,0.00881509117669044
2022-06-01,0.004663662268650899
2022-06-02,8.145312535508742e-05
2022-06-03,-0.004337535740844209
2022-06-06,0.003214533622632506
2022-06-07,-0.006856681385843583
2022-06-08,0.0018800880473417592
2022-06-09,-0.005281343194115281
2022-06-10,-0.03266422831072848
2022-06-13,-0.02998379036101917
2022-06-14,-0.008885957682422703
2022-06-15,0.008366477621982758
2022-06-16,-0.023965879374966286
2022-06-17,0.0022974875029315145
2022-06-21,0.019363118739469845
2022-06-22,0.0009548460289281837
2022-06-23,0.005861696036154621
2022-06-24,0.02227646148210313
2022-06-27,0.004931949612125408
2022-06-28,0.0008254945349205026
2022-06-29,-0.024558740981391977
2022-06-30,-0.010165078522922194
2022-07-01,0.0038155632383831423
2022-07-05,0.0038910018963339036
2022-07-06,0.01011910982435922
2022-07-07,0.006078749101243296
2022-07-08,0.0027950908777744296
2022-07-11,-0.005249527608509905
2022-07-12,-0.00015609208342277317
2022-07-13,-0.01254767744311604
2022-07-14,-0.008289136119624835
2022-07-15,0.021894077746427765
2022-07-18,0.00989238473377952
2022-07-19,0.0053558057995712035
2022-07-20,0.01303120742401496
2022-07-21,-0.0023827105046918752
2022-07-22,0.0035738011226051107
2022-07-25,-0.007964154701218288
2022-07-26,-0.005812132958965901
2022-07-27,0.011883197268399629
2022-07-28,0.011864863533753205
2022-07-29,0.014853650926076708
2022-08-01,0.0030633565612311706
2022-08-02,-0.005400140779729733
2022-08-03,0.005507107468752821
2022-08-04,0.0006378113326930751
2022-08-05,-0.005120614631142925
2022-08-08,0.0067882183920323375
2022-08-09,-0.00955939494960339
