0,drawdown
2020-06-01,0.0
2020-06-02,-0.00021954616971320284
2020-06-03,0.0
2020-06-04,-0.0015199856777227128
2020-06-05,-0.005644513799095474
2020-06-08,-0.006155017596143342
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,-0.010324534909517014
2020-06-12,-0.031644202488577355
2020-06-15,-0.04245904318746574
2020-06-16,0.0
2020-06-17,-0.006259158018796285
2020-06-18,-0.009840168775967384
2020-06-19,-0.004301957608155771
2020-06-22,-0.01196538735770003
2020-06-23,-0.005706176935674989
2020-06-24,-0.020096522322847754
2020-06-25,-0.023897521728791227
2020-06-26,-0.022869338834218156
2020-06-29,-0.02836552017381677
2020-06-30,-0.007350962058670363
2020-07-01,-0.0002908238414813802
2020-07-02,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,0.0
2020-07-09,0.0
2020-07-10,0.0
2020-07-13,0.0
2020-07-14,-0.021797179933421562
2020-07-15,-0.014258294918251146
2020-07-16,-0.01957191785837309
2020-07-17,-0.009737787076653848
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,0.0
2020-07-24,-0.002262545795137516
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,-0.004164244680090801
2020-07-31,-0.013454158255430393
2020-08-03,-0.009834972317227186
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,-0.003639029529090232
2020-08-07,-0.005237298384181299
2020-08-10,-0.009612324973881536
2020-08-11,-0.021453471392785528
2020-08-12,-0.0063932465665546
2020-08-13,-0.0023720073214296145
2020-08-14,-0.0027795159156337457
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,-0.004029785536342478
2020-08-20,-0.0032559291309839367
2020-08-21,0.0
2020-08-24,0.0
2020-08-25,-0.0007350429446034701
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,-0.002838062411708031
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,-0.01092133854197308
2020-09-04,-0.033218591944901066
2020-09-08,-0.057238618247387296
2020-09-09,-0.044472780782580656
2020-09-10,-0.04620097988507732
2020-09-11,-0.0605125157572437
2020-09-14,-0.04722030727724491
2020-09-15,-0.03188007031182727
2020-09-16,-0.035305607111077664
2020-09-17,-0.051674206958040036
2020-09-18,-0.04434293300588765
2020-09-21,-0.04780974844473895
2020-09-22,-0.046504461692824295
2020-09-23,-0.052210297118723714
2020-09-24,-0.06224328609750596
2020-09-25,-0.05563372068246153
2020-09-28,-0.04183936077440109
2020-09-29,-0.04332425072514501
2020-09-30,-0.03572469471861317
2020-10-01,-0.02526016470077519
2020-10-02,-0.0338199139015577
2020-10-05,-0.029325877829280755
2020-10-06,-0.02384482234849683
2020-10-07,-0.016907528264578975
2020-10-08,-0.00447680163155606
2020-10-09,0.0
2020-10-12,0.0
2020-10-13,-0.004180119606455923
2020-10-14,-0.007629446230798753
2020-10-15,-0.022022901819824914
2020-10-16,-0.014081310072469377
2020-10-19,-0.017264245165521608
2020-10-20,-0.029835284346970692
2020-10-21,-0.0339081857261363
2020-10-22,-0.034948445068402334
2020-10-23,-0.031678389510845895
2020-10-26,-0.03384049334093575
2020-10-27,-0.043678765655961405
2020-10-28,-0.06072724519873929
2020-10-29,-0.06851840023763645
2020-10-30,-0.07714737953120632
2020-11-02,-0.07204981480172734
2020-11-03,-0.05843319919531054
2020-11-04,-0.012457215242322461
2020-11-05,-0.010678726711612074
2020-11-06,-0.007108027621742341
2020-11-09,0.0
2020-11-10,-0.027628972984533817
2020-11-11,-0.025097962833735
2020-11-12,-0.028720830649899942
2020-11-13,-0.02681365169468608
2020-11-16,-0.020727101365301315
2020-11-17,-0.01726548744409495
2020-11-18,-0.01751398947030991
2020-11-19,-0.015181268225345601
2020-11-20,-0.008393564133798215
2020-11-23,-0.007400100368569529
2020-11-24,-0.006810156581364302
2020-11-25,-0.003886956007124742
2020-11-27,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,-0.004188125446280111
2020-12-03,-0.007969521835482718
2020-12-04,-0.007519768831966034
2020-12-07,-0.0004101036046403328
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,-0.0036629285213370943
2020-12-11,-0.005777916882401479
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-21,-0.015880303196163292
2020-12-22,-0.021367264094745653
2020-12-23,-0.025070205537775836
2020-12-24,-0.024447571370825205
2020-12-28,-0.01792651838579229
2020-12-29,-0.018469855123283807
2020-12-30,-0.015653249458941865
2020-12-31,-0.013491588385261544
2021-01-04,0.0
2021-01-05,-0.01176566205110241
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-11,0.0
2021-01-12,-0.00686289181882338
2021-01-13,-0.010052877088976064
2021-01-14,-0.011055743603926693
2021-01-15,-0.01276787292775361
2021-01-19,-0.006158430268830339
2021-01-20,-0.0008517197768507234
2021-01-21,0.0
2021-01-22,0.0
2021-01-25,0.0
2021-01-26,0.0
2021-01-27,-0.013038060898433623
2021-01-28,-0.023232601260855357
2021-01-29,-0.02180123040455495
2021-02-01,-0.031686846592885565
2021-02-02,-0.02710938997142731
2021-02-03,-0.03653188252089212
2021-02-04,-0.03882269167784125
2021-02-05,-0.034658429566921334
2021-02-08,-0.022435219766971493
2021-02-09,-0.023684344736408902
2021-02-10,-0.024608669014752227
2021-02-11,-0.026296380161391908
2021-02-12,-0.02177779202146435
2021-02-16,-0.020926653875979806
2021-02-17,-0.030620074593750934
2021-02-18,-0.040859933242404556
2021-02-19,-0.044968195687856816
2021-02-22,-0.06207742148184392
2021-02-23,-0.07150119333928195
2021-02-24,-0.06665414730065145
2021-02-25,-0.07038210112622723
2021-02-26,-0.07746579808645149
2021-03-01,-0.07127275603441297
2021-03-02,-0.06915691915816402
2021-03-03,-0.0869070279063604
2021-03-04,-0.09863710437996664
2021-03-05,-0.10266610867405335
2021-03-08,-0.0966418151755597
2021-03-09,-0.08610672705902767
2021-03-10,-0.08269141569132221
2021-03-11,-0.08069411231872059
2021-03-12,-0.07944175111188956
2021-03-15,-0.09142875069457834
2021-03-16,-0.09080571258453884
2021-03-17,-0.09905932124843353
2021-03-18,-0.10978910260201069
2021-03-19,-0.1160129722382639
2021-03-22,-0.10589430397716848
2021-03-23,-0.1010056617648194
2021-03-24,-0.11050071866215827
2021-03-25,-0.11494250773859804
2021-03-26,-0.10566571803968283
2021-03-29,-0.09951736425516045
2021-03-30,-0.10293534333333942
2021-03-31,-0.09190491348650931
2021-04-01,-0.08680701868657248
2021-04-05,-0.07990224072589824
2021-04-06,-0.07883786501359047
2021-04-07,-0.08206964373297443
2021-04-08,-0.07728472034194944
2021-04-09,-0.07787212803748023
2021-04-12,-0.07788551825182266
2021-04-13,-0.07021105529885352
2021-04-14,-0.07177251419735342
2021-04-15,-0.05941199965535926
2021-04-16,-0.053744056067349555
2021-04-19,-0.0575665989188342
2021-04-20,-0.053782616766409386
2021-04-21,-0.0518790696471878
2021-04-22,-0.053480509992464786
