0,drawdown
2022-01-03,0.0
2022-01-04,-0.00042117739840341617
2022-01-05,-0.009946008540479667
2022-01-06,-0.023698947828840744
2022-01-07,-0.031966055857496345
2022-01-10,-0.04307328023190571
2022-01-11,-0.03614683153415288
2022-01-12,-0.027617237775870884
2022-01-13,-0.029971376648473935
2022-01-14,-0.04627890328586126
2022-01-18,-0.060411502987055554
2022-01-19,-0.05241592630467584
2022-01-20,-0.0597049257870792
2022-01-21,-0.0708080438897849
2022-01-24,-0.08336036243987588
2022-01-25,-0.08634068745503665
2022-01-26,-0.07020152126338908
2022-01-27,-0.06762218209774651
2022-01-28,-0.07468941278369712
2022-01-31,-0.0645407202211038
2022-02-01,-0.058532149425143176
2022-02-02,-0.04716223939617026
2022-02-03,-0.04605625012736847
2022-02-04,-0.05531727763610517
2022-02-07,-0.05594019482460355
2022-02-08,-0.05500087761530503
2022-02-09,-0.04227895264252535
2022-02-10,-0.049036998055116965
2022-02-11,-0.05975696715593737
2022-02-14,-0.0790155761937672
2022-02-15,-0.06797476156220161
2022-02-16,-0.0687349724254267
2022-02-17,-0.07075495143315613
2022-02-18,-0.07608369738581666
2022-02-22,-0.08693450221339971
2022-02-23,-0.09675190631659325
2022-02-24,-0.10748867705415743
2022-02-25,-0.08989826764514663
2022-02-28,-0.0872767907528359
2022-03-01,-0.08145724831968348
2022-03-02,-0.06771602949353495
2022-03-03,-0.06329907287685466
2022-03-04,-0.0691263614810741
2022-03-07,-0.07340611519625284
2022-03-08,-0.0787153122612052
2022-03-09,-0.0773649188451132
2022-03-10,-0.08162762391175782
2022-03-11,-0.07552413470637764
2022-03-14,-0.08358445960695438
2022-03-15,-0.07644243545012219
2022-03-16,-0.0617031274520381
2022-03-17,-0.058584684835074174
2022-03-18,-0.04600028672064904
2022-03-21,-0.04097928824641639
2022-03-22,-0.041405696010461845
2022-03-23,-0.047293373043721054
2022-03-24,-0.04714379822981607
2022-03-25,-0.0421225179929996
2022-03-28,-0.04321165147671435
2022-03-29,-0.030756604219039585
2022-03-30,-0.03277044452541922
2022-03-31,-0.03792518969152314
2022-04-01,-0.04885779803425894
2022-04-04,-0.04598350141493801
2022-04-05,-0.03788286587738554
2022-04-06,-0.05137267302470705
2022-04-07,-0.04898887542495256
2022-04-08,-0.04198862947959847
2022-04-11,-0.0544896873449181
2022-04-12,-0.05659005362387093
2022-04-13,-0.06234801577132787
2022-04-14,-0.056254501583284156
2022-04-18,-0.07017350438138692
2022-04-19,-0.06389327901474628
2022-04-20,-0.04864910821690693
2022-04-21,-0.0452670616393841
2022-04-22,-0.07451170798026174
