Date,cumulative_return
2022-01-03,0.006297149937496638
2022-01-04,-0.001770153791615603
2022-01-05,-0.021052991447345182
2022-01-06,-0.023673210655308696
2022-01-07,-0.03002666903361595
2022-01-10,-0.029119179144213914
2022-01-11,-0.020601848659063116
2022-01-12,-0.020082346568033982
2022-01-13,-0.037103366704595575
2022-01-14,-0.036215018503912844
2022-01-18,-0.05785328595680106
2022-01-19,-0.06586904106458558
2022-01-20,-0.07693919485266443
2022-01-21,-0.10443771329807028
2022-01-24,-0.10276581142832875
2022-01-25,-0.118799069205763
2022-01-26,-0.12246348887925362
2022-01-27,-0.12505751848936597
2022-01-28,-0.10471893277833111
2022-01-31,-0.07841585657518946
2022-02-01,-0.06638310667772385
2022-02-02,-0.06635168772550448
2022-02-03,-0.09297552368673856
2022-02-04,-0.08294338012813773
2022-02-07,-0.08604058373714563
2022-02-08,-0.07947284193821036
2022-02-09,-0.06384463063322099
2022-02-10,-0.08270939671069932
2022-02-11,-0.10410814636351817
2022-02-14,-0.10624436298682993
2022-02-15,-0.0864365375177355
2022-02-16,-0.08822612014689368
2022-02-17,-0.110032372140203
2022-02-18,-0.11995255176409692
2022-02-22,-0.13211628760604432
2022-02-23,-0.14673070883117045
2022-02-24,-0.12375761768820259
2022-02-25,-0.10882360876510333
2022-02-28,-0.10712350450035968
2022-03-01,-0.1175823225588295
2022-03-02,-0.10480668624386347
2022-03-03,-0.11334599468372564
2022-03-04,-0.12050212774757096
2022-03-07,-0.14227739162197883
2022-03-08,-0.1465712821691726
2022-03-09,-0.1243947415461919
2022-03-10,-0.1243708878757478
2022-03-11,-0.1357147545681746
2022-03-14,-0.14395610905920087
2022-03-15,-0.12283188712807125
2022-03-16,-0.09977541757734676
2022-03-17,-0.08422730607623652
2022-03-18,-0.07041821850246832
2022-03-21,-0.07484793187362904
2022-03-22,-0.06270093791359943
2022-03-23,-0.07635665779483802
2022-03-24,-0.06250143858025614
2022-03-25,-0.06234720072950739
2022-03-28,-0.049166270426152514
2022-03-29,-0.03502934327115692
2022-03-30,-0.04169253892440894
2022-03-31,-0.053256193344610736
2022-04-01,-0.050497869037561705
2022-04-04,-0.037824319621614144
2022-04-05,-0.052761482437890694
2022-04-06,-0.06020180495161076
2022-04-07,-0.053352915246872135
2022-04-08,-0.058463051575722735
2022-04-11,-0.0736526108657879
2022-04-12,-0.0795910948273515
2022-04-13,-0.06583443819025703
2022-04-14,-0.07780355719851972
2022-04-18,-0.08282362149212796
2022-04-19,-0.06535190043873451
2022-04-20,-0.0824650872503242
2022-04-21,-0.09846202553360617
2022-04-22,-0.12295239189913287
2022-04-25,-0.11708017441397345
2022-04-26,-0.14525847199435404
2022-04-27,-0.14971508687143986
2022-04-28,-0.12396252374008376
2022-04-29,-0.1575939205880914
2022-05-02,-0.15176503184693757
2022-05-03,-0.1510023333763929
2022-05-04,-0.1291148692805717
2022-05-05,-0.16327868885699282
2022-05-06,-0.1755323243260799
2022-05-09,-0.21095021556150806
2022-05-10,-0.20700299592644356
2022-05-11,-0.22583356489729778
2022-05-12,-0.21561531957023383
2022-05-13,-0.18967292381863943
2022-05-16,-0.19518672134348747
2022-05-17,-0.18442230885744382
2022-05-18,-0.2230900085285079
2022-05-19,-0.22408578649011313
2022-05-20,-0.22227708542755953
2022-05-23,-0.21085827841700977
2022-05-24,-0.22121382168623793
2022-05-25,-0.2091434691744981
2022-05-26,-0.18949880559830334
2022-05-27,-0.16910597136552552
2022-05-31,-0.17409985927292737
2022-06-01,-0.18250598457915213
2022-06-02,-0.15715480939174387
2022-06-03,-0.17297807392765152
2022-06-06,-0.17235075690075552
2022-06-07,-0.16590338149243622
2022-06-08,-0.1708899983561477
2022-06-09,-0.19170613058103736
2022-06-10,-0.21590643802064624
2022-06-13,-0.24854661172745762
2022-06-14,-0.24872175043164657
2022-06-15,-0.2334441187952958
