Date,drawdown
2019-06-03,0.0
2019-06-04,0.0
2019-06-05,0.0
2019-06-06,0.0
2019-06-07,0.0
2019-06-10,-0.0035494984150619135
2019-06-11,-0.002980640170248794
2019-06-12,-0.0027967303671732058
2019-06-13,0.0
2019-06-14,-0.0002734752495540116
2019-06-17,-0.0007090541486594049
2019-06-18,0.0
2019-06-19,0.0
2019-06-20,0.0
2019-06-21,-0.0031233535626670195
2019-06-24,-0.0002557312745229412
2019-06-25,-0.0024839821974679266
2019-06-26,-0.004985685760249603
2019-06-27,-0.0014888939827827352
2019-06-28,-0.0005770100359889785
2019-07-01,-0.002139503269698473
2019-07-02,0.0
2019-07-03,0.0
2019-07-05,-0.005858844110032124
2019-07-08,-0.007276735069398743
2019-07-09,-0.00740591001848101
2019-07-10,-0.0033351554192407873
2019-07-11,-0.007911696624887665
2019-07-12,-0.0061408654962124
2019-07-15,-0.005122160164603096
2019-07-16,-0.008054196311144568
2019-07-17,-0.004895428224624743
2019-07-18,-0.0024632126018643286
2019-07-19,-0.005405726601127481
2019-07-22,-0.003910310364757863
2019-07-23,-0.003441851658343653
2019-07-24,-0.0018401605876161575
2019-07-25,-0.004802026799275549
2019-07-26,-0.00367834911748699
2019-07-29,-0.003483082253749159
2019-07-30,-0.0023719938755840664
2019-07-31,-0.0034237639742923376
2019-08-01,0.0
2019-08-02,0.0
2019-08-05,-0.0003676627183991643
2019-08-06,0.0
2019-08-07,0.0
2019-08-08,0.0
2019-08-09,-0.0016534511163793786
2019-08-12,0.0
2019-08-13,0.0
2019-08-14,-0.0006196737939925256
2019-08-15,0.0
2019-08-16,0.0
2019-08-19,-0.0023166528271084674
2019-08-20,0.0
2019-08-21,0.0
2019-08-22,-0.0015655693110542268
2019-08-23,0.0
2019-08-26,0.0
2019-08-27,0.0
2019-08-28,0.0
2019-08-29,-0.0005034788799798129
2019-08-30,-0.0024215669842442278
2019-09-03,-0.0021915150199062206
2019-09-04,0.0
2019-09-05,-0.0055015383289083175
2019-09-06,-0.004431756714796231
2019-09-09,-0.008349312650376528
2019-09-10,-0.013826948571467712
2019-09-11,-0.014007803291221421
