0,return
2020-06-01,0.0009716594203865818
2020-06-02,0.0033679858255478336
2020-06-03,0.011852810537962957
2020-06-04,0.0022451176575966334
2020-06-05,0.01786775795692055
2020-06-08,0.0018666819124108494
2020-06-09,0.002979770348417449
2020-06-10,0.004031564157154334
2020-06-11,-0.024020211123544345
2020-06-12,-0.01792075915418346
2020-06-15,-0.006488577664367469
2020-06-16,0.028392284361029144
2020-06-17,-0.003640009280118232
2020-06-18,-0.004446210830625657
2020-06-19,0.010877893842025364
2020-06-22,-0.00897202706228012
2020-06-23,0.013302819582372647
2020-06-24,-0.01450144853059465
2020-06-25,-0.006151577319725528
2020-06-26,-0.0016834967053374935
2020-06-29,-0.007956564027525021
2020-06-30,0.015627034752820172
2020-07-01,0.014733840003082447
2020-07-02,0.007919161370261994
2020-07-06,0.009179819602024256
2020-07-07,0.0017513495657005855
2020-07-08,-0.0006871294852832092
2020-07-09,0.004440453305070925
2020-07-10,0.0016051894938788986
2020-07-13,0.015543743602622452
2020-07-14,-0.012160029719693839
2020-07-15,0.01355542783140322
2020-07-16,-0.006577431876197175
2020-07-17,0.004583733170003453
2020-07-20,0.006751455142882884
2020-07-21,0.008875142598144899
2020-07-22,-0.0022892689223662785
2020-07-23,0.003238088830759181
2020-07-24,-0.009702999269066766
2020-07-27,0.002444045784481421
2020-07-28,0.0029957900491729217
2020-07-29,0.0025525780439214045
2020-07-30,-0.0013149736120888647
2020-07-31,0.0027457352148393876
2020-08-03,0.008298923930551726
2020-08-04,0.003131321914128536
2020-08-05,0.008798870492465671
2020-08-06,0.003910500315849516
2020-08-07,0.0029834656935025547
2020-08-10,0.0015883212611508164
2020-08-11,0.002872777920960929
2020-08-12,0.00325321485794084
2020-08-13,-0.0025724278244628265
2020-08-14,-0.001837724915262968
2020-08-17,0.00593796763698317
2020-08-18,0.004450736352722988
2020-08-19,0.0010119020787403021
2020-08-20,-0.004328223096353019
2020-08-21,0.003138969177809354
2020-08-24,0.008894470185747337
2020-08-25,0.0035248033601756605
2020-08-26,0.012864157894400853
2020-08-27,0.008947070898201669
2020-08-28,0.0005159491516232259
2020-08-31,0.00311688501890028
2020-09-01,0.0018855677363281756
2020-09-02,0.015959251596999586
2020-09-03,-0.004649985950408803
2020-09-04,-0.022464876403500866
2020-09-08,-0.022090161054801896
2020-09-09,0.008834253893992252
2020-09-10,0.001906570270519107
2020-09-11,-0.011088291897096817
2020-09-14,0.010704283352828447
2020-09-15,0.006058079829449754
2020-09-16,0.0016995469085633898
2020-09-17,-0.017553955455585288
2020-09-18,0.0008165209399718361
2020-09-21,-0.01648796405768618
