Date,return
2022-01-03,-0.004071314428467408
2022-01-04,-0.0034277850087449267
2022-01-05,-0.010466992963076535
2022-01-06,-0.002349378197280713
2022-01-07,-0.0037618640870736224
2022-01-10,0.0002691301454415954
2022-01-11,0.006976953869054584
2022-01-12,-0.0010100565151798665
2022-01-13,-0.003627680910608383
2022-01-14,-0.00284116045044268
2022-01-18,-0.009233919517203261
2022-01-19,-0.0014252033095876195
2022-01-20,-0.0012384736271145132
2022-01-21,-0.0005398078162884379
2022-01-24,0.001159538967195672
2022-01-25,-0.00512049887735293
2022-01-26,-0.0054694723654495295
2022-01-27,0.0014773387403856646
2022-01-28,0.008063528551886757
2022-01-31,0.007027528348128564
2022-02-01,-0.0013297778037522966
2022-02-02,0.0029540820604727247
2022-02-03,-0.011451917389620625
2022-02-04,-0.0026079360377286314
2022-02-07,-0.0014111100159877742
2022-02-08,-8.79057711630751e-05
2022-02-09,0.005607512379488087
2022-02-10,-0.011126181343906945
2022-02-11,0.002237871548490165
2022-02-14,-0.003465472131397342
2022-02-15,0.001284923170524599
2022-02-16,0.0015966283111678663
2022-02-17,-0.002090126285747437
2022-02-18,0.0005485910435677701
2022-02-22,-0.00032270121573363235
2022-02-23,-0.006439145034392279
2022-02-24,0.008816839237353897
2022-02-25,0.0018747497606409378
2022-02-28,0.012020781423233375
2022-03-01,0.005435793209648211
2022-03-02,-0.004338371631924088
2022-03-03,-0.0007263463931303838
2022-03-04,0.005896520017634814
2022-03-07,-0.006036943371323343
2022-03-08,-0.0013466114213411455
2022-03-09,-0.002519425110972829
2022-03-10,-0.00527939638532852
2022-03-11,-0.0009738615508839069
2022-03-14,-0.01401264945613189
2022-03-15,0.0021359011538153783
2022-03-16,0.004071377685599053
2022-03-17,0.007883559955170448
2022-03-18,0.0042484104289231845
2022-03-21,-0.007654485446581373
2022-03-22,-0.00037675973387093803
2022-03-23,0.005469135005681953
2022-03-24,-0.0007134794841183227
2022-03-25,-0.006640718571256736
2022-03-28,0.0017296550679197031
2022-03-29,0.004345901183940109
2022-03-30,0.0020302077383606235
2022-03-31,-0.0032978391443588915
2022-04-01,-0.004799075733136379
2022-04-04,0.004083762282504257
2022-04-05,-0.012114701733787264
2022-04-06,-0.007373614905021906
2022-04-07,-0.0009322728825726124
