0,drawdown
2022-01-03,0.0
2022-01-04,-0.005482033105966844
2022-01-05,-0.014119870568371606
2022-01-06,-0.032585281999880644
2022-01-07,-0.036531380498110666
2022-01-10,-0.04124870729987773
2022-01-11,-0.03822969900809847
2022-01-12,-0.03445382616929282
2022-01-13,-0.03730577067344043
2022-01-14,-0.053331323591992
2022-01-18,-0.06721960522569581
2022-01-19,-0.06390389110762695
2022-01-20,-0.06688184012101628
2022-01-21,-0.11606760009207118
2022-01-24,-0.13844466644256792
2022-01-25,-0.1407423171617489
2022-01-26,-0.13946805654109606
2022-01-27,-0.1367599786251802
2022-01-28,-0.1415692539802481
2022-01-31,-0.11137745111626352
2022-02-01,-0.08374930782417578
2022-02-02,-0.07517735201185138
2022-02-03,-0.0898761630300473
2022-02-04,-0.10031128838603454
2022-02-07,-0.10085960296994667
2022-02-08,-0.10693175990104042
2022-02-09,-0.09387479790273667
2022-02-10,-0.10233185441104109
2022-02-11,-0.10807378777000765
2022-02-14,-0.12620619526933619
2022-02-15,-0.11838062536789451
2022-02-16,-0.1261015411951506
2022-02-17,-0.1294121007338238
2022-02-18,-0.1352153773661121
2022-02-22,-0.14367596868201737
2022-02-23,-0.14841030224609864
2022-02-24,-0.15163124030682773
2022-02-25,-0.13588980881730828
2022-02-28,-0.13383711100307571
2022-03-01,-0.13504379672639244
2022-03-02,-0.13160795884255116
2022-03-03,-0.12722773049493352
2022-03-04,-0.14113811327420744
2022-03-07,-0.15125176681777885
2022-03-08,-0.1613335958090778
2022-03-09,-0.15564073013036106
2022-03-10,-0.1575057269749366
2022-03-11,-0.1523285562692066
2022-03-14,-0.16343964743544548
2022-03-15,-0.1560841231266331
2022-03-16,-0.13690561295710346
2022-03-17,-0.1242791087580708
2022-03-18,-0.10972086488572785
2022-03-21,-0.10630996310721874
2022-03-22,-0.1022814591380583
2022-03-23,-0.10972257039035083
2022-03-24,-0.1123254202318108
2022-03-25,-0.10870693284548993
2022-03-28,-0.10300150440654876
2022-03-29,-0.08506688854683953
2022-03-30,-0.08657685795038239
2022-03-31,-0.09115005732278847
2022-04-01,-0.09935447525441232
2022-04-04,-0.09352278650737589
2022-04-05,-0.09567878915274253
2022-04-06,-0.10882703534564109
2022-04-07,-0.10298756325861069
2022-04-08,-0.10593291183017384
2022-04-11,-0.11515025102754195
2022-04-12,-0.12088401073104293
2022-04-13,-0.1294896428818555
2022-04-14,-0.12695013413912049
2022-04-18,-0.13968429485425038
2022-04-19,-0.13233868686411676
2022-04-20,-0.1684664288276605
2022-04-21,-0.1794927884571078
2022-04-22,-0.1982668233528726
2022-04-25,-0.2217258021017121
2022-04-26,-0.2298716641464581
2022-04-27,-0.24218089034814783
2022-04-28,-0.22927515322429226
2022-04-29,-0.23094482495740776
2022-05-02,-0.2481538451070886
2022-05-03,-0.2465126600915608
2022-05-04,-0.2327520771778604
2022-05-05,-0.23915868288021014
2022-05-06,-0.2604277976141499
2022-05-09,-0.2693443266312896
2022-05-10,-0.27080139288427785
2022-05-11,-0.273557961638757
2022-05-12,-0.28550638153733443
2022-05-13,-0.26615764875484205
2022-05-16,-0.2582060981352672
2022-05-17,-0.25497098800207685
2022-05-18,-0.2672157437476087
2022-05-19,-0.2835081335744811
2022-05-20,-0.27813308978149287
2022-05-23,-0.27509315195336015
2022-05-24,-0.2793728215364547
2022-05-25,-0.2731178346077222
2022-05-26,-0.2610981374548633
2022-05-27,-0.24615620771830704
2022-05-31,-0.24127907210167454
2022-06-01,-0.23669245415178153
2022-06-02,-0.23259506149730125
2022-06-03,-0.2376487587602626
2022-06-06,-0.23326460970543417
2022-06-07,-0.2411125122543376
2022-06-08,-0.23649179386491104
2022-06-09,-0.24461382007077304
2022-06-10,-0.27609999955816633
2022-06-13,-0.2970953824420465
2022-06-14,-0.3024554651774206
2022-06-15,-0.28816018381443065
2022-06-16,-0.3088428525264725
2022-06-17,-0.30326285525167174
2022-06-21,-0.295046352457382
2022-06-22,-0.28872392177612916
2022-06-23,-0.2821740265741969
2022-06-24,-0.2635506817227643
2022-06-27,-0.25984942607390293
2022-06-28,-0.2603535118704944
2022-06-29,-0.2810910104506611
2022-06-30,-0.2827329582899345
2022-07-01,-0.2788505453432971
2022-07-05,-0.27513576626609904
2022-07-06,-0.26739975094935187
2022-07-07,-0.26190274607362285
2022-07-08,-0.2603599529233275
2022-07-11,-0.2654757144902198
2022-07-12,-0.27244578044065537
2022-07-13,-0.284137238032791
2022-07-14,-0.2903143159903223
2022-07-15,-0.26872147137892266
2022-07-18,-0.2575793985234148
2022-07-19,-0.25428959193177914
2022-07-20,-0.2371804787679932
2022-07-21,-0.22262109709624422
2022-07-22,-0.21711519253888734
2022-07-25,-0.22490124278256252
2022-07-26,-0.23130552634117396
2022-07-27,-0.21778050054449727
2022-07-28,-0.20606928968905658
2022-07-29,-0.1957484191853952
2022-08-01,-0.19649193589365443
2022-08-02,-0.19854541518252788
2022-08-03,-0.19887307448633051
2022-08-04,-0.19689565170454126
2022-08-05,-0.20168976925011728
2022-08-08,-0.18981182313284328
2022-08-09,-0.20117014492413343
2022-08-10,-0.1849260519830701
