Date,return
2022-01-03,0.004914088617499773
2022-01-04,-0.0019544486226061985
2022-01-05,-0.0044154380889883
2022-01-06,-0.0023714648624182312
2022-01-07,0.0033522250247554042
2022-01-10,-0.0022485502452887353
2022-01-11,0.0022751066837168174
2022-01-12,-0.0006312231889806495
2022-01-13,-0.003506270874483032
2022-01-14,-0.0017418955929949073
2022-01-18,-0.013379499148608925
2022-01-19,-0.0034839792847335847
2022-01-20,-0.011726062308607111
2022-01-21,-0.01269678501168154
2022-01-24,0.00030274137637623
2022-01-25,-0.006794135732842029
2022-01-26,-0.00657458929130967
2022-01-27,0.00024478599128986787
2022-01-28,0.018223668323509697
2022-01-31,0.013734014703026785
2022-02-01,0.00595237421741183
2022-02-02,0.004986726721263155
2022-02-03,-0.014601917400462353
2022-02-04,0.0005115442071152712
2022-02-07,-0.002675290722294054
2022-02-08,0.007882033722040991
2022-02-09,0.0062947486611591216
2022-02-10,-0.014049158694274167
2022-02-11,-0.01317063972338823
2022-02-14,-0.004374534335535536
2022-02-15,0.012059291958827224
2022-02-16,-0.0017990364296294331
2022-02-17,-0.003913524497960889
2022-02-18,-0.005607787259345404
2022-02-22,-0.01107752634045029
2022-02-23,-0.013697663193498927
2022-02-24,0.0014672142787235847
2022-02-25,0.02468723622941664
2022-02-28,-0.005259641881519828
2022-03-01,-0.010734953294259662
2022-03-02,0.012312247468483549
2022-03-03,0.0034263416608807497
2022-03-04,0.001197807469677503
2022-03-07,-0.020025536569306862
2022-03-08,-0.012492135821272819
2022-03-09,0.016744996402111516
2022-03-10,0.0007773132875940302
2022-03-11,-0.006285228803630926
2022-03-14,0.0010407722635360325
2022-03-15,0.019906544995015298
2022-03-16,0.010921527097110879
2022-03-17,0.00924304758509175
2022-03-18,0.007345293571970842
2022-03-21,-0.0036733712452584697
2022-03-22,0.00499023555403238
2022-03-23,-0.01121627506977876
2022-03-24,0.010582305853800428
2022-03-25,0.004626912443223155
2022-03-28,0.008084594150298389
2022-03-29,0.009708097364044072
2022-03-30,0.0011182010981350102
2022-03-31,-0.011935741314406844
2022-04-01,0.0076980722933095965
2022-04-04,0.004531096770119573
2022-04-05,-0.006418626422664901
2022-04-06,0.001839056647609532
2022-04-07,0.004458901772307815
2022-04-08,0.0010265133815077496
2022-04-11,-0.014188017079028978
2022-04-12,-0.004608069167176388
2022-04-13,0.013866565502365334
2022-04-14,-0.005557645822656169
2022-04-18,-0.004352983713865248
2022-04-19,0.014674518155678301
2022-04-20,0.006057533792138902
2022-04-21,-0.007984734183116494
2022-04-22,-0.024977625259434064
2022-04-25,0.005646869171543386
2022-04-26,-0.019008279476919295
2022-04-27,-0.0021196053300696523
2022-04-28,0.01961904190219642
2022-04-29,-0.029610046728765813
2022-05-02,3.403246299498071e-05
2022-05-03,0.002007396958630649
2022-05-04,0.023825342933307736
2022-05-05,-0.026327215387560225
2022-05-06,-0.0061801060090394795
2022-05-09,-0.012055321765456303
2022-05-10,-0.003614607428122933
2022-05-11,-0.012020032158865183
2022-05-12,-3.893416337244618e-05
2022-05-13,0.014659384311303526
2022-05-16,0.0009301939866747822
2022-05-17,-0.01245542498912573
2022-05-18,-0.04224229591395415
2022-05-19,-0.013660628735197458
2022-05-20,0.0023437917648712445
2022-05-23,0.019502876261654346
2022-05-24,0.0025500802857949963
2022-05-25,0.004488184425466877
2022-05-26,0.016160895218685162
2022-05-27,0.019075970878572313
2022-05-31,-0.00316678803062653
2022-06-01,-0.007459217616021659
2022-06-02,0.014747192318688169
2022-06-03,-0.01270034525350803
2022-06-06,0.00017251767231129297
2022-06-07,0.0035622842603557784
2022-06-08,-0.00835579702904659
2022-06-09,-0.018600947241574368
2022-06-10,-0.019221871756564302
2022-06-13,-0.027707540942152928
2022-06-14,-0.0048545202040203555
2022-06-15,0.009487090169222135
2022-06-16,-0.015164853348458391
2022-06-17,-0.0011237203525255894
2022-06-21,0.024394647497042656
2022-06-22,-0.0020934863011506143
2022-06-23,0.014518828645480836
2022-06-24,0.020090124099564087
2022-06-27,-0.0032501733910088007
2022-06-28,-0.019875822645759184
2022-06-29,0.0011546773466933487
2022-06-30,-0.007231622144989414
2022-07-01,0.010731088011999288
2022-07-05,0.004584851071423743
2022-07-06,0.003765964283064435
2022-07-07,0.008885414582587988
2022-07-08,-0.001555867844455629
2022-07-11,-0.00429255659651507
2022-07-12,-0.005782964759845272
2022-07-13,-0.0019299893824708601
2022-07-14,0.001975758462237287
2022-07-15,0.01535883643684917
2022-07-18,-0.007578780153862451
2022-07-19,0.017260909240818575
2022-07-20,0.0038054252663192777
2022-07-21,0.00642774330964754
2022-07-22,-0.007085616020181483
2022-07-25,0.0004905960441024125
2022-07-26,-0.021862372634287117
2022-07-27,0.01910135322057731
2022-07-28,0.01324673658144503
2022-07-29,0.011219554586316053
2022-08-01,0.001416210409974699
2022-08-02,-0.008028591558027416
2022-08-03,0.0073925927024141025
2022-08-04,-0.008813125924663018
2022-08-05,0.0016411322361323494
2022-08-08,-0.00010371097564789659
2022-08-09,-0.001233190974303089
2022-08-10,0.014716852545738988
2022-08-11,0.000330611527248098
2022-08-12,0.014719845911372712
2022-08-15,0.005288869816857833
2022-08-16,0.014867283921521663
2022-08-17,-0.004371591543924202
2022-08-18,0.00025928721983029175
2022-08-19,-0.009805670067190004
2022-08-22,-0.018441514124497214
2022-08-23,-0.0052520267441284576
2022-08-24,0.0027552562446266663
2022-08-25,0.009019708003113027
2022-08-26,-0.031638276077759736
2022-08-29,-0.004271797383639553
2022-08-30,-0.00778642847750143
2022-08-31,-0.008249885408226784
2022-09-01,0.005715263290433181
2022-09-02,-0.011286843120941515
2022-09-06,-0.00585050801278025
2022-09-07,0.016658094237813306
2022-09-08,0.005664407153798627
2022-09-09,0.011788059491220186
2022-09-12,0.007869377959870796
2022-09-13,-0.03640296508379134
2022-09-14,0.002079612118345205
2022-09-15,-0.00932692473188254
2022-09-16,-0.0013557986280857313
2022-09-19,0.005389475228004998
2022-09-20,-0.009882569114675747
2022-09-21,-0.011605020743962035
2022-09-22,-0.0032697739288887026
2022-09-23,-0.01542676914696638
2022-09-26,-0.004839654465112192
2022-09-27,-0.0039028269426734123
2022-09-28,0.016690352118265365
2022-09-29,-0.015545233361515238
2022-09-30,-0.01836994522045101
2022-10-03,0.024845282036145163
2022-10-04,0.023846584603919536
2022-10-05,-0.0031426455142207444
2022-10-06,-0.011761089374634484
2022-10-07,-0.024211796769068337
2022-10-10,-0.0010081859508090537
2022-10-11,0.006021697316265702
2022-10-12,-0.0034406024799321297
2022-10-13,0.02194147306164785
2022-10-14,-0.01539333097475935
2022-10-17,0.020233675846587435
2022-10-18,0.01232170833698749
2022-10-19,-0.004376225211336844
2022-10-20,-0.0006693288274828879
2022-10-21,0.01975718162594061
2022-10-24,0.014994750781521812
2022-10-25,0.011777281497963553
2022-10-26,-0.0002317739414279124
2022-10-27,0.000976636941693294
2022-10-28,0.021659473825318597
2022-10-31,-0.005301116097864152
2022-11-01,-0.004772936633157648
2022-11-02,-0.016009813545696236
2022-11-03,-0.006080148364793798
2022-11-04,0.010394547951000352
2022-11-07,0.01101858681776809
2022-11-08,0.00947735723277361
