,weight
AAPL,0.019724276056502107
ABBV,0.01911012218334822
ABT,0.020888012457013733
ACN,0.01999183437804853
ADBE,0.020055630954524194
AMD,0.013538323446304715
AMGN,0.023236638792703393
AMZN,0.023141389135822386
AVGO,0.015525160484724302
BAC,0.01519119727953509
BMY,0.025617937443281922
COST,0.030218404165924775
CRM,0.018792609434438553
CSCO,0.020992652533342933
CVX,0.016041988908513143
DHR,0.02586558686652246
DIS,0.0162118239637309
GOOG,0.021867876833600863
HD,0.01886557466607028
HON,0.017969270809716466
JPM,0.016507999539989417
KO,0.023887175372540596
LIN,0.021916511155634172
LLY,0.02407265164034621
MA,0.017458310520726668
MCD,0.020541562378282793
META,0.019214320286491133
MRK,0.027689792967546447
MSFT,0.02321838736364342
NEE,0.020390592412798125
NFLX,0.01871603502137701
NKE,0.017475129745966076
NVDA,0.014115466568691162
ORCL,0.023560703612380333
PEP,0.029851406895184212
PFE,0.027611420704587046
PG,0.02688853614808501
PM,0.01909887908200798
TMO,0.023245414505381513
TSLA,0.00826141861302098
TXN,0.02095744417369953
UNH,0.016938211492296806
UPS,0.02316127038258479
V,0.0203721582142603
VZ,0.03339588881938007
WFC,0.015437678111824834
WMT,0.025997017731173983
XOM,0.017172305746430527
