0,equal_weight,markowitz,naive_risk_parity,hrp_style_deprado_nrp,hrp_style_corr_ew_nrp,hrp_recursive
2021-01-04,0.00591166027616441,0.005617130563080552,0.004781272243105761,0.0042157738667505384,0.0040267609939403926,0.0037771328890396916
2021-01-05,-0.0016346562824114397,-0.015241478723238888,-0.0021671210442353317,-0.00518990436160538,-0.006071312711401822,-0.005997989723970476
2021-01-06,0.008249016491815198,0.009779852662232358,0.008495034476460717,0.004978147188934301,0.003002182469034942,0.004237136733631575
2021-01-07,0.01649198534088203,0.020299122090166932,0.014977975060096016,0.012146851558405558,0.009107560321495178,0.00689324489554366
2021-01-08,0.021770213705103236,0.023884951397797005,0.019430121218866114,0.0201247738527619,0.02071705257451062,0.012570283990266828
2021-01-11,0.02531933259032426,0.037575540875813385,0.02291751275446252,0.02027806966734169,0.01877457626269252,0.01677453948510821
2021-01-12,0.023950770483814887,0.028654607140370603,0.021008988532714268,0.015574195121975665,0.012455787108472727,0.009955299403754614
2021-01-13,0.024377473219193035,0.0371677624755804,0.0217404307194069,0.013227691961037014,0.010613224702875623,0.010005697687135884
2021-01-14,0.02681892450990797,0.038105849542628745,0.024198803381066947,0.015054031298189718,0.01117374672427296,0.010928184463135704
2021-01-15,0.016217442752653355,0.03980809381553718,0.013920865488238565,0.008381844689433704,0.004239909915040974,0.0065286138490008305
2021-01-19,0.01872170530224193,0.04173514205377171,0.016839772672406328,0.013942389193981164,0.006081325172053287,0.009497327850351622
2021-01-20,0.03042879417651334,0.05675834755710785,0.025942812600428633,0.02195648096377245,0.01265287737307208,0.014668582225170423
2021-01-21,0.03432997804850224,0.06143679535012625,0.028446130296802652,0.023205456894842547,0.014543535883858372,0.014708732093150934
2021-01-22,0.028513098797342762,0.06393491718252564,0.022366664338626885,0.020610721599291226,0.008363980260097215,0.011449097282207221
2021-01-25,0.030055982360222666,0.08746650748076945,0.023833333812004476,0.029140943473279224,0.01665588096809878,0.018383138297910273
2021-01-26,0.03272187086150824,0.08750528397468282,0.02716246864708438,0.03381008032668231,0.02020479805017872,0.021640140838305344
2021-01-27,0.017043503675870708,0.0700761260857683,0.012403037320730226,0.02128197556512612,0.010358240379602979,0.008882415136806099
2021-01-28,0.021065518902963154,0.059007885226972645,0.01687711489270094,0.02033175896352457,0.0033229213052461404,0.0051020281486704455
2021-01-29,0.008123621980492546,0.046127157646800754,0.004570234074023238,0.0016826663549660559,-0.006947151628932446,-0.009235681905254256
2021-02-01,0.007906616856120596,0.044749577887390535,0.003616132435342978,-0.0017683328879372073,-0.010249100216132123,-0.013080962465532475
2021-02-02,0.023612339139986505,0.05463831787069928,0.018155960082412603,0.012442546138522026,0.003703948627768794,-0.0018116890278392361
2021-02-03,0.023779236931581682,0.04743551667482149,0.017365086519752104,0.00924846140450053,0.0002684563514812055,-0.007025217305662523
