,equal_weight,markowitz,naive_risk_parity,hrp_style_deprado_nrp,hrp_style_corr_ew_nrp,hrp_recursive
AAPL,0.02040816326530612,0.08520333588961798,0.017443116020506168,0.006862425767388959,0.0061452512327369955,0.0003613350658458645
ABBV,0.02040816326530612,0.0,0.016449595382648598,0.02029256611720071,0.0061452512327369955,0.030408518775940908
ABT,0.02040816326530612,1.471890895519548e-16,0.023186452445818954,0.009121954387706327,0.0061452512327369955,0.0014003646224703418
ACN,0.02040816326530612,1.4146858003328915e-17,0.023923640075110254,0.009411976845660613,0.0061452512327369955,0.00025435388618403546
ADBE,0.02040816326530612,0.0,0.01741740967349483,0.006852312442573103,0.0061452512327369955,4.3923420395813904e-05
AMD,0.02040816326530612,0.06343832474224104,0.00784643120343444,0.0030869227498797986,0.0061452512327369955,0.0019378692872540895
AMGN,0.02040816326530612,0.0,0.02093924096658247,0.02583108714069515,0.0061452512327369955,0.03341159722152828
AMZN,0.02040816326530612,4.207916932352581e-17,0.016254920164273882,0.0063949688146904,0.0061452512327369955,3.872640421378979e-05
AVGO,0.02040816326530612,1.4058161924307232e-17,0.013527275650335843,0.005321865937043981,0.0061452512327369955,0.0024006909585508347
BAC,0.02040816326530612,0.0,0.01864512446685138,0.0073353168337054,0.0061452512327369955,0.00019051337522428807
BMY,0.02040816326530612,0.0,0.016809768725977267,0.02073688351304741,0.0061452512327369955,0.04401834111904118
COST,0.02040816326530612,0.09378137457566907,0.02578331580883647,0.010143605681879315,0.0061452512327369955,0.06745502847585393
CRM,0.02040816326530612,0.0,0.016795574614501572,0.00660767169565125,0.0061452512327369955,4.084310504668322e-05
CSCO,0.02040816326530612,0.0,0.01927263801602809,0.007582191597606157,0.0061452512327369955,0.0007003568707386868
CVX,0.02040816326530612,0.0,0.021668128642114884,0.008524619348397421,0.0061452512327369955,0.0007710341270634703
DHR,0.02040816326530612,1.4380749696341624e-16,0.022536612948468742,0.008866296206791826,0.0061452512327369955,0.0008053759975204778
DIS,0.02040816326530612,0.0,0.021175429896944334,0.026122454762452868,0.0061452512327369955,0.047294821522528
GOOG,0.02040816326530612,4.200022686106461e-17,0.01870841020169795,0.0073602145444704205,0.0061452512327369955,0.0002580856844871887
HD,0.02040816326530612,0.0,0.023061281848738176,0.009072710093870479,0.0061452512327369955,0.0016244898711870637
HON,0.02040816326530612,1.2214348791115318e-17,0.025766592810758864,0.010137026563057837,0.0061452512327369955,0.001182225682551639
INTC,0.02040816326530612,0.0,0.016180974058927704,0.006365877128426942,0.0061452512327369955,0.0021644679335061485
JPM,0.02040816326530612,9.768404875487227e-17,0.021797464427876487,0.008575502300033616,0.0061452512327369955,0.0002603795383729743
KO,0.02040816326530612,0.0,0.02898510045189286,0.05497779823257201,0.06267344108208815,0.034011555951723296
LIN,0.02040816326530612,0.01272441385803317,0.021498012915577205,0.026520399944788393,0.0061452512327369955,0.026322707053016616
LLY,0.02040816326530612,0.09914293452353613,0.02154471668894063,0.026578014699854026,0.0061452512327369955,0.023096703727670285
MA,0.02040816326530612,4.98065574428945e-17,0.02048179761244685,0.008057896050961556,0.0061452512327369955,1.8864527335135697e-05
MCD,0.02040816326530612,0.0,0.02559953487852713,0.03158012352328477,0.21445719936941904,0.14752549614071123
META,0.02040816326530612,2.2982996157829158e-17,0.013825387635655302,0.11007254239928868,0.0061452512327369955,0.015796009657580434
MRK,0.02040816326530612,0.07279335342742185,0.024289448718403918,0.02996397373934708,0.0061452512327369955,0.019242435794365607
MSFT,0.02040816326530612,0.051793051145697086,0.0218327484119935,0.008589383634165434,0.0061452512327369955,3.9602834664237334e-05
NEE,0.02040816326530612,0.4447598048783565,0.03152284046971102,0.05979128366098698,0.06267344108208815,0.10338309173013209
NFLX,0.02040816326530612,0.0,0.012156102932832933,0.00478242269897397,0.0061452512327369955,0.00045024581522633966
NKE,0.02040816326530612,0.006533611991820213,0.018732166284813338,0.007369560601488651,0.0061452512327369955,0.001071830544561235
NVDA,0.02040816326530612,0.0,0.01127073023145859,0.00443410165171892,0.0061452512327369955,0.0006941845405941153
ORCL,0.02040816326530612,0.0,0.021724516560822894,0.008546803338107537,0.0061452512327369955,0.003453363686437782
PEP,0.02040816326530612,0.0,0.029496170974266985,0.055947176693355125,0.06267344108208815,0.035221525719039304
PFE,0.02040816326530612,0.0,0.026592885120121514,0.032805541230297434,0.0061452512327369955,0.023065116098784175
PG,0.02040816326530612,0.0698297949676073,0.025774924848758055,0.04888886344025719,0.06267344108208815,0.04371828438777122
PM,0.02040816326530612,0.0,0.01775236320550052,0.033671984131405916,0.14871840888147445,0.09351555169116356
TMO,0.02040816326530612,0.0,0.02094403626711431,0.008239748791649865,0.0061452512327369955,0.0006955720982726244
TSLA,0.02040816326530612,0.0,0.008535106420809077,0.06795331083260568,0.07150188579644905,0.02406142217685228
TXN,0.02040816326530612,0.0,0.01834951463638422,0.007219018775760563,0.0061452512327369955,0.0018400091823161508
UNH,0.02040816326530612,0.0,0.019962879279202515,0.024626626870726535,0.0061452512327369955,0.015910985925703447
UPS,0.02040816326530612,0.0,0.019023617860753857,0.0074842227296502166,0.0061452512327369955,0.002696000101968823
V,0.02040816326530612,0.0,0.024010161481624197,0.009446015874512683,0.0061452512327369955,2.592387681734409e-05
VZ,0.02040816326530612,2.4019315730596422e-17,0.02511245484807523,0.047632316405234104,0.06267344108208815,0.09750808562929555
WFC,0.02040816326530612,0.0,0.021067585479804574,0.00828835520461585,0.0061452512327369955,0.00045541178590885754
WMT,0.02040816326530612,4.553961391913131e-18,0.02181632763727273,0.026913079666436645,0.0061452512327369955,0.0482947684430062
XOM,0.02040816326530612,4.507625848545857e-17,0.02290947009730867,0.009012984705724371,0.0061452512327369955,0.0008619079335764539
