,mean_terminal_value,median_terminal_value,std_terminal_value,prob_loss
equal_weight,1.9189334955840263,1.8518152304655229,0.5038015563994289,0.0095
markowitz,3.27459896651952,3.1979865053654333,0.7238259727707128,0.0
naive_risk_parity,1.8482456820829862,1.7903837709679093,0.4386242091200142,0.0075
hrp_style_deprado_nrp,1.7868205281468386,1.746219776221459,0.40800631407943055,0.0105
hrp_style_corr_ew_nrp,1.6544288297318925,1.6281906324115192,0.3512598829701017,0.01
hrp_recursive,1.7261862748042756,1.6961862727325643,0.338995552749463,0.005
