0,equal_weight,markowitz,naive_risk_parity,hrp_style_deprado_nrp,hrp_style_corr_ew_nrp,hrp_recursive
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,-0.00750196747545806,-0.020742098212507498,-0.006915329215710031,-0.009366192478872493,-0.010057574257627988,-0.009738339610183888
2021-01-06,0.0,0.0,0.0,0.0,-0.0010204693387765307,0.0
2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,0.0,0.0,0.0,-0.0019030507102029137,0.0
2021-01-12,-0.0013347667043904776,-0.008597864332762328,-0.0018657655167219067,-0.004610384840379567,-0.008093590133721018,-0.0067067376458962435
2021-01-13,-0.0009186010067241401,-0.0003930108066048099,-0.0011507106099748476,-0.006910251152025038,-0.009898754847046498,-0.006657170823140435
2021-01-14,0.0,0.0,0.0,-0.005120210386228563,-0.009349609498701894,-0.005749903046286975
2021-01-15,-0.010324587426468246,0.0,-0.010035100469653946,-0.011659787004719924,-0.01614271322097549,-0.010076890439542185
2021-01-19,-0.007885732347142627,0.0,-0.007185158471545883,-0.006209758556729783,-0.014338672373056083,-0.0071571536777875755
2021-01-20,0.0,0.0,0.0,0.0,-0.007900500124984333,-0.0020712136055297536
2021-01-21,0.0,0.0,0.0,0.0,-0.006048215492315934,-0.0020317261219024996
2021-01-22,-0.0056238138453014175,0.0,-0.005911312006610658,-0.0025358888364666043,-0.012102347348127318,-0.005237584140922458
2021-01-25,-0.004132139432276194,0.0,-0.004485209627330677,0.0,-0.003978743762699466,0.0
2021-01-26,-0.00155473322935884,0.0,-0.0012481564292996516,0.0,-0.0005018575157923477,0.0
2021-01-27,-0.01671272682751246,-0.016026733980742947,-0.015599351782715654,-0.012118381315838311,-0.01014856386378582,-0.012487494560492585
2021-01-28,-0.012824204487010493,-0.026204377273052026,-0.011249024196107404,-0.013037521706983801,-0.01704109010953825,-0.016187806281832806
2021-01-29,-0.025336552767670883,-0.038048666923852226,-0.023215504944229748,-0.031076707978668572,-0.027102715814991907,-0.030221818338328488
2021-02-01,-0.02554635537320049,-0.03931540077766427,-0.024143216771396525,-0.03441484455575905,-0.03033764617974999,-0.03398564907145041
2021-02-02,-0.0103619146074998,-0.030222350721698876,-0.010005551006760482,-0.020668723003173017,-0.01666779633379334,-0.022955078729484102
2021-02-03,-0.010200556244948977,-0.036845584008025956,-0.01077454953703083,-0.02375834729181625,-0.020033559909137244,-0.0280581752792588
2021-02-04,-0.00715074517044445,-0.03841004550346083,-0.007002086626705983,-0.02289844730349988,-0.013043660517514488,-0.022600746240036718
2021-02-05,0.0,-0.03234983221633225,0.0,-0.015144002739354012,-0.0032809891681638836,-0.015400948056439656
2021-02-08,0.0,-0.027329762971553095,0.0,-0.010751067548727788,0.0,-0.011848288624842107
2021-02-09,-0.0021672706058604163,-0.02898228720831797,-0.0024729996804310206,-0.012865617245946703,0.0,-0.012134708547970274
2021-02-10,-0.0007671856582525116,-0.02643345415182974,-0.0008330824461796338,-0.011654454093003919,0.0,-0.008969319513584595
2021-02-11,-0.0002581209435901233,-0.02914246034972323,-0.0008068159644932793,-0.015217613012459275,-0.007115005982576417,-0.015700204220465253
2021-02-12,-0.0003983927261705933,-0.03219323656410622,-0.0010966595453859584,-0.018646730995686922,-0.010740633510053166,-0.018936950444591316
2021-02-16,0.0,-0.03430970129728994,0.0,-0.014768525037495706,-0.007460575483288934,-0.01819765396342865
2021-02-17,-0.003023750662801472,-0.050417403113915515,-0.0018114658766513747,-0.01720628398037105,-0.008842142028498312,-0.016556901607595043
2021-02-18,-0.006237310372627092,-0.05186659423861595,-0.004266923023454772,-0.01920244236620694,-0.008167873791278812,-0.017100624248708174
2021-02-19,-0.005676241569454676,-0.056307446513840564,-0.004477479515421878,-0.021653230063131912,-0.00950805068557925,-0.0206671126629292
2021-02-22,-0.012750056200046433,-0.07664922802277907,-0.010944683853296167,-0.032264579136691895,-0.020942268637519246,-0.028640295935198234
2021-02-23,-0.015571869457549403,-0.09377401471736213,-0.011569521340363487,-0.032347119659963064,-0.020783282483882615,-0.025826984819747323
2021-02-24,-0.008440570529132274,-0.09611300355593388,-0.00610128375530905,-0.029741245525656268,-0.019037595392581985,-0.027983438068123423
2021-02-25,-0.010330990418890296,-0.09688188736528847,-0.008081187331960393,-0.03253360673416805,-0.022406714477939182,-0.03213468935786323
2021-02-26,-0.02428753113824944,-0.09484127007843624,-0.02102519375594758,-0.04308812109070781,-0.032114814625367916,-0.03926139029404241
2021-03-01,-0.016734802998989107,-0.08572931386746929,-0.01363914736302041,-0.038119854092909744,-0.03071955234914392,-0.03809919868392997
2021-03-02,-0.015513158668997606,-0.08494971387544392,-0.01265925943565116,-0.037510378481709905,-0.0317125119340963,-0.0387890551467871
