,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown
equal_weight,0.7468466648948286,0.15012351619844666,0.12837357196500968,1.169426961488345,-0.23258321408126692
markowitz,0.64286550856373,0.13256047182668285,0.15001222754227195,0.8836644452154984,-0.17797969302074157
naive_risk_parity,0.6642950876186713,0.1362468181996408,0.11833998864111188,1.1513168098472168,-0.20067938721694578
hrp_style_deprado_nrp,0.6817003899301151,0.13921481814817938,0.12332429014599493,1.1288515667381727,-0.22348071148180382
hrp_style_corr_ew_nrp,0.5822861731938389,0.12194089496195426,0.11136663773874261,1.0949499548331343,-0.1708920966266223
hrp_recursive,0.5007913439429779,0.10716324879563888,0.10203381701165774,1.0502718797964314,-0.14851769425391437
