equal_weight,markowitz,naive_risk_parity,hrp_style_deprado_nrp,hrp_style_corr_ew_nrp,hrp_recursive
3.9584856257826364,3.2438863507967026,1.184835872993377,2.1263216817749644,1.5739448719174518,1.3433500941921344
1.7173578261740179,1.7930422282054794,2.112368337592414,2.4461224682575096,2.0483154481869157,2.2977656292221273
1.343980372517957,2.5166256617007385,2.0371943122419496,1.4384570873471092,2.027342634499093,1.7185598346470423
1.4784135150548954,3.0304174677288613,1.4807944091744756,1.5523889131998738,2.131392441407024,1.398933134359749
2.2243292606795078,2.632227586062894,2.0713725834744623,1.9734944692910612,1.412116202129814,1.8044636993419605
1.7237202379813068,3.177277554899575,1.6987150055148703,2.568133758320375,1.8282104572370974,2.184650438261536
2.33552508505956,3.5506538224364035,2.5132173851074113,2.173416924605022,1.8965974361418179,1.7817854895027867
1.7039003756429323,2.9947669119919844,1.3207434480859646,2.166762281922247,1.298857003407227,1.4884303471435734
2.4651667213401094,4.026709422852701,1.365732388734369,1.5043526082873375,1.700334385598983,1.482963537639655
1.9124189151116653,2.59788534856117,2.373368845471764,1.3385883235893548,1.3095246835295415,1.4038892590853072
1.412315630605479,2.428676532305432,1.443883752581048,3.0938191626565987,1.374509770618067,1.810064927445134
1.3026692447515873,2.2392697641626365,1.7674259918901378,1.6063316323312453,1.9821658227429986,1.6031218122821578
1.4623765412583327,3.8721879311842247,2.297930283807276,1.879942667243453,1.7122567007165699,1.734919397180103
2.2051613002237125,2.4276919729582147,1.9893312181172074,2.0166341520848396,1.6807720885376713,2.008773766452696
1.145200172662236,2.523258012216825,3.3780133792256706,1.4574464683324755,1.3622430392108291,1.5849119275653314
1.930284484359746,3.883199538135423,3.4693990357743436,2.2208988799327662,1.4321024811065457,1.84673661630624
1.5437756396694058,4.1549255154028595,1.3029245001364345,2.1186963016681544,1.498078926818799,1.9859737544305711
1.6593256473747653,3.641823963070634,2.5169556479923383,2.8910544674176406,1.5318037859800593,1.6441009875224863
2.158530414498056,1.9705063387496822,2.220970855955098,1.924841047633299,1.5906342191853284,1.8324923939662001
2.1242493683640697,1.9569288789093473,1.9464243152488083,2.010754658252378,1.854927382095438,1.9090426112844299
2.097966020655646,2.073510588119188,1.8325819176219544,1.7484634013182683,2.021728902283368,2.1892665894229095
1.3488721690582417,3.1344720739020615,2.6422081567776736,1.8531823406075818,2.248987733565666,1.6082688930072577
2.0069734006602475,2.7369521414562983,2.0108298499188653,1.4686949365876052,1.7118864614910525,1.621717092165816
1.9204489016853767,4.805247615272366,1.5734118262875278,1.748560877296742,1.629970455522669,1.2554357463556969
1.3029767754502937,4.857831906947131,1.7322440645965296,2.062898892444191,1.4325833729036104,1.457271316820682
1.937107810818766,4.113255556236874,1.5361083484862856,1.6377005685243298,1.8248444820483614,1.8966631917258279
1.7443532923089948,3.5473820476496205,1.6895255701884249,1.6926918199365923,1.5982675549148535,1.9384041200761326
1.7277388196273211,3.554244429053912,2.068649328169787,1.7376215976729257,1.1192874014041638,1.93271409619526
2.442295739630849,3.343783058319414,2.1801675751282956,1.572322221575803,1.4561205782158528,1.3785481211917765
1.9562028084751224,3.5951318184718097,1.3846066666494794,2.6832552028173393,1.4156787537813036,1.3265652157286385
1.4691387268143548,3.306094308436761,2.9790080700558335,1.71916464224206,1.4778880621821244,1.410238651863061
1.3766146090243288,2.490012676308757,1.440251951823829,1.5410417864208874,1.6232753175244594,1.5189081740154344
2.4686329687776585,4.39433401756355,2.715879919621567,1.7747099718508514,1.5443429267127513,1.680144054596203
2.679255149683299,2.6492802509434514,1.6645845751132702,2.0025217022782806,1.895694555620034,1.8772303798596648
1.8026985249103689,3.5997501987093,1.6945964546489545,1.8900796046772648,1.8857309380459082,1.7420704633777235
1.7140719122730748,3.4317117159618067,1.6144211296070612,2.1190798856825985,1.5004733038080424,1.9527538826056867
1.3141261410967935,3.539121917068354,2.6833472498439916,1.3116408862039155,1.5218713904921968,2.123574122571997
2.5646174780993105,3.6510095485941965,2.0038827492648204,2.515188457146539,1.6428837309310769,1.796522352563262
3.4737531484815003,3.3825358988164225,2.208766310549074,1.6409177483919155,1.2522704911678435,2.1607578129194347
1.933874434741942,3.5019386596088196,1.60228024259366,1.3759764967060488,1.9223190209448011,2.0935008076439
1.2899571881524143,2.7356422913327503,1.4913333139457376,1.1836210142448798,1.6782854819703823,1.4236577707399647
