Date,AAPL,MSFT,AMZN
2024-01-03,-0.00748757476010109,-0.0007280569267190673,-0.00973782115920796
2024-01-04,-0.012700260742807168,-0.007177649505745176,-0.026267891590348702
2024-01-05,-0.004012771167374307,-0.00051626317593223,0.00463442024626004
2024-01-08,0.024174736470737868,0.018871530443563156,0.026576703830634596
2024-01-09,-0.0022634092583259102,0.002935644488837541,0.015224607114340927
2024-01-10,0.005671276480224474,0.018574259077903887,0.015590940651907248
2024-01-11,-0.0032223238689282896,0.004859530698724246,0.009432101662268044
2024-01-12,0.001778069747618849,0.009983436805545587,-0.0036086969005325598
2024-01-16,-0.012317175541913139,0.004633438012283442,-0.009442449238027617
2024-01-17,-0.0051735246513160416,-0.002049746257496987,-0.009467203666572499
2024-01-18,0.032570704991517596,0.011297277999711586,0.011798781932089941
2024-01-19,0.015533038827366008,0.012186935652270359,0.011986946826648914
2024-01-22,0.012163300777730424,-0.0054181495160713355,-0.003604979862209201
2024-01-23,0.0066533196863136634,0.006027647792459012,0.008011406531487353
2024-01-24,-0.003484020009477229,0.009175317903780567,0.005447960655367012
2024-01-25,-0.0016966961944383518,0.005738256920019946,0.005609771850602074
2024-01-26,-0.009012577049804182,-0.0023218630294032927,0.008684596622424712
2024-01-29,-0.003586073372646048,0.014334339264012952,0.01344896590822775
2024-01-30,-0.019245860313082397,-0.0027580726586442506,-0.014014601164705653
2024-01-31,-0.019357558116415596,-0.026946321383351735,-0.023899390262627773
2024-02-01,0.013340568207993009,0.015594335065238996,0.026288672108771616
2024-02-02,-0.005404967893951063,0.018425847620512137,0.07866649218561839
2024-02-05,0.009846501391953977,-0.013544918664433636,-0.008730574595861018
2024-02-06,0.008631736271405899,-0.0003945745237708964,-0.00681113075414308
2024-02-07,0.0005810198551765566,0.021110260812899462,0.008158468416245013
2024-02-08,-0.005754568133083837,0.00014492614539629578,-0.004046223223746481
2024-02-09,0.00409403442335643,0.015551403057371127,0.02714319777292107
2024-02-12,-0.0090020639462971,-0.01257874959225913,-0.012095159915523457
2024-02-13,-0.011274311579014928,-0.021528681809394712,-0.021469171561243172
2024-02-14,-0.004809687809654961,0.009665423646637139,0.013875689909627953
2024-02-15,-0.0015748002527169458,-0.007155175088325416,-0.006901349311422389
2024-02-16,-0.00843035520801072,-0.006149180856126257,-0.0017079419299743659
2024-02-20,-0.004113896548115892,-0.0031429997799096165,-0.01433539469369316
2024-02-21,0.0041860155075681416,-0.0015145658104923632,0.00903755380828164
2024-02-22,0.011243870010741785,0.02354666623315982,0.035530017339574504
2024-02-23,-0.010034158464172771,-0.003182376807474907,0.0023485144793740087
2024-02-26,-0.007451059162622897,-0.006823501534158893,-0.0014858549486425066
2024-02-27,0.008114281945374113,-0.00014719748085501028,-0.006810521779339163
2024-02-28,-0.0066253847938637644,0.0005888766045727412,-0.0021896371944472026
2024-02-29,-0.0036930779211178377,0.014519911413462427,0.02078996747858297
2024-03-01,-0.006030514192251313,0.004496502915554146,0.00825982552183624
2024-03-04,-0.02538127970247539,-0.0013957489763811726,-0.003591063770984282
2024-03-05,-0.028440993821591154,-0.02957214971847355,-0.01948421375262155
2024-03-06,-0.005878028133039281,-0.001390733247020437,-0.0035033346396604603
2024-03-07,-0.0007097015611613466,0.017533448125351514,0.019076784751165476
2024-03-08,0.010236709383779408,-0.007136985020109288,-0.008313545751684748
2024-03-11,0.011831656603280116,-0.004184885228590285,-0.019332758891648982
2024-03-12,0.0027783521878488315,0.026599519645252867,0.019946455814511488
2024-03-13,-0.012122490458348567,-0.0004335858542521276,0.0066708374081581034
2024-03-14,0.01092745132547801,0.024379647664491966,0.012403729449981915
2024-03-15,-0.0021966136548198234,-0.020695070705498475,-0.024223786467438835
2024-03-18,0.0063724288623217,0.0021611015121683064,0.00034398325434925603
2024-03-19,0.013585161664762202,0.009800696063557268,0.00813845829732096
2024-03-20,0.01470918604658289,0.009064987335679398,0.012791359170393646
2024-03-21,-0.040857521996836565,0.009735702840635296,0.0
2024-03-22,0.005310156730488957,-0.0014671381619090207,0.0040415450203241665
2024-03-25,-0.008300327606878932,-0.013714733967117199,0.004696213001679439
2024-03-26,-0.006672497678184897,-0.002861473747645449,-0.007845994154095037
2024-03-27,0.02121239999825808,-0.0005216874719461417,0.008581036192426339
2024-03-28,-0.01055891521443486,-0.0016847705608512564,0.0030584610251771505
