Date,AAPL,MSFT,AMZN
2024-01-02,183.73130798339844,364.5894775390625,149.92999267578125
2024-01-03,182.3556060791016,364.3240356445313,148.47000122070312
2024-01-04,180.03964233398438,361.70904541015625,144.57000732421875
2024-01-05,179.3171844482422,361.5223083496094,145.24000549316406
2024-01-08,183.65213012695312,368.34478759765625,149.10000610351562
2024-01-09,183.2364501953125,369.4261169433594,151.3699951171875
2024-01-10,184.275634765625,376.2879333496094,153.72999572753906
2024-01-11,183.6818389892578,378.1165161132813,155.17999267578125
2024-01-12,184.0084381103516,381.8914184570313,154.6199951171875
2024-01-16,181.74197387695312,383.660888671875,153.16000366210938
2024-01-17,180.80172729492188,382.8744812011719,151.7100067138672
2024-01-18,186.6905670166016,387.1999206542969,153.5
2024-01-19,189.59043884277344,391.918701171875,155.33999633789062
2024-01-22,191.896484375,389.7952270507813,154.77999877929688
2024-01-23,193.17323303222656,392.144775390625,156.02000427246094
2024-01-24,192.50021362304688,395.7428283691406,156.8699951171875
2024-01-25,192.1735992431641,398.0137023925781,157.75
2024-01-26,190.44161987304688,397.0895690917969,159.1199951171875
2024-01-29,189.75868225097656,402.7815856933594,161.25999450683594
2024-01-30,186.1066131591797,401.6706848144531,159.0
2024-01-31,182.5040435791016,390.8471374511719,155.1999969482422
2024-02-01,184.93875122070312,396.942138671875,159.27999877929688
2024-02-02,183.9391632080078,404.2561340332031,171.80999755859375
2024-02-05,185.7503204345703,398.780517578125,170.30999755859375
2024-02-06,187.35366821289065,398.6231689453125,169.14999389648438
2024-02-07,187.4625244140625,407.0382080078125,170.52999877929688
2024-02-08,186.38375854492188,407.0971984863281,169.83999633789062
2024-02-09,187.14682006835935,413.4281311035156,174.4499969482422
2024-02-12,185.4621124267578,408.2277221679688,172.33999633789062
2024-02-13,183.37115478515625,399.4391174316406,168.63999938964844
2024-02-14,182.48919677734372,403.29986572265625,170.97999572753906
2024-02-15,182.20181274414065,400.4141845703125,169.8000030517578
2024-02-16,180.6657867431641,397.9519653320313,169.50999450683594
2024-02-20,179.92254638671875,396.7012023925781,167.0800018310547
2024-02-21,180.6757049560547,396.1003723144531,168.58999633789062
2024-02-22,182.7071990966797,405.4272155761719,174.5800018310547
2024-02-23,180.87388610839844,404.1369934082031,174.99000549316406
2024-02-26,179.52618408203125,401.3793640136719,174.72999572753906
2024-02-27,180.98291015625,401.3202819824219,173.5399932861328
2024-02-28,179.78382873535156,401.5566101074219,173.16000366210938
2024-02-29,179.119873046875,407.3871765136719,176.75999450683594
2024-03-01,178.03968811035156,409.218994140625,178.22000122070312
2024-03-04,173.52081298828125,408.6478271484375,177.5800018310547
2024-03-05,168.58570861816406,396.563232421875,174.1199951171875
2024-03-06,167.59475708007812,396.01171875,173.50999450683594
2024-03-07,167.47581481933594,402.9551696777344,176.82000732421875
2024-03-08,169.19021606445312,400.0792846679688,175.35000610351562
2024-03-11,171.1920166015625,398.4049987792969,171.9600067138672
2024-03-12,171.6676483154297,409.00238037109375,175.38999938964844
2024-03-13,169.58660888671875,408.8250427246094,176.55999755859375
2024-03-14,171.43975830078125,418.79205322265625,178.75
2024-03-15,171.06317138671875,410.1251220703125,174.4199981689453
2024-03-18,172.15325927734375,411.0114440917969,174.47999572753906
2024-03-19,174.4919891357422,415.0396423339844,175.89999389648438
2024-03-20,177.05862426757812,418.8019714355469,178.14999389648438
2024-03-21,169.82444763183594,422.8793029785156,178.14999389648438
2024-03-22,170.7262420654297,422.2588806152344,178.8699951171875
2024-03-25,169.3091583251953,416.46771240234375,179.7100067138672
2024-03-26,168.179443359375,415.2760009765625,178.3000030517578
2024-03-27,171.74693298339844,415.0593566894531,179.8300018310547
2024-03-28,169.9334716796875,414.3600769042969,180.3800048828125
