,weight
AAPL,0.0
ABBV,1.90675713346722e-16
ABT,0.0
ACN,0.0
ADBE,0.0
AMD,0.04350293488859679
AMGN,0.0
AMZN,4.8358794829076016e-17
AVGO,0.0
BAC,1.332771628813664e-17
BMY,0.0
COST,0.0
CRM,4.509370532789933e-17
CSCO,0.0
CVX,1.2681712897421558e-17
DHR,0.026310768039779917
DIS,0.09349575460122372
GOOG,7.192083343906928e-17
HD,0.0
HON,1.6545943267415674e-17
JPM,0.0
KO,3.3652354714791756e-17
LIN,0.011553741758726355
LLY,0.13365241622163926
MA,0.01088899087739349
MCD,0.1224680665884972
META,0.0
MRK,0.10232927765343951
MSFT,2.3315893254126197e-17
NEE,0.19639025976174115
NFLX,4.019720082489291e-17
NKE,2.0318220607459385e-17
NVDA,3.766289324542945e-17
ORCL,4.177907423125697e-17
PEP,0.0
PFE,0.0
PG,0.25940778960896327
PM,6.001152239853191e-17
TMO,0.0
TSLA,0.0
TXN,0.0
UNH,8.248287571124702e-18
UPS,0.0
V,9.163750279227893e-19
VZ,7.126035397209132e-17
WFC,0.0
WMT,2.0300597050855377e-17
XOM,0.0
