Date,NVDA,MSFT,AAPL,AMZN,GOOG,META,AVGO,TSLA,BRK-B,LLY,JPM,V,WMT,MA,NFLX,ORCL,XOM,COST,JNJ,HD,PG,BAC,ABBV,KO,PM,UNH,CRM,CSCO,IBM,WFC,CVX,ABT,MCD,GE,LIN,AMD,MRK,TMO,DIS,PEP,ACN,INTU,ISRG,QCOM,TXN,VZ,AMGN,NOW,ADBE,CAT,GS,UBER,RTX,BKNG,SPGI,PGR,T,NEE,BSX,DHR,PFE,AXP,LOW,UNP,TJX,HON,SYK,SCHW,ETN,BLK,C,GILD,DE,AMAT,BA,PANW,ADP,MDT,VRTX,COP,CB,LRCX,ADI,MU,SBUX,KLAC,ANET,PLD,MDLZ,LMT,NKE,UPS,SO,MO,ICE,BMY,ELV,WM,DUK
2017-05-25,3.4126415252685547,63.22934341430664,35.73213195800781,49.66899871826172,48.08224487304688,150.77679443359375,18.73951530456543,21.121999740600582,165.3000030517578,68.53671264648438,67.15322875976562,89.42704772949219,22.656997680664062,115.8298110961914,16.30500030517578,39.54128646850586,55.26852416992188,155.37921142578125,100.2013168334961,125.85042572021484,68.72206115722656,18.91741371154785,45.994590759277344,34.30634307861328,75.86272430419922,153.70835876464844,89.94940185546875,24.05525779724121,100.62918853759766,41.44238662719727,72.28777313232422,37.60097503662109,121.24491119384766,120.83854675292967,114.00259399414062,10.979999542236328,47.02457809448242,168.7040252685547,100.36048889160156,89.3204574584961,107.4307632446289,129.54769897460938,100.8411102294922,45.80894470214844,63.34147644042969,28.25135612487793,119.35887145996094,20.90399932861328,142.85000610351562,86.82125091552734,183.63790893554688,41.56999969482422,62.81180953979492,73.05247497558594,130.168701171875,32.631919860839844,15.42914867401123,28.269350051879883,27.26000022888184,71.68257141113281,20.6394157409668,68.58155059814453,69.1175537109375,89.97725677490234,33.34199523925781,100.87351989746094,127.7170181274414,35.11297607421875,64.85968780517578,325.1952209472656,46.71880722045898,46.531394958496094,106.8862533569336,40.89527893066406,176.27178955078125,19.606666564941406,83.34330749511719,67.59790802001953,118.5999984741211,34.10011291503906,122.18465423583984,13.604850769042969,69.62810516357422,28.702699661254883,51.97671890258789,91.42781066894533,9.25374984741211,43.48594665527344,37.50800704956055,222.4369201660156,46.46434020996094,75.82938385009766,35.24258804321289,39.08751678466797,53.90224456787109,39.48086929321289,160.84005737304688,61.12062454223633,59.64830017089844
2017-05-26,3.501005172729492,63.53813171386719,35.671775817871094,49.78900146484375,48.1779670715332,150.94546508789062,18.766748428344727,21.676000595092773,165.69000244140625,68.28301239013672,67.16108703613281,89.07890319824219,22.60492706298828,115.55426025390624,16.243000030517578,39.59375,55.1333236694336,158.16259765625,99.72206115722656,124.5956039428711,69.03063201904297,18.90927505493164,45.81427383422852,34.291229248046875,76.08494567871094,153.23353576660156,89.51575469970703,24.10116195678711,100.16287231445312,41.15185928344727,72.01957702636719,38.25119400024414,121.30966186523438,120.66268920898438,114.0372085571289,11.0,46.93782043457031,169.21139526367188,101.42706298828124,89.6092529296875,107.24747467041016,129.73497009277344,101.15110778808594,45.524017333984375,63.600242614746094,28.25758934020996,119.03636932373048,21.20599937438965,141.88999938964844,87.35034942626953,184.51284790039065,41.56999969482422,62.60626983642578,73.1887435913086,129.72457885742188,32.65507125854492,15.384757041931152,28.271352767944336,27.31999969482422,71.58928680419922,20.62657165527344,68.5992431640625,68.7606201171875,91.19375610351562,33.412776947021484,100.49644470214844,128.09783935546875,35.21098327636719,65.06939697265625,325.7234191894531,46.809303283691406,46.4881477355957,107.20053100585938,41.33129501342773,175.81948852539062,19.68000030517578,83.49983215332031,67.21090698242188,119.91999816894533,34.32719421386719,121.73954010009766,13.712700843811035,70.02552032470703,29.024545669555664,52.3072624206543,91.3318862915039,9.153124809265137,43.4003791809082,37.43546295166016,223.6907501220703,46.677371978759766,75.77926635742188,35.207698822021484,39.22987747192383,53.82196807861328,39.176002502441406,162.24020385742188,61.35118103027344,59.59927749633789
2017-05-30,3.5757949352264404,63.94682312011719,35.68568420410156,49.834999084472656,48.396671295166016,151.19351196289062,18.658597946166992,22.34000015258789,165.11000061035156,68.54550170898438,66.01236724853516,89.12596893310547,22.610706329345703,115.57327270507812,16.32200050354004,39.73373794555664,54.82909393310547,159.10520935058594,99.87135314941406,124.49047088623048,69.14929962158203,18.64076805114746,45.78654098510742,34.32145309448242,76.16112518310547,152.44796752929688,89.54532623291016,24.2388916015625,99.66364288330078,40.9555549621582,71.565673828125,38.49930191040039,121.36631774902344,120.26708984375,113.70884704589844,11.119999885559082,46.90890884399414,169.04550170898438,101.36155700683594,89.68525695800781,108.01547241210938,131.1300811767578,101.60333251953124,45.38156127929688,64.26663970947266,28.806272506713867,118.14556884765624,21.07200050354004,142.41000366210938,87.19327545166016,180.9017639160156,41.56999969482422,62.30827331542969,72.93548583984375,130.2797088623047,32.59332656860352,15.558302879333496,28.25930595397949,27.36000061035156,71.9370346069336,20.62015724182129,68.27155303955078,67.48587036132812,91.3917007446289,33.11195373535156,100.25508880615234,128.74160766601562,34.44474792480469,65.20365905761719,325.5633239746094,46.48502349853516,46.48093032836914,106.7378387451172,41.38580703735352,176.0927276611328,19.5,83.64810180664062,67.02921295166016,120.38999938964844,33.9033088684082,121.43999481201172,13.86740016937256,71.70829772949219,29.941312789916992,52.27419662475586,91.15747833251952,9.201250076293944,43.43150329589844,37.37099075317383,222.3097076416016,46.97025680541992,76.45211791992188,35.29144287109375,39.57781982421875,53.65253829956055,39.14697647094727,162.45289611816406,61.60737609863281,59.83746337890625
2017-05-31,3.562959909439087,63.42911529541016,35.474361419677734,49.73099899291992,47.85015106201172,150.28070068359375,18.63214683532715,22.733999252319336,165.27999877929688,69.61280822753906,64.63546752929688,89.6058578491211,22.740907669067383,116.74182891845705,16.30699920654297,39.70749282836914,54.42345428466797,160.44798278808594,100.7670440673828,124.19107055664062,69.69524383544922,18.29383087158203,45.78654098510742,34.351680755615234,76.06591033935547,151.23069763183594,88.34297943115234,24.124116897583008,100.2548370361328,40.15465927124024,71.16677856445312,39.06395721435547,122.14344024658205,120.35497283935548,114.31370544433594,11.1899995803833,47.07519912719727,168.5966796875,100.98734283447266,89.42892456054688,108.6263656616211,131.6824951171875,101.63111114501952,45.32615280151367,64.67432403564453,29.080625534057617,119.21292877197266,20.93000030517578,141.86000061035156,87.16019439697266,174.97164916992188,41.56999969482422,62.31341171264648,73.70667266845703,132.130126953125,32.75545120239258,15.550230979919434,28.41802215576172,27.030000686645508,72.04730987548828,20.953882217407227,68.13875579833984,66.9419937133789,90.97107696533205,33.271217346191406,100.30036926269533,129.63027954101562,34.524940490722656,64.91838836669922,327.4999084472656,45.65547561645508,46.76924514770508,106.91243743896484,41.67648315429688,176.7994842529297,19.76499938964844,84.34017181396484,66.57108306884766,123.5999984741211,33.82762145996094,122.55266571044922,13.717122077941896,72.52011108398438,30.00958633422852,52.563419342041016,90.6866226196289,9.21125030517578,43.205902099609375,37.55638122558594,223.1351776123047,47.03239822387695,75.85086059570312,35.31935119628906,39.77287673950195,53.67927551269531,39.16148376464844,161.5933074951172,62.26496887207031,60.026611328125
2017-06-01,3.563206911087036,63.66527938842773,35.571903228759766,49.79750061035156,47.95380783081055,150.35012817382812,18.251689910888672,22.691333770751957,166.66000366210938,69.98025512695312,65.3514633178711,89.76580810546875,23.09098625183105,117.23587036132812,16.298999786376953,40.057411193847656,54.55867004394531,160.6258544921875,101.18347930908205,125.51787567138672,69.72689819335938,18.473426818847656,46.26505661010742,34.59342193603516,76.76434326171875,155.0292205810547,88.7470474243164,24.34600257873535,100.28109741210938,40.89274597167969,71.7101058959961,39.44039535522461,124.13096618652344,121.84954833984376,115.8690948486328,10.93000030517578,47.18365478515625,170.5774383544922,101.23995971679688,89.70439910888672,109.34200286865234,132.3285675048828,102.12000274658205,46.39459609985352,63.89029693603516,28.99957656860352,119.98089599609376,21.302000045776367,141.3800048828125,87.34210205078125,178.07748413085938,41.56999969482422,62.57548141479492,74.24579620361328,132.95355224609375,33.010189056396484,15.687450408935549,28.510448455810547,27.61000061035156,73.0312271118164,20.99238586425781,69.32544708251953,68.35272216796875,91.21027374267578,33.57646942138672,100.64727783203124,131.2080535888672,35.37136459350586,65.50568389892578,332.8464660644531,46.06270599365234,46.57463455200195,108.8680419921875,41.785491943359375,176.50735473632812,23.165000915527344,85.1475601196289,67.99285125732422,127.16000366210938,33.956295013427734,123.97341918945312,13.829388618469238,69.5181884765625,29.999834060668945,52.679107666015625,91.34060668945312,9.282500267028809,43.49374008178711,37.84657669067383,223.00021362304688,46.57819366455078,77.0605239868164,35.54267501831055,39.75180816650391,53.81306457519531,39.58250427246094,166.325439453125,62.734642028808594,60.53104782104492
2017-06-02,3.5454351902008057,65.17288970947266,36.09905624389648,50.33649826049805,48.38277816772461,152.41395568847656,19.803071975708008,22.656667709350582,166.2899932861328,70.10272216796875,65.02100372314453,90.47149658203124,23.03601837158203,118.94596099853516,16.51799964904785,39.94367980957031,53.74738693237305,160.92820739746094,102.20490264892578,125.6797103881836,70.09080505371094,18.326488494873047,46.63957214355469,34.668975830078125,77.32943725585938,154.86520385742188,89.54532623291016,24.468420028686523,99.8738250732422,40.68074798583984,70.91230773925781,39.78261947631836,125.23057556152344,122.55290222167967,118.05530548095705,10.899999618530272,47.335479736328125,172.10928344726562,100.27628326416016,90.04103088378906,109.7347183227539,133.7142791748047,102.74333190917967,46.36295318603516,64.0000991821289,28.9559268951416,122.21556854248048,21.459999084472656,143.47999572753906,87.590087890625,176.6695556640625,41.56999969482422,62.74501037597656,74.44762420654297,133.37913513183594,33.25722885131836,15.687450408935549,28.67319869995117,27.600000381469727,73.65892028808594,20.883281707763672,69.51143646240234,68.17424011230469,91.7133560180664,33.275638580322266,101.08473205566406,131.00857543945312,34.7031364440918,65.33787536621094,333.91729736328125,46.08534240722656,47.136817932128906,109.05138397216795,42.51218795776367,179.24937438964844,23.018333435058597,83.19499969482422,67.7874984741211,129.89999389648438,33.502132415771484,124.22158813476562,14.032709121704102,68.41885375976562,30.43871116638184,53.35670852661133,92.32594299316406,9.516249656677246,44.24833297729492,38.04005432128906,223.63522338867188,47.18378448486328,77.06767272949219,35.598506927490234,39.60419464111328,53.795223236083984,39.90190505981445,166.22801208496094,63.40932083129883,60.44697189331055
2017-06-05,3.653298377990722,65.64517974853516,35.74606704711914,50.56700134277344,48.783485412597656,152.43377685546875,19.6225700378418,23.15466690063477,166.52000427246094,69.42033386230469,65.13903045654297,90.847900390625,23.22117805480957,119.6109619140625,16.506000518798828,40.17113494873047,54.166542053222656,161.915283203125,102.42491912841795,125.22664642333984,70.2094955444336,18.29383087158203,46.81988525390625,34.74452590942383,77.4437255859375,154.84793090820312,90.05780792236328,24.30009651184082,100.11031341552734,40.61008071899414,70.96733856201172,39.88527297973633,124.45677947998048,122.99242401123048,115.95901489257812,11.239999771118164,47.0462646484375,172.15814208984375,99.65879821777344,90.20174407958984,110.46780395507812,133.56448364257812,102.445556640625,46.58456039428711,64.20391082763672,28.912281036376957,123.03727722167967,21.48600006103516,143.58999633789062,86.97005462646484,177.23275756835938,41.56999969482422,62.15927505493164,74.275634765625,133.6011962890625,33.241783142089844,15.663235664367676,28.500396728515625,27.51000022888184,73.39598083496094,20.7613468170166,69.93650817871094,67.51136779785156,90.8803482055664,33.191593170166016,100.67743682861328,130.77279663085938,34.8367805480957,64.40664672851562,333.52276611328125,46.19092178344727,47.19447708129883,109.41807556152344,42.43952941894531,178.04322814941406,23.420000076293945,83.29385375976562,67.89018249511719,130.1699981689453,33.320457458496094,124.1445541381836,14.21001148223877,66.59233856201172,30.43871116638184,53.10879898071289,92.77938079833984,9.645625114440918,43.88270950317383,37.88689041137695,222.3414764404297,47.21050643920898,77.26809692382812,35.45893859863281,39.57255554199219,55.02594757080078,38.0073471069336,165.43934631347656,63.11894989013672,60.1317138671875
2017-06-06,3.636760711669922,65.86314392089844,35.8668212890625,50.150001525878906,48.43088912963867,151.62014770507812,19.750946044921875,23.523332595825195,166.1300048828125,69.19287109375,65.27281188964844,90.13275146484376,22.83638000488281,118.98397064208984,16.517000198364258,39.899940490722656,54.90345764160156,161.3550567626953,102.79417419433594,124.74930572509766,70.2569808959961,18.14688873291016,47.06956100463867,34.73697662353516,77.4627685546875,156.09970092773438,89.78184509277344,24.14707374572754,100.0840301513672,40.68074798583984,71.64131927490234,39.662841796875,123.18606567382812,122.77261352539062,115.84598541259766,12.029999732971191,46.75707626342773,171.79705810546875,98.70450592041016,90.06401824951172,110.24960327148438,132.6094207763672,102.7066650390625,46.06220245361328,64.46266174316406,28.9559268951416,122.50736236572266,21.573999404907227,143.02999877929688,86.43269348144531,177.6799774169922,41.56999969482422,61.717411041259766,74.2081069946289,133.16635131835938,33.16457748413086,15.630946159362791,28.514463424682617,27.5,72.7173843383789,20.58164405822754,69.83027648925781,66.88247680664062,89.86589050292969,32.72267150878906,100.1118392944336,130.61865234375,34.49821090698242,64.03749084472656,333.208740234375,46.00992584228516,46.74039459228516,109.17361450195312,42.30326843261719,175.97024536132812,23.190000534057617,83.3762435913086,67.92967224121094,127.72000122070312,33.668663024902344,123.3999252319336,14.273841857910156,67.73392486572266,30.789813995361328,53.01789855957031,94.00015258789062,9.709375381469728,43.9371337890625,37.73371124267578,219.761962890625,46.73849105834961,76.8958740234375,35.44497299194336,39.68326568603516,54.89216613769531,37.49921417236328,166.29002380371094,62.69196701049805,60.1176872253418
2017-06-07,3.680696487426758,65.74507904052734,36.08046722412109,50.50350189208984,48.64760971069336,151.927734375,19.78362274169922,23.976667404174805,166.5,69.4553451538086,66.02025604248047,90.41503143310548,22.9000301361084,118.93645477294922,16.56100082397461,39.71623229980469,54.70064163208008,162.02197265625,102.7313461303711,125.36418151855467,70.23322296142578,18.44893455505371,47.67985153198242,34.381893157958984,77.65323638916016,158.16287231445312,90.06766510009766,24.18533134460449,99.1710205078125,40.90060043334961,71.36622619628906,39.833946228027344,123.76445770263672,121.67373657226562,115.66349792480467,12.380000114440918,46.316036224365234,172.0605010986328,99.09745025634766,89.566650390625,110.44161224365234,132.9278106689453,103.55555725097656,45.53192138671875,64.98796081542969,28.993335723876957,124.14307403564452,21.63800048828125,143.6199951171875,85.57291412353516,178.71530151367188,41.56999969482422,61.54270935058594,74.22811889648438,135.09083557128906,33.156864166259766,15.64305591583252,28.64707565307617,27.84000015258789,72.46292877197266,20.536731719970703,70.68045806884766,66.10912322998047,89.98960876464844,32.81999969482422,100.0967025756836,130.97225952148438,34.63185119628906,62.8797492980957,333.1845703125,46.66601943969727,46.35841369628906,109.38314819335938,42.930057525634766,177.24234008789062,23.33833312988281,83.63307189941406,67.91388702392578,124.98999786376952,32.9722785949707,123.494140625,14.388198852539062,68.73735046386719,31.69683837890625,52.47252655029297,94.7587890625,9.753125190734863,44.15496826171875,37.69342041015625,220.1587829589844,47.406436920166016,76.35904693603516,35.598506927490234,39.86251831054688,56.73826599121094,38.1597785949707,167.4727783203125,62.988319396972656,60.3138313293457
2017-06-08,3.947763442993164,65.34544372558594,35.99222183227539,50.51350021362305,48.77009963989258,153.50537109375,19.83574485778809,24.666667938232425,166.94000244140625,70.07649230957031,66.8385238647461,90.41503143310548,22.83638000488281,118.52792358398438,16.58799934387207,39.73373794555664,54.50457763671875,161.3194580078125,102.5741958618164,124.18302154541016,69.5053482055664,18.75097274780273,47.68678665161133,34.094818115234375,76.89765930175781,156.85072326660156,89.92969512939453,24.18533134460449,99.9066925048828,41.2696418762207,71.52439880371094,39.97083282470703,123.34898376464844,121.27809143066406,115.5765609741211,12.899999618530272,45.69425964355469,170.567626953125,97.60050964355467,88.6789779663086,110.10997772216795,133.62063598632812,103.31666564941406,45.99888610839844,66.12480163574219,28.8000545501709,124.9033203125,21.93600082397461,142.6300048828125,86.81298828125,181.1834259033203,41.56999969482422,61.62493896484375,74.30705261230469,134.72071838378906,33.241783142089844,15.538125038146973,28.42003059387207,27.90999984741211,71.72499084472656,20.37628555297852,70.80442810058594,65.98165130615234,90.59168243408205,32.19624710083008,100.72271728515624,129.14964294433594,35.4248161315918,63.31599807739258,334.3359680175781,47.66901397705078,46.21425628662109,110.00299835205078,43.08446502685547,178.96669006347656,23.203332901000977,83.49224090576172,67.88227844238281,125.91000366210938,32.60138320922852,124.0675811767578,14.624907493591309,70.10651397705078,31.648067474365234,51.43133544921875,94.98551940917967,9.829375267028809,43.92160034179688,37.3951416015625,220.3492431640625,47.379730224609375,76.40914916992188,35.41007232666016,39.65163803100586,56.88986587524414,38.36302185058594,166.81466674804688,62.309715270996094,59.81643295288086
