Date,drawdown
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,-0.010943957917260994
2022-01-06,-0.01126982199242288
2022-01-07,-0.01328006231635448
2022-01-10,-0.014604970238646264
2022-01-11,-0.00870129254786689
2022-01-12,-0.0068667625432389245
2022-01-13,-0.016061729015296455
2022-01-14,-0.01626597545215014
2022-01-18,-0.0321176374692933
2022-01-19,-0.03903011376141774
2022-01-20,-0.04780534208819254
2022-01-21,-0.061024989320027645
2022-01-24,-0.05992457481340607
2022-01-25,-0.06748778646838793
2022-01-26,-0.0722129456774876
2022-01-27,-0.0732953198164259
2022-01-28,-0.055170073943585085
2022-01-31,-0.04086174555800559
2022-02-01,-0.03483185326217986
2022-02-02,-0.02691592699733958
2022-02-03,-0.04390764985187723
2022-02-04,-0.04361748176843505
2022-02-07,-0.04541990557777964
2022-02-08,-0.03842732377671887
2022-02-09,-0.0259373094210944
2022-02-10,-0.04268607467518648
2022-02-11,-0.05775833360312743
2022-02-14,-0.06208965230217711
2022-02-15,-0.04891978500339267
2022-02-16,-0.048106084991416664
2022-02-17,-0.06329969321569495
2022-02-18,-0.06870619023814206
2022-02-22,-0.0761244107839687
2022-02-23,-0.08861790271444137
2022-02-24,-0.08134395166322084
2022-02-25,-0.05937697088895377
2022-02-28,-0.06370858081905084
2022-03-01,-0.07645315869275848
2022-03-02,-0.059499772548805785
2022-03-03,-0.061402914756503946
2022-03-04,-0.06557703960017447
2022-03-07,-0.08937435162975838
2022-03-08,-0.09843248170228702
2022-03-09,-0.07910690540355236
2022-03-10,-0.08246717455968067
2022-03-11,-0.09065976315730384
2022-03-14,-0.09264862701167786
2022-03-15,-0.0741119400204201
2022-03-16,-0.05791882422816341
2022-03-17,-0.04691068531732301
2022-03-18,-0.03925931479751399
2022-03-21,-0.04141961105080727
2022-03-22,-0.033653203449001245
2022-03-23,-0.04722058724872158
2022-03-24,-0.035399453527179214
2022-03-25,-0.02934775474551765
2022-03-28,-0.02385642422388423
2022-03-29,-0.013443157038690923
2022-03-30,-0.01697871697661768
2022-03-31,-0.02947837217090965
2022-04-01,-0.02510694161585436
2022-04-04,-0.022388052474269338
2022-04-05,-0.03115717993447309
2022-04-06,-0.03377436137139589
2022-04-07,-0.028016809806943876
2022-04-08,-0.02836339280338851
2022-04-11,-0.03975315156639447
2022-04-12,-0.043953394757660025
2022-04-13,-0.036103980152900506
2022-04-14,-0.0438819290837148
2022-04-18,-0.04704295910063239
2022-04-19,-0.032116584896591305
2022-04-20,-0.02916654292275045
2022-04-21,-0.04079978792055572
2022-04-22,-0.06819101205013667
2022-04-25,-0.06319954938124572
2022-04-26,-0.08463218323946142
2022-04-27,-0.08392891838138694
2022-04-28,-0.06275535608223726
2022-04-29,-0.09232886317646283
2022-05-02,-0.09049847623650009
2022-05-03,-0.0880103450387012
2022-05-04,-0.06304960982861829
2022-05-05,-0.0906608339125361
2022-05-06,-0.09599670645126679
2022-05-09,-0.12124834105157689
2022-05-10,-0.12240340355462243
2022-05-11,-0.13127871385518086
2022-05-12,-0.1286543768542926
2022-05-13,-0.11053639583969865
2022-05-16,-0.11245561243245705
2022-05-17,-0.0970824033372536
2022-05-18,-0.1283108967912362
2022-05-19,-0.13432692870283502
2022-05-20,-0.1316346533807793
2022-05-23,-0.1167068882043627
2022-05-24,-0.11829915792344381
2022-05-25,-0.11114398409040782
2022-05-26,-0.09646648450153372
2022-05-27,-0.07826534434798604
2022-05-31,-0.08510549083546648
2022-06-01,-0.09302625004958776
2022-06-02,-0.07600797922932945
2022-06-03,-0.08760266322644716
2022-06-06,-0.08687497178836334
2022-06-07,-0.07832492542193126
2022-06-08,-0.08896568348882639
2022-06-09,-0.10903390017350223
2022-06-10,-0.1312833499147812
2022-06-13,-0.1604920570318612
2022-06-14,-0.16555802305372103
2022-06-15,-0.15531147972251558
2022-06-16,-0.17703514925084318
2022-06-17,-0.17657992310814452
2022-06-21,-0.15753497537103633
2022-06-22,-0.15761601776867606
2022-06-23,-0.14966412381282324
2022-06-24,-0.12561978061411494
2022-06-27,-0.12841189643396378
2022-06-28,-0.14338740068099665
2022-06-29,-0.14432399446677857
2022-06-30,-0.14852820086135587
2022-07-01,-0.13997531631614346
2022-07-05,-0.14249669882295246
2022-07-06,-0.14045943180611098
2022-07-07,-0.1303524552930716
2022-07-08,-0.1310420617603727
2022-07-11,-0.13793097055515458
2022-07-12,-0.14528145974371964
2022-07-13,-0.14886978754860525
2022-07-14,-0.1526558217556212
2022-07-15,-0.13524540250167283
2022-07-18,-0.1437257360103693
2022-07-19,-0.12151367042664141
2022-07-20,-0.11915539130446917
2022-07-21,-0.11192059788319664
2022-07-22,-0.11737111352264362
2022-07-25,-0.11487012731657986
2022-07-26,-0.1227440836754441
2022-07-27,-0.10572462152647943
2022-07-28,-0.09252217101048743
2022-07-29,-0.08511514301477618
2022-08-01,-0.08563795285642661
2022-08-02,-0.09100599620362204
2022-08-03,-0.07815791904586844
2022-08-04,-0.07842842230166647
2022-08-05,-0.0785903193930585
2022-08-08,-0.07986839401168344
2022-08-09,-0.08300948081641435
2022-08-10,-0.06610305608629552
2022-08-11,-0.06586540681597408
2022-08-12,-0.05114490264690974
2022-08-15,-0.04637579664478586
2022-08-16,-0.042846962086835805
2022-08-17,-0.0485740652185479
2022-08-18,-0.046079690733251244
2022-08-19,-0.056328586115320434
2022-08-22,-0.07425878835667654
2022-08-23,-0.07791249002342926
2022-08-24,-0.0750484758287393
2022-08-25,-0.06398819387983212
2022-08-26,-0.09285289610111513
