Date,NVDA,MSFT,AAPL,AMZN,GOOG,META,AVGO,TSLA,BRK-B,LLY,JPM,V,WMT,MA,NFLX,ORCL,XOM,COST,JNJ,HD,PG,BAC,ABBV,KO,PM,PLTR,UNH,CRM,CSCO,IBM,WFC,CVX,ABT,MCD,GE,LIN,AMD,MRK,TMO,DIS,PEP,ACN,INTU,ISRG,QCOM,TXN,VZ,AMGN,NOW,ADBE,CAT,GS,UBER,RTX,BKNG,SPGI,PGR,T,NEE,BSX,DHR,PFE,AXP,LOW,UNP,TJX,HON,SYK,SCHW,ETN,BLK,C,GILD,DE,AMAT,BA,PANW,ADP,MDT,VRTX,COP,CB,LRCX,ADI,MU,SBUX,KLAC,ANET,PLD,MDLZ,LMT,NKE,UPS,SO,MO,ICE,BMY,ELV,WM,DUK
2020-12-28,12.863128662109377,215.3665008544922,132.9368133544922,164.197998046875,88.08136749267578,274.8431701660156,38.77091598510742,221.22999572753903,228.41000366210935,157.74166870117188,109.03053283691406,204.63580322265625,45.133914947509766,333.7772216796875,51.9119987487793,60.13765335083008,33.88864517211914,350.6087646484375,132.20309448242188,236.79226684570312,121.50968170166016,26.552169799804688,84.4474105834961,46.27823638916016,64.19114685058594,25.6299991607666,316.4152526855469,221.3896026611328,38.345977783203125,96.4697036743164,26.544174194335938,67.98127746582031,97.9849624633789,189.86685180664065,51.76456832885742,241.85699462890625,91.5999984741211,65.01591491699219,454.2705383300781,174.744873046875,124.80056762695312,239.67498779296875,367.5353088378906,268.3866577148437,131.80894470214844,139.17572021484375,42.96593475341797,189.75607299804688,108.7480010986328,498.9500122070313,161.81419372558594,229.30918884277344,51.970001220703125,62.76640701293945,83.94852447509766,304.3857727050781,83.5608139038086,15.227934837341309,65.97945404052734,34.91999816894531,192.77508544921875,28.375463485717773,110.6729507446289,147.13357543945312,182.919921875,63.33471298217773,177.80221557617188,225.34390258789065,49.42905807495117,108.1422882080078,626.4336547851562,50.8682861328125,46.68767929077149,249.15711975097656,81.17411041259766,216.08999633789065,60.24666595458984,157.89480590820312,98.33187103271484,232.47000122070312,32.57140350341797,141.10951232910156,45.02739334106445,132.16697692871094,68.91377258300781,92.6313018798828,243.7506256103516,18.18375015258789,84.70169830322266,50.6660270690918,307.0966796875,131.76052856445312,137.48204040527344,49.26502227783203,27.633150100708008,106.1927719116211,49.214942932128906,290.5769958496094,108.72042083740234,73.56202697753906
2020-12-29,12.906254768371582,214.59103393554688,131.16680908203125,166.10000610351562,87.21993255615234,274.6249389648437,38.515960693359375,221.9966735839844,229.57000732421875,157.81747436523438,108.74346160888672,206.31036376953125,44.84797286987305,335.8993530273437,53.08700180053711,59.7575569152832,33.50704574584961,352.1772766113281,133.02294921875,234.10118103027344,121.28184509277344,26.446420669555664,85.46780395507812,46.25260925292969,63.70867919921875,24.65999984741211,317.6957092285156,219.24118041992188,38.10694885253906,95.6813735961914,26.411148071289062,67.74907684326172,98.47582244873048,188.7047119140625,51.37535858154297,241.29893493652344,90.62000274658205,65.7998275756836,456.3705749511719,173.2207489013672,125.23379516601562,237.9029693603516,364.8447570800781,271.3566589355469,132.4780731201172,138.9257049560547,42.84209442138672,192.4880828857422,109.1959991455078,502.1099853515625,160.25384521484375,227.9134826660156,52.27000045776367,62.5086669921875,85.81291198730469,307.6875305175781,83.19464111328125,15.222600936889648,65.8396224975586,35.5,192.87033081054688,28.552711486816406,110.46722412109376,145.77154541015625,181.82583618164065,62.9550666809082,177.1162109375,227.52615356445312,49.05558013916016,107.62784576416016,622.9934692382812,50.68521499633789,46.63844299316406,247.14523315429688,80.6002197265625,216.25,59.36666870117188,156.33917236328125,98.7076644897461,233.4900054931641,32.38078689575195,140.1990203857422,44.75501251220703,131.23516845703125,68.47491455078125,93.7765655517578,240.7034912109375,17.96875,84.2704849243164,50.822532653808594,306.8538513183594,130.9649658203125,135.61268615722656,49.33072280883789,27.133516311645508,105.54772186279295,49.456504821777344,291.9142761230469,107.55119323730467,73.244140625
2020-12-30,13.108176231384276,212.2263641357422,130.04835510253906,164.29249572753906,86.26775360107422,269.7531433105469,39.03574752807617,231.5933380126953,229.6499938964844,158.22491455078125,109.04791259765624,210.15040588378903,44.810691833496094,344.51336669921875,52.45899963378906,59.70194625854492,33.77497863769531,353.8120422363281,134.67129516601562,233.28323364257807,120.71234130859376,26.419984817504883,85.93311309814453,46.51749420166016,63.40522384643555,25.100000381469727,315.537109375,219.1820526123047,37.97036361694336,96.0987319946289,26.38453483581543,68.32560729980469,98.57581329345705,187.68450927734372,52.10511779785156,243.48483276367188,92.29000091552734,65.12907409667969,455.2564392089844,177.00169372558594,125.140380859375,237.6998748779297,362.163818359375,271.76666259765625,133.78062438964844,140.23585510253906,42.3540153503418,192.7426605224609,109.47599792480467,497.4500122070313,163.32919311523438,229.18548583984372,53.150001525878906,63.41512298583984,86.5927505493164,309.7357177734375,82.95619201660156,15.195930480957031,66.34657287597656,35.54999923706055,190.98367309570312,28.31381225585937,111.67344665527344,145.78976440429688,183.2134246826172,63.24211120605469,178.6575927734375,229.26889038085935,48.934207916259766,109.59374237060548,625.3397827148438,50.64360046386719,46.49072265625,248.6117706298828,83.19221496582031,216.6699981689453,59.29833221435547,155.39149475097656,98.76747131347656,232.67999267578125,33.15983963012695,141.15594482421875,45.81709671020508,133.53721618652344,70.14263916015625,94.0784149169922,246.18264770507807,18.059999465942383,85.21910858154297,50.70451736450195,307.079345703125,130.97421264648438,133.36624145507812,49.774173736572266,27.14017868041992,105.78142547607422,49.8591194152832,291.6541748046875,107.65247344970705,73.8147201538086
2020-12-31,13.017684936523438,212.9348297119141,129.04666137695312,162.84649658203125,86.88072967529297,271.0331115722656,39.30685424804688,235.22332763671875,231.8699951171875,159.9585723876953,110.53541564941406,210.5064697265625,44.801361083984375,345.8601989746094,54.073001861572266,59.97078323364258,33.46645736694336,356.0135192871094,135.81910705566406,233.59988403320312,121.91268920898438,26.710798263549805,87.46776580810547,46.85927200317383,64.42459869384766,23.549999237060547,320.74139404296875,219.31016540527344,38.20085144042969,97.2889404296875,26.76589584350586,67.62095642089844,99.53031158447266,190.36361694335935,52.54297637939453,245.10324096679688,91.70999908447266,66.10693359375,459.2496032714844,177.01145935058594,125.98137664794922,241.08714294433597,366.31060791015625,272.70001220703125,135.91294860839844,141.4684600830078,42.79838562011719,195.07591247558597,110.08599853515624,500.1199951171875,165.12539672851562,232.94857788085935,51.0,63.548431396484375,87.45700073242188,314.6167297363281,84.20805358886719,15.339945793151855,67.43033599853516,35.95000076293945,192.24717712402344,28.367755889892575,113.05733489990234,145.74432373046875,185.20590209960935,63.23284149169922,180.13967895507812,232.0914001464844,49.52242660522461,110.36539459228516,636.4539794921875,51.30931091308594,47.8120002746582,251.3206329345703,82.5418472290039,214.05999755859372,59.231666564941406,157.52822875976562,100.0486068725586,236.33999633789065,33.14328384399414,143.0048065185547,44.6651611328125,134.95318603515625,73.32209777832031,94.97510528564452,245.00924682617188,18.160625457763672,85.94351196289062,51.11540985107422,307.7903137207031,130.8724365234375,135.10720825195312,50.44757843017578,27.313383102416992,107.78207397460938,50.34610748291016,298.19219970703125,108.57312774658205,74.62979888916016
2021-01-04,13.07601833343506,208.4065399169922,125.85669708251952,159.3314971923828,85.70834350585938,266.8459777832031,38.17303085327149,243.2566680908203,228.4499969482422,156.79429626464844,109.49156951904295,209.57290649414065,45.541046142578125,340.5793151855469,52.2859992980957,59.09936141967773,33.693790435791016,359.1977844238281,135.05963134765625,232.1048126220703,120.75613403320312,26.46404457092285,86.04740142822266,45.081974029541016,63.42074966430664,23.3700008392334,319.66217041015625,217.12225341796875,37.83080291748047,95.78958892822266,26.34019088745117,67.82914733886719,99.18489837646484,186.49571228027344,50.93749237060547,240.7315368652344,92.3000030517578,65.42806243896484,465.2049255371094,173.59201049804688,122.55785369873048,236.7030792236328,358.4510803222656,266.6666564941406,132.4869842529297,139.8221435546875,42.87123489379883,192.30990600585935,105.36599731445312,485.3399963378906,165.24334716796875,234.0880279541016,51.13999938964844,60.81133270263672,84.97573852539062,318.942626953125,82.71773529052734,15.702638626098633,64.86946868896484,35.27000045776367,193.1905212402344,28.367755889892575,110.37374114990234,145.62631225585938,180.57171630859372,61.86244201660156,176.11683654785156,226.38954162597656,49.2609977722168,109.08847045898438,626.9981079101562,50.044464111328125,49.33022689819336,250.00363159179688,83.0870132446289,202.72000122070312,58.61000061035156,151.05545043945312,99.0920181274414,229.42999267578125,32.7951774597168,139.11195373535156,45.20896911621094,133.39105224609375,72.22000885009766,91.53050994873048,246.3529510498047,17.697500228881836,82.82172393798828,50.634578704833984,298.8249206542969,129.60504150390625,131.4166259765625,48.74764251708984,27.206790924072266,105.9216537475586,49.81852340698242,295.8611755371094,105.71910095214844,73.12187194824219
2021-01-05,13.36643409729004,208.6075592041016,127.41275024414062,160.92550659179688,86.33718872070312,268.8601379394531,38.43157958984375,245.0366668701172,227.47000122070312,157.57118225097656,110.08734893798828,206.44515991210935,45.29862976074219,336.6357421875,52.08000183105469,58.36698532104492,35.317588806152344,355.03094482421875,136.64756774902344,233.97808837890625,121.52716827392578,26.666732788085938,86.93714904785156,44.58638000488281,64.11332702636719,24.600000381469727,315.36334228515625,218.31480407714844,37.84801864624024,97.4898910522461,27.07629776000977,69.66281127929688,100.41207122802734,187.61346435546875,52.39702224731445,244.5079345703125,92.7699966430664,65.54121398925781,471.022216796875,174.3345184326172,122.92315673828124,238.05059814453125,355.7219543457031,268.3500061035156,135.9932098388672,140.8478240966797,42.6745491027832,193.24322509765625,106.3939971923828,485.6900024414063,166.59506225585938,239.32640075683597,54.0099983215332,61.69112014770508,85.9177474975586,314.3487854003906,82.56443786621094,15.606630325317385,65.35018157958984,36.2400016784668,197.9850006103516,28.66059684753418,110.96281433105467,146.11660766601562,182.78651428222656,61.77913284301758,176.5487823486328,226.99571228027344,49.27033615112305,110.24598693847656,630.314697265625,51.34259414672852,49.23995590209961,256.2060241699219,85.69812774658203,211.6300048828125,58.35833358764648,150.63523864746094,99.8863296508789,228.5800018310547,34.67653274536133,139.2234649658203,46.77231216430664,135.77532958984375,75.3506851196289,91.83232879638672,251.51986694335935,17.875625610351562,82.95109558105469,50.68703079223633,302.4231872558594,130.65040588378906,129.58741760253906,49.06793212890625,27.153507232666016,106.14602661132812,49.956504821777344,292.6293640136719,106.06891632080078,73.15447998046875
2021-01-06,12.578444480895996,203.19851684570312,123.12386322021484,156.91900634765625,86.05796813964844,261.259765625,38.19457244873047,251.9933319091797,230.2700042724609,155.67637634277344,115.25658416748048,204.62620544433597,45.58144760131836,336.7616271972656,50.04899978637695,58.22739791870117,36.218788146972656,349.6260070800781,137.93345642089844,235.3148193359375,122.80643463134766,28.332305908203125,86.18616485595703,43.16796112060547,64.19891357421875,23.540000915527344,328.5981140136719,213.02249145507807,38.20945358276367,99.92442321777344,28.99195098876953,71.9048080444336,100.20301055908205,187.1876678466797,55.26743316650391,252.53512573242188,90.33000183105467,66.57566833496094,478.4072265625,174.99887084960938,121.41950988769533,240.65333557128903,348.1325378417969,264.2633361816406,134.88693237304688,141.54600524902344,43.19176864624024,197.90121459960935,101.4499969482422,466.30999755859375,175.8665008544922,252.2409210205078,52.47999954223633,62.45537185668945,88.34207153320312,314.7411193847656,84.13143157958984,15.910656929016112,68.54907989501953,36.7599983215332,204.54498291015625,28.41399574279785,115.06770324707033,148.0688018798828,186.61126708984372,64.49213409423828,179.7670135498047,229.6382751464844,53.60261535644531,116.16200256347656,648.2914428710938,54.29667282104492,50.84025192260742,271.2265014648437,86.87456512451172,211.02999877929688,57.54666519165039,150.10775756835938,101.51763916015624,226.6499938964844,36.06061172485352,145.8478240966797,46.955787658691406,136.38739013671875,75.20438385009766,92.49815368652344,250.97103881835935,17.86687469482422,80.98490142822266,50.59086608886719,301.7641906738281,131.68650817871094,129.20230102539062,50.26690673828125,27.59317970275879,108.20277404785156,50.078250885009766,304.9065856933594,108.4166030883789,74.09998321533203
2021-01-07,13.305859565734863,208.98089599609372,127.32521057128906,158.10800170898438,88.63481140136719,266.6474914550781,39.804195404052734,272.0133361816406,232.8800048828125,157.1069793701172,119.04149627685548,205.7714385986328,45.57835006713867,339.4297180175781,50.88899993896485,58.69269180297852,36.502960205078125,347.64190673828125,138.39947509765625,234.1627197265625,121.65858459472656,28.957996368408203,87.10858917236328,42.68944549560547,64.57245635986328,25.0,333.86627197265625,214.82598876953125,38.69137954711914,99.69255065917967,29.64824104309082,72.24113464355469,101.17566680908205,188.0570831298828,54.829566955566406,251.8096466064453,95.16000366210938,67.90101623535156,493.3153076171875,174.4713134765625,121.02879333496094,242.9239044189453,355.49053955078125,269.4033203125,138.91058349609375,144.75241088867188,43.09458160400391,198.55455017089844,102.28199768066406,477.739990234375,176.20213317871094,257.6293640136719,56.130001068115234,62.01102828979492,87.95097351074219,314.94219970703125,84.62267303466797,15.953325271606444,69.30072784423828,36.560001373291016,207.45281982421875,28.560420989990234,114.15750885009766,148.64996337890625,189.2084808349609,64.72362518310547,180.0634765625,230.84115600585935,55.1431884765625,118.5872039794922,661.9283447265625,54.93741607666016,51.30803298950195,279.97900390625,90.44210815429688,212.7100067138672,60.518333435058594,150.9570770263672,101.38097381591795,232.8999938964844,37.046871185302734,144.80726623535156,48.65530014038086,142.15164184570312,77.15496826171875,91.75242614746094,263.2541809082031,18.498125076293945,82.2008285522461,50.49470138549805,297.01275634765625,134.09173583984375,127.56564331054688,50.20941925048828,27.83300399780273,108.26820373535156,50.61394119262695,313.3205261230469,108.68362426757812,73.26859283447266
2021-01-08,13.238801956176758,210.2541961669922,128.42420959472656,159.13499450683594,89.62467956542969,265.4866027832031,40.00618743896485,293.3399963378906,234.02999877929688,157.65643310546875,119.1729507446289,207.3498077392578,45.5721321105957,343.3007507324219,51.040000915527344,58.981178283691406,36.90890884399414,349.550537109375,138.1147003173828,236.65159606933597,121.60602569580078,28.667177200317383,87.56572723388672,43.646461486816406,64.65804290771484,25.200000762939453,332.3663024902344,218.8272705078125,38.77743911743164,99.33705139160156,29.435386657714844,72.92974090576172,101.4574737548828,191.5081024169922,55.17012405395508,251.5119781494141,94.58000183105467,67.10095977783203,505.1174011230469,174.57876586914062,122.4813995361328,243.80987548828125,361.6915893554688,272.9166564941406,139.74925231933594,147.52781677246094,42.557090759277344,202.3470764160156,105.9280014038086,485.1000061035156,176.2293243408203,256.2426147460937,53.27999877929688,62.082122802734375,89.58798217773438,312.8174133300781,84.4083251953125,15.843308448791504,70.90890502929688,36.75,210.7242126464844,28.61436462402344,114.27010345458984,149.86666870117188,194.63427734375,65.01992797851562,177.87841796875,230.78433227539065,55.068485260009766,116.55702209472656,667.2471313476562,54.39652633666992,51.73478698730469,274.5425720214844,91.39859008789062,209.8999938964844,61.09166717529297,152.92396545410156,102.24361419677734,237.0,37.046871185302734,144.3798828125,47.44190216064453,143.18392944335938,75.5067138671875,93.81210327148438,267.9761657714844,19.13249969482422,83.30465698242188,50.87061309814453,291.420166015625,135.3868865966797,127.07621002197266,50.56254577636719,27.70643424987793,109.96968841552734,50.719459533691406,313.0419006347656,109.18997192382812,73.39900207519531
2021-01-11,13.582566261291504,208.21507263183597,125.43848419189452,155.7104949951172,87.61666870117188,254.8401336669922,40.01695251464844,270.39666748046875,233.42999267578125,176.15908813476562,120.95149230957033,204.8860321044922,45.77725601196289,337.8192138671875,49.90999984741211,58.65547943115234,38.029327392578125,343.9473571777344,137.5364532470703,238.5335998535156,120.78241729736328,29.143054962158203,88.99427032470703,42.8945198059082,64.05107116699219,25.93000030517578,329.95172119140625,215.09210205078125,39.03561782836914,99.3756866455078,29.479738235473636,73.34612274169922,100.75749969482422,190.05316162109372,55.70528411865234,248.84243774414065,97.25,68.6930160522461,506.1526489257813,174.96957397460938,120.70597076416016,240.2934417724609,359.64385986328125,271.2166748046875,139.27638244628906,147.65711975097656,42.30675506591797,201.5665435791016,104.61199951171876,474.239990234375,175.8665008544922,259.5551452636719,54.59000015258789,62.02881240844727,87.22139739990234,305.49591064453125,84.93529510498047,15.761415481567385,69.65033721923828,36.43999862670898,211.26939392089844,29.10758399963379,113.59449768066406,151.01980590820312,193.3267517089844,63.30693054199219,176.46408081054688,229.0699920654297,56.25425720214844,116.6304931640625,676.2708129882812,55.28690719604492,51.29982376098633,275.4859619140625,93.69408416748048,206.7899932861328,60.79999923706055,150.65310668945312,101.2101593017578,234.63999938964844,37.5938835144043,143.199951171875,48.84634399414063,144.60903930664062,76.725830078125,92.86214447021484,273.5877990722656,18.934999465942383,81.63165283203125,49.90898895263672,292.79010009765625,136.03443908691406,129.86019897460938,50.26690673828125,27.546539306640625,109.98838806152344,52.73232650756836,314.61138916015625,107.7537612915039,72.779541015625
