0,cumulative_return
2022-01-03,0.00035537869766555374
2022-01-04,0.00029226834923568035
2022-01-05,-0.006213908582940797
2022-01-06,-0.0245165783590211
2022-01-07,-0.02731571689227652
2022-01-10,-0.0329706522568618
2022-01-11,-0.0309251358385646
2022-01-12,-0.028217278131276058
2022-01-13,-0.030043285055363356
2022-01-14,-0.043795001719195814
2022-01-18,-0.056904676856858516
2022-01-19,-0.0541551786105976
2022-01-20,-0.057915102611154845
2022-01-21,-0.09108813752451261
2022-01-24,-0.11052204186690451
2022-01-25,-0.11387113871533927
2022-01-26,-0.1093824630661957
2022-01-27,-0.10784072790778942
2022-01-28,-0.11208669099434032
2022-01-31,-0.08815479316677677
2022-02-01,-0.06664286891158033
2022-02-02,-0.057234525080289256
2022-02-03,-0.07038375657681861
2022-02-04,-0.08033561702133829
2022-02-07,-0.08142999455942546
2022-02-08,-0.08525116942374122
2022-02-09,-0.07357990084768273
2022-02-10,-0.07937482288360787
2022-02-11,-0.08693280890943489
2022-02-14,-0.10385775825524857
2022-02-15,-0.093263684326654
2022-02-16,-0.09585746317337052
2022-02-17,-0.09913734284738251
2022-02-18,-0.10676362220188118
2022-02-22,-0.11495559862691351
2022-02-23,-0.11916011550642347
2022-02-24,-0.12464017347448764
2022-02-25,-0.10657749668467253
2022-02-28,-0.10731304818068577
2022-03-01,-0.1065804810009433
2022-03-02,-0.10200954285721753
2022-03-03,-0.09662108689675941
2022-03-04,-0.10614482707363437
2022-03-07,-0.11266242134054161
2022-03-08,-0.1202130684418925
2022-03-09,-0.1156550891340371
2022-03-10,-0.11848887998753532
2022-03-11,-0.1118491372982352
2022-03-14,-0.12243800723439036
2022-03-15,-0.1121773081711892
2022-03-16,-0.09459118119962084
2022-03-17,-0.08342248834924404
2022-03-18,-0.07124456730293383
2022-03-21,-0.06556903197702812
2022-03-22,-0.06355023836248574
2022-03-23,-0.07036278414927621
2022-03-24,-0.07040351134549816
2022-03-25,-0.0654617269429858
2022-03-28,-0.06007507725324823
2022-03-29,-0.044226556708282905
2022-03-30,-0.04525940197508038
2022-03-31,-0.05000108748166743
2022-04-01,-0.05635211047128719
2022-04-04,-0.05017335094591824
2022-04-05,-0.04958944476786398
2022-04-06,-0.05813056371311376
2022-04-07,-0.05191981533678547
2022-04-08,-0.05453240113210778
2022-04-11,-0.06149524988776045
2022-04-12,-0.06669929525225937
2022-04-13,-0.07283165789554369
2022-04-14,-0.07106560227512149
2022-04-18,-0.08147184543304198
2022-04-19,-0.0757161790920704
2022-04-20,-0.09592793355836082
2022-04-21,-0.1046107652082735
2022-04-22,-0.12392019135903776
2022-04-25,-0.14374741014434533
2022-04-26,-0.14730476047611762
2022-04-27,-0.1575258122773967
2022-04-28,-0.1429472406874518
2022-04-29,-0.14678327107074485
2022-05-02,-0.16454020156418925
2022-05-03,-0.163475851081212
2022-05-04,-0.14753310279824994
2022-05-05,-0.15426164860987768
2022-05-06,-0.17254636529072676
2022-05-09,-0.18209607247884863
2022-05-10,-0.18244352878297554
2022-05-11,-0.1849241574629883
2022-05-12,-0.19909302107547544
2022-05-13,-0.1842215070626826
2022-05-16,-0.17290485678394574
2022-05-17,-0.17276284387273388
2022-05-18,-0.1866483600166967
2022-05-19,-0.21144108717764065
2022-05-20,-0.2068667168556384
2022-05-23,-0.19948525286986762
2022-05-24,-0.20160562102863222
2022-05-25,-0.19464047361172843
2022-05-26,-0.17862995392835024
2022-05-27,-0.1645844089870666
2022-05-31,-0.1613047495936477
2022-06-01,-0.1605004685639041
2022-06-02,-0.15760778967791356
2022-06-03,-0.16284407434324533
2022-06-06,-0.15610290827733686
2022-06-07,-0.16521855063957103
2022-06-08,-0.1608945366626071
2022-06-09,-0.16723879243059936
2022-06-10,-0.1995186071607693
2022-06-13,-0.22282615018451501
2022-06-14,-0.22742059944902193
2022-06-15,-0.2152921070263384
2022-06-16,-0.23507658586378688
2022-06-17,-0.2295410127649301
2022-06-21,-0.21922064480227832
2022-06-22,-0.21273490539721673
2022-06-23,-0.2074062876681636
2022-06-24,-0.184994377412672
2022-06-27,-0.18037057800970624
2022-06-28,-0.18040154665908614
2022-06-29,-0.20146149259410007
2022-06-30,-0.20368636571883203
2022-07-01,-0.20114247439538468
2022-07-05,-0.19641961784865325
2022-07-06,-0.18832863681807965
2022-07-07,-0.18430926295232597
2022-07-08,-0.1804247829727097
2022-07-11,-0.18585177017564292
2022-07-12,-0.19058951434804705
2022-07-13,-0.20083984840366265
2022-07-14,-0.2045055712843593
2022-07-15,-0.18372822773237552
2022-07-18,-0.17447862400973324
2022-07-19,-0.17246660894232135
2022-07-20,-0.15942609736433988
2022-07-21,-0.15201346927532478
2022-07-22,-0.1461108041693594
2022-07-25,-0.1516882148588562
2022-07-26,-0.16054566375877977
2022-07-27,-0.14865841096053778
2022-07-28,-0.13742441585260312
2022-07-29,-0.12966678525317188
2022-08-01,-0.1275266161710401
2022-08-02,-0.13026836416803755
2022-08-03,-0.13058892118830656
2022-08-04,-0.1319370025310297
2022-08-05,-0.1387989280975528
2022-08-08,-0.12875985169576953
2022-08-09,-0.13772539965756558
2022-08-10,-0.12309000321956698
2022-08-11,-0.1153118955156297
2022-08-12,-0.11283778184301296
2022-08-15,-0.10500489807847191
2022-08-16,-0.09942479148061556
2022-08-17,-0.10200371020591636
2022-08-18,-0.10216788228512008
2022-08-19,-0.10500999777024356
2022-08-22,-0.120067232047667
2022-08-23,-0.12841126074551157
2022-08-24,-0.12953850712121362
2022-08-25,-0.12438449717411681
2022-08-26,-0.12109403154361775
2022-08-29,-0.14913489482136888
2022-08-30,-0.15292960065514372
2022-08-31,-0.15615322889892747
2022-09-01,-0.16082467964691172
2022-09-02,-0.1513555774750921
2022-09-06,-0.16429598218509123
2022-09-07,-0.1597250300578723
2022-09-08,-0.1539959363149277
2022-09-09,-0.1402086104647824
2022-09-12,-0.13135606323395133
2022-09-13,-0.1497068280707392
2022-09-14,-0.1626338005778999
2022-09-15,-0.16263962471219273
2022-09-16,-0.1748542343320557
2022-09-19,-0.17452506299364767
2022-09-20,-0.17746083147964575
2022-09-21,-0.17318625462256854
2022-09-22,-0.1879665945705763
