0,cumulative_return
2022-01-03,0.003231475630070202
2022-01-04,0.010280546603955498
2022-01-05,0.008152730700534683
2022-01-06,-0.0018418480564557083
2022-01-07,-0.0035082843233649186
2022-01-10,-0.010083327935992759
2022-01-11,-0.0076564067302496985
2022-01-12,-0.0034092646281765893
2022-01-13,-0.001593773375612284
2022-01-14,-0.013957460708018843
2022-01-18,-0.02437510319269054
2022-01-19,-0.02173488103369492
2022-01-20,-0.024821989518438614
2022-01-21,-0.038709442542825045
2022-01-24,-0.055097413322411914
2022-01-25,-0.05673353352899668
2022-01-26,-0.0503511322286746
2022-01-27,-0.049681177605875315
2022-01-28,-0.04826447392990052
2022-01-31,-0.035741642659292694
2022-02-01,-0.029016640583985676
2022-02-02,-0.02127730524724636
2022-02-03,-0.027099292400396546
2022-02-04,-0.03151368416272615
2022-02-07,-0.032511909118980054
2022-02-08,-0.02940787971889558
2022-02-09,-0.021495353881428425
2022-02-10,-0.025042065726978313
2022-02-11,-0.03347337383813387
2022-02-14,-0.049054346061697895
2022-02-15,-0.039471914703660405
2022-02-16,-0.04044601089290678
2022-02-17,-0.04009122223802897
2022-02-18,-0.045157954343693296
2022-02-22,-0.05212701787509766
2022-02-23,-0.05832833204038623
2022-02-24,-0.07331401996262765
2022-02-25,-0.05304226352715247
2022-02-28,-0.05627311423654624
2022-03-01,-0.05542580339644676
2022-03-02,-0.052315740249998854
2022-03-03,-0.046127612912324256
2022-03-04,-0.05620784452808536
2022-03-07,-0.062031571111968
2022-03-08,-0.07314737372959379
2022-03-09,-0.07438402711689929
2022-03-10,-0.08012075330172652
2022-03-11,-0.0733252802202683
2022-03-14,-0.07945802974116212
2022-03-15,-0.07228746545547649
2022-03-16,-0.057039366709870865
2022-03-17,-0.05322467238580897
2022-03-18,-0.04249921947570534
2022-03-21,-0.038405421682699115
2022-03-22,-0.034903803456032056
2022-03-23,-0.03994466549542308
2022-03-24,-0.041134333583247806
2022-03-25,-0.034211181933172075
2022-03-28,-0.032557587078079764
2022-03-29,-0.017666330506597383
2022-03-30,-0.018592760548828746
2022-03-31,-0.021513271646322663
2022-04-01,-0.027976504656006762
2022-04-04,-0.023240466589948494
2022-04-05,-0.018321890808469465
2022-04-06,-0.029145018809116685
2022-04-07,-0.02746746961383595
2022-04-08,-0.023913388599282825
2022-04-11,-0.028908328535199423
2022-04-12,-0.031606843957323494
2022-04-13,-0.03410914289692879
2022-04-14,-0.027759438247677237
2022-04-18,-0.037269519005677876
