equal_weight,naive_risk_parity,markowitz,hrp_recursive,hca_deprado_ew_nrp
1.1253862886528045,1.0214480986974475,1.0727758515057706,1.0967835781471569,1.0298870558746323
1.225131791283428,1.0723088866240862,1.0430799314711479,1.0910276662168892,1.0570412869465573
1.0363064947621543,1.0859681469972875,1.0731763848635532,1.0594761866651534,1.0321020708150415
1.0833346277168416,0.9780284920824639,1.0659421222916001,1.0428931613785486,1.048710703561863
1.0806178260075252,0.9546992213155643,1.048460270532855,1.083099812526057,1.0375967792422849
1.012770328524397,1.1043296411856094,1.0375703026231773,1.0251348439772947,1.0080742168055872
0.9728646109796644,1.1289900967146038,1.0872661077199433,1.0149298298779454,0.9998433236230827
0.995588111077434,1.0345095100354813,1.0341992021600124,1.1038802390360773,1.0445746894952628
1.1060156616827925,1.0693142962127937,1.0832992101531986,1.0187775658591627,1.123515090924273
1.0661776944869146,1.051247259643855,1.0638873052446314,1.0501177292443424,1.0522315726887521
1.006398370863419,1.0602168947538952,1.151475032798158,1.0646801546034494,1.0536258933201612
1.1472814854092903,1.0581383785509835,1.0536659855798844,1.0955211309344084,1.0680330135285212
1.1364897714561915,1.054413662511199,1.083401066839082,1.126746451816312,1.080966243597413
0.9800500663642517,1.02984971293328,1.1355806230558547,1.0765175208546716,1.0399032536717834
1.0784733540785738,0.9606213656473431,1.1035445639942403,1.0407585839406277,0.9790046218826816
0.9701915017501692,1.0688019946737535,1.0546273593446758,1.0769196944157031,1.01481683352064
0.8919582710857359,1.0705986549516195,1.0602464670764655,1.0723337938096826,1.0501097983482162
1.0802290946410609,0.9414580957917259,1.100608710423335,1.0759880697594093,1.0716221014201914
1.1258072107213484,1.0374535115179857,1.130118475560941,1.0355952004478022,1.0602605293261034
1.0884279245906923,1.131595130057156,1.0560149865126274,1.0864573562933044,1.0670772551328747
0.888046889512649,1.030487899312431,1.0496229738666736,1.073323366030851,1.0421992393217496
1.08703624090812,1.041557997445509,1.0912281863237288,1.0708296769600276,1.036808302064817
1.157255490512824,1.00649872838025,1.072692645712334,1.040091957557718,1.0961864891284425
1.0814377840315237,0.9992013832836707,1.0547320339416162,1.0872865472098607,1.0627624602487216
0.9881248503308235,1.0578643120284186,1.0823241503578442,1.0579639987901446,0.9970416387999547
0.9959119942331106,1.0413006276258667,1.0565851447295078,0.9895063659433017,1.0933929281232078
0.9556787727521457,1.0296642040369457,1.0303730246215772,1.0799948086629538,1.0847807041856943
0.9967761789589854,1.0174564357491678,1.0904499198664,1.0087828136666392,1.091460190976448
1.068600653122445,1.1048964047824834,1.1172922737891589,1.1228793422743184,1.0097825340956585
0.9975009209456082,1.088822337514778,1.0684913644218255,1.0056456169198276,1.0490076909118478
0.962129551081523,1.06339837329159,1.0733380692023833,1.0394218193443074,0.9561529165406065
1.2209808645886029,1.0109235384974793,1.087890599860605,1.083257412851567,1.077340079473986
1.0351203061593588,1.0287089951033193,1.0528572049256593,1.0563218465939959,0.9987057118496514
0.917494073410243,0.9863932153662187,1.0887928061919174,1.0051494673724344,1.0078219961689272
1.0667254810920408,1.0166247960687975,1.0884050714308335,1.0864850854669288,1.038906877385079
1.0382414108030757,0.9902830565097654,1.0689619599503581,1.072656611163911,1.0183522224166437
1.0005277960052985,1.1283199674094009,1.0989204471688812,1.0368179275824345,1.0213896940785887
1.032988188302283,1.0782363771472123,1.0792484216154148,1.0034685497271278,1.0915246156076424
1.0687702162778105,0.96046746648196,1.0611691642173382,1.1006321440543305,0.9780675554217572
1.0611005587948998,0.9886625722916996,1.0742943491932004,0.9804628901818423,0.968775476497213
1.2182605812393867,1.0170066834654141,1.1019339816546574,1.0617451299208702,1.0752769418339965
1.1639129750161203,1.0351427707745164,1.062574778163298,1.0620610431427924,1.0574619746474394
1.106071567169171,1.0873031992441682,1.1072806656857095,1.0448333620408095,0.9956759838565996
0.9043157430124387,1.0537918330352787,1.0836078324654492,0.9998160452647664,1.0386532521713907
0.9592187675385001,1.0582396768458657,1.0510600548401208,1.0655456174333753,1.0041379325545607
1.085621920416382,1.0214232079812304,1.07293967704109,1.0656247741706906,1.0533698694991032
1.1005361310858135,1.0799709886017628,1.1038015749536192,1.029635498777398,1.0953226264198226
0.9949568373271586,1.0220139349821251,1.0891898857672657,1.09649764956773,1.0464561839458624
1.0792836665236432,1.028891355480824,1.120355960815304,1.0317279897660652,1.07451012988635
1.0471746334325736,1.0075994809152757,1.0967785054990433,1.0168281425616819,0.9906210014843245
1.1863409455123988,1.004174852772862,1.069368501843673,1.0827626929202563,1.0148976436510784
1.0191283125591817,1.0267572566371892,1.0836080140314202,1.0136085899143996,1.0828147483213093
0.8910471552658457,1.0381544271712306,1.080274403220541,1.043741765258361,1.0183633739804525
1.0419171969449388,0.998654311715759,1.0527903295955943,1.0745141954130226,1.0910242477150867
0.9478011959254012,0.9929502368348272,1.165816077417386,1.0823682573677578,1.0664091897581793
1.075936364411459,1.0184838458929488,1.062206393247862,1.0786042324548621,1.0590888743816753
1.042671567747735,1.0453771358666786,1.0363441442360097,1.0564947447540274,1.0108681889505275
1.1621627766129605,1.0770529955872492,1.1423574167591086,1.0470805302372481,1.0626508169410105
0.9385837617718218,1.0184780249619574,1.116099328258188,1.0120291049712877,1.03800301656356
1.0189962745964465,0.9868938838169906,1.141074840298199,1.0839369749537735,0.9772291582004716
1.1127916230937271,1.0183294546254607,1.0426528958838934,1.0538642829218257,1.0208051107010212
1.1943121511064263,1.0641076495207087,1.1125387621706606,1.072871808275034,1.0828355226018298
0.9477788700520061,1.0190669868873223,1.1034137603801975,1.0881155833140355,1.0755311835852361
1.02825722164081,1.0341349241792472,1.0766415035927825,0.9986261038815136,1.0825106079115248
1.0929149868699415,1.0649184829906995,1.0555341937017706,1.0505877961568526,1.0871875519673564
0.920160215456414,1.0492737662463936,1.0866311482711215,1.0244917127986728,1.0287343736294976
1.1196813655867381,0.976650424656672,1.0949141849536856,1.128845168159742,1.0323325407811028
1.0327457447746724,0.9958441074535876,1.0826885329294023,1.0775856946919624,1.0891929262696192
1.107425050723706,1.0230083201742644,1.0711290678532481,1.0003632810220742,1.0049567782735274
1.1687124097729495,1.0330274694592436,1.1009042442319077,1.0248105137152108,0.9714478288224072
0.9576244724533562,1.1141549355243,1.0586365565257465,1.1095535298351584,1.0117270492601917
1.0081720886947056,1.0307754411982928,1.0554149992157056,1.0873024854526465,1.0521225092808906
0.9476083452036028,1.0767363605669817,1.0287656060260888,1.0786960597996975,1.0521901625189125
0.9753775234810278,1.0765308237146924,1.1118717331160384,1.0493683397339706,1.0606902996093954
0.9775664097228873,1.0269525876425503,1.0676143148346664,1.0443736613900578,0.9810648520265572
1.2294580273311364,0.9696712895965829,1.1018105551886528,1.0611345248677222,1.0178686556869398
1.0307231068818785,1.0942502384863164,1.0525053503066653,1.0586972051282766,1.0458145476849598
