,weight
AAPL,0.01
ABBV,0.01
ABT,0.01
ACN,0.01
ADBE,0.01
ADI,0.01
ADP,0.01
AMAT,0.01
AMD,0.01
AMGN,0.01
AMZN,0.01
ANET,0.01
AVGO,0.01
AXP,0.01
BA,0.01
BAC,0.01
BKNG,0.01
BLK,0.01
BMY,0.01
BRK-B,0.01
BSX,0.01
C,0.01
CAT,0.01
CB,0.01
COP,0.01
COST,0.01
CRM,0.01
CSCO,0.01
CVX,0.01
DE,0.01
DHR,0.01
DIS,0.01
DUK,0.01
ELV,0.01
ETN,0.01
GE,0.01
GILD,0.01
GOOG,0.01
GS,0.01
HD,0.01
HON,0.01
IBM,0.01
ICE,0.01
INTU,0.01
ISRG,0.01
JNJ,0.01
JPM,0.01
KLAC,0.01
KO,0.01
LIN,0.01
LLY,0.01
LMT,0.01
LOW,0.01
LRCX,0.01
MA,0.01
MCD,0.01
MDLZ,0.01
MDT,0.01
META,0.01
MO,0.01
MRK,0.01
MSFT,0.01
MU,0.01
NEE,0.01
NFLX,0.01
NKE,0.01
NOW,0.01
NVDA,0.01
ORCL,0.01
PANW,0.01
PEP,0.01
PFE,0.01
PG,0.01
PGR,0.01
PLD,0.01
PLTR,0.01
PM,0.01
QCOM,0.01
RTX,0.01
SBUX,0.01
SCHW,0.01
SO,0.01
SPGI,0.01
SYK,0.01
T,0.01
TJX,0.01
TMO,0.01
TSLA,0.01
TXN,0.01
UBER,0.01
UNH,0.01
UNP,0.01
UPS,0.01
V,0.01
VRTX,0.01
VZ,0.01
WFC,0.01
WM,0.01
WMT,0.01
XOM,0.01
