Date,drawdown
2019-06-03,0.0
2019-06-04,0.0
2019-06-05,0.0
2019-06-06,0.0
2019-06-07,0.0
2019-06-10,-0.0050407404523162835
2019-06-11,-0.011575550695359427
2019-06-12,-0.008552556157991886
2019-06-13,-0.008994541073367501
2019-06-14,-0.005372972574418156
2019-06-17,-0.008151455256092954
2019-06-18,-0.004832015030365344
2019-06-19,-0.0009757448680282055
2019-06-20,0.0
2019-06-21,-0.0055026960208970355
2019-06-24,-0.0031399533457291406
2019-06-25,-0.012672121691353677
2019-06-26,-0.022157272286298935
2019-06-27,-0.014388495364992537
2019-06-28,-0.013388434019940276
2019-07-01,-0.007193083400394817
2019-07-02,0.0
2019-07-03,0.0
2019-07-05,-0.0015497707765106394
2019-07-08,-0.00100499835895429
2019-07-09,0.0
2019-07-10,0.0
2019-07-11,0.0
2019-07-12,0.0
2019-07-15,0.0
2019-07-16,-0.003114702840076755
2019-07-17,-0.010567623918325664
2019-07-18,-0.004212420659268412
2019-07-19,-0.013952036662905232
2019-07-22,-0.009483900155154656
2019-07-23,-0.013195565113034546
2019-07-24,-0.00970534203548834
2019-07-25,-0.015156510948053925
2019-07-26,-0.007052958094581507
2019-07-29,-0.007314683825831891
2019-07-30,-0.012879803724900163
2019-07-31,-0.02340809900317642
2019-08-01,-0.02255598857307417
2019-08-02,-0.022640573387204932
2019-08-05,-0.04845273201140432
2019-08-06,-0.028198502010413407
2019-08-07,-0.02620379825329422
2019-08-08,-0.006392522386283628
2019-08-09,-0.002453013732259368
2019-08-12,-0.015778868681283975
2019-08-13,-0.00888046471257109
2019-08-14,-0.03452116616755929
2019-08-15,-0.022999596286589652
2019-08-16,-0.01686934883266722
2019-08-19,-0.010464807336660886
2019-08-20,-0.017825364796914323
2019-08-21,-0.0061739632450555915
2019-08-22,-0.006798527610456517
2019-08-23,-0.021631587829997745
2019-08-26,-0.011597815585349336
2019-08-27,-0.01465210111064319
2019-08-28,-0.015164941423492007
2019-08-29,-0.006868974211522327
2019-08-30,-0.010035962395077425
2019-09-03,-0.0030066198438215563
2019-09-04,0.0
2019-09-05,-0.0023098223823372344
