Date,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,TIP,GLD,DBC,VNQ
2018-05-29,-0.011500791565299373,-0.004419186000427899,-0.001360494692725256,-0.02036456064459835,-0.023260726002279686,0.021902641132310885,0.010794220082394501,0.005287042042939838,-0.004207550671439186,0.005894988452282979,-0.00016229724222882602,-0.009433840610510558,0.004759825441236654
2018-05-30,0.01334487811547036,0.007161248027674816,0.01584956935740167,0.015263841467799466,0.00793835886311034,-0.006707947384030022,-0.004272115484824424,-0.00387881646557231,0.0030520547238732654,-0.0018644818071671398,0.001461160009810225,0.012885008625436845,0.01357234231585358
2018-05-31,-0.006125987485797846,-0.0006462819474175596,-0.007983941436085495,-0.00630015491556879,-0.0004377079814368301,-0.0016469610463447637,-0.00048691050219051846,-0.0004330664158045394,-0.0009358858035695139,0.0006225107246455863,-0.002188573125150861,-0.0027654070808497133,-0.0034109426218192906
2018-06-01,0.009817472394871407,0.015699601612827685,0.006573394423149859,0.008645620715656444,0.014007475572658024,-0.0052836942204100845,-0.003694749249492868,-0.0019197726686425165,0.0022822396472801376,-0.0014623963196013223,-0.004955325896935814,-0.006655594550847299,0.004436920654028453
2018-06-04,0.00475129523836082,0.009030625522735924,0.005310142358519565,0.0029998739350425296,0.010144829099211217,-0.0072319888590784975,-0.003532016822404227,-0.0022630294016536823,0.002112883351913508,-0.0020543348811676854,-0.0009796319640802409,-0.011725345248866037,0.00870743222914605
2018-06-05,0.0007276181723141484,0.003098225143656874,0.006192502833442415,-0.001566600126822859,-0.007692501934479012,0.0023443920819334885,0.002559546120049383,0.0006984374178082842,0.0011717708745706545,0.0022373242937163695,0.003922495029546447,0.0016949046685428293,-0.002627254152827274
2018-06-06,0.008360960084037083,0.005833780328446059,0.007240993774151994,0.008987130118008446,0.015073442890584987,-0.008102611278947958,-0.004026273868841579,-0.0036612485005944606,0.0024570332279980622,-0.002142759722209675,0.0005697980927446,0.003384200899582135,0.0023834994410265598
2018-06-07,-0.00010837069300417834,-0.008131310287949112,-0.005451353318698171,-0.005655320072181835,-0.01527413532592592,0.009684615013835662,0.004240056938398684,0.0033245333747173866,0.00034967171849342726,0.003042383841299179,-0.00048810250152542256,0.003934896694457013,0.0
2018-06-08,0.00295639402849468,5.731300067091105e-05,0.003011564007471268,0.0011375521982657233,-0.0019385732964932734,-0.0030026311249274906,-0.001374726307603491,-0.0016564949365582837,-0.0005830550314978034,-0.001694953063902549,0.0012209142530825723,-0.0005599699665103097,0.0036289428654552314
2018-06-11,0.0013297765039468334,0.0026942937581795334,0.0015016660865181386,0.006391046406516887,0.0,-0.0018404187996466925,-0.0009837246329196248,-0.0009607722537287033,0.0018676481196939765,0.0,0.0017884823744613865,-0.0005602205139165761,-0.0014962152898342351
