0,AAPL,AMGN,AMZN,CRM,CSCO,CVX,DIS,HD,HON,JPM,KO,MCD,MRK,MSFT,NKE,NVDA,PG,UNH,V,VZ,WMT
2019-12-27,71.17143628217687,206.9138975280948,95.06999969482422,164.54097395878247,40.81319966470962,96.04782784748362,144.72215595961538,196.6142871168714,159.82145749357696,120.34073029640857,47.48868997576162,176.7747009606561,75.07934000163932,152.30188693097045,96.10078664767842,5.983416320008272,110.95884343057246,275.5289180349641,182.99209100032684,45.95239335537892,37.09181848248709
2019-12-30,70.86153534910308,206.9052859279737,94.1999969482422,164.0238643142018,40.694216504178,96.08743241074984,144.08995936632564,195.46186285384056,159.60501713348742,120.607618563869,47.43729978768109,176.17796512470971,75.07116483919657,151.79596831979984,95.93084787799826,5.880348085361016,110.67773127997192,275.52885347982385,182.59698404493167,46.00458328730146,37.05162368687321
2019-12-31,71.10123409050465,205.61101251102448,92.66300201416016,162.35318472289845,40.77920583891567,95.52517531590794,143.00338803471985,193.70660393969283,159.6771504955056,120.0910137258837,47.4287405842347,176.3115737500222,74.49803789379591,150.60273091885034,95.72316682748736,5.867402948252175,109.8079695717214,273.2524915021933,181.1707904377819,45.788330078125,37.048542245823256
2020-01-02,72.77660582997152,207.08415853293377,94.90049743652344,166.14204221418396,41.455711364746094,96.3170737890476,146.39154052734375,194.8147149559202,163.03156326966578,121.4858369461578,47.47156323691788,178.85004106082025,75.43957232719664,153.4282456163035,96.49732762319076,5.972709655761719,109.57955604632758,274.7484243863159,184.19667628188392,45.82560962864985,37.0763709652469
2020-01-03,72.77172916472097,204.58916337894647,94.30999755859376,165.843697969376,41.21597596903416,97.1802504272379,146.09517482875722,194.74380013502503,162.15691458719832,120.6453616683011,47.09474023742893,178.62733381885755,75.38230260819388,152.68370535175205,96.29907930752763,5.920928372082976,108.52530900351242,271.19903874205846,184.0232287044176,45.33342471576533,36.73619744328084
2020-01-06,72.62165386110323,204.7509851745498,95.18450164794922,172.70536677190873,40.942012387392325,96.34875965905424,144.24800259144735,195.0275037652705,160.84940424538075,119.81351488453106,47.02622565293445,180.60467315320992,75.11209584769635,151.87230794316667,96.14800096182132,5.906986253744551,108.22660685296866,270.9946157827947,182.3368282632324,45.18427655458885,36.5197162844152
2020-01-07,72.84923143823697,204.36778554413667,95.69450378417967,175.88757792584047,40.85638042764191,94.81251248117036,145.07774833103207,195.52389993507572,160.56987384324626,119.4582259052748,46.76073024877076,180.52451922575764,74.60447850022508,152.4164068417858,96.99768989265048,6.019016870261898,108.24416815296648,270.8366104014331,183.19447755685007,44.87851714621204,36.34344121959267
2020-01-08,73.70627127642481,204.01013537305545,95.5500030517578,177.85659322760452,40.91631999838461,94.3056691116354,144.34678935232623,197.66035184647885,161.49867940705866,119.21561255104184,46.794979197970335,184.0961326076429,73.27808201748414,153.49510448810574,96.43125003738152,6.025738074340732,108.4374381062292,276.3093192609515,185.5072817944247,44.818864019347394,36.09912843954117
2020-01-09,75.15648731833909,204.1037615533333,95.89099884033205,178.90075378577063,40.99337568173184,93.379197407117,144.84069034246556,199.9474933497776,161.7962105836898,119.77882006270964,47.44586825051688,186.48319830479096,73.72840979377708,154.85058515825207,96.68616489926116,6.122583429791417,108.8328048414209,276.1420633551723,186.8757167732184,44.75785260070122,36.2970537644374
2020-01-10,75.69879404161257,205.1596983859196,95.34700012207033,179.67642632586845,40.71940266087066,93.1970487922376,143.72447560703858,199.89433806762685,162.2200070292259,118.92964320149046,47.89977213174164,186.1091106075892,73.77751852871992,155.8051735619528,96.23298978654876,6.1878085769213,109.21935080564518,275.09221037642254,187.5021130245705,44.682496457725975,36.2877691807948
2020-01-13,76.76405445807666,202.94571996369672,94.9000015258789,183.42550045956727,41.07898719365117,92.57937251358474,142.9836463286854,199.02554756632023,163.51848151110002,118.88634490966795,48.15670123849366,185.0670288663204,73.38452503684942,155.89106273635204,96.62005161819503,6.298347448889126,109.7288781412686,273.5869410165223,188.4946932406759,44.73524111533796,36.04345965078685
2020-01-14,76.88511195829709,204.94680310462127,94.35549926757812,182.82881537546453,41.08755143800111,92.55560261163596,144.92960228409487,199.4156092459932,163.41028839638423,121.97112717065966,48.20808040008082,184.9512024308876,73.6301498413086,156.16790019811782,98.0834270419927,6.255774255425361,109.99244291520829,267.81695556640625,189.7956456930507,44.55440637885639,35.93831858022827
2020-01-15,76.3839404992497,206.5817402561483,93.94300079345705,182.0730446810456,41.438576279754464,92.18344884522206,143.9319210230735,199.4421807827845,164.51042849606628,120.09945678936413,48.79901309227592,187.35607780067667,75.0056474580342,156.49243609343492,97.9040569378934,6.191294723070188,110.80070964742583,278.4091701811163,192.8793914158968,44.77291498290087,35.833170507763775
2020-01-16,76.43236486391163,207.64614099624865,94.27950286865234,182.0929277670209,42.02078159357952,92.8723802542622,143.6553205147475,202.88175180481105,164.55548976145857,119.4928656882082,48.773327107700695,188.0329806462009,75.37410594932247,158.68798178601898,97.7813099549979,6.203245387616113,111.380533203051,279.6635303008288,194.1803839474348,45.096922341883,35.85172495180104
2020-01-17,77.16835535095495,206.1900417308529,94.33200073242188,182.32165444763805,42.414610559073886,92.88029291403262,143.8627678824801,206.19725057786985,165.97116442595689,119.83081398174956,48.94461816185228,189.5115117989428,75.02203147229349,159.8620979437721,98.70655405178056,6.2239071863079785,111.57382044047576,279.39417960851466,197.3123162953956,45.32296598532006,35.96614954853276
2020-01-21,77.23614144709862,206.0793601053139,94.7135009765625,184.9668773016973,42.12351289193445,91.18565740427113,142.82558106652132,207.13692015351683,165.28592838428088,119.64022925157144,49.030257866737415,189.05727776386985,74.48167754876653,160.54937000352857,98.83870814941254,6.206231838269314,111.2399740337228,281.10367543282695,200.8200725611129,45.56408725300054,35.77749924836894
2020-01-22,77.4710093927943,204.11231400583085,95.125,185.40444639172767,42.40605548686639,89.90280899742609,143.02313556194716,209.6811538450868,164.00545637623694,119.05963196326915,49.36425748986629,190.30423097396,74.06411437502827,159.88116096936955,99.7167419245688,6.313282632634154,111.2926731716576,280.7227929423776,202.4968740289912,45.82781839835,36.0372835017214
2020-01-23,77.3668937772688,201.8642333063292,94.4990005493164,183.2763139591397,42.10638880797268,89.8711443351646,141.85754980096402,208.1652399670085,162.79708876532922,118.48772923338824,49.54410695183913,190.1616954415172,73.40909605906474,159.22250087718146,98.5365834918716,6.303573885569527,111.83901010598078,279.2824900364971,200.82970291782573,45.60929716327652,35.969244957499846
