run_id,universe_id,construction_date,estimation_months,method,herfindahl,max_weight
sp100_style_top100_20190601_24m,sp100_style_top100,2019-06-01,24,hca_deprado_ew_nrp,0.04559128070100746,0.17418864526956623
sp100_style_top100_20190601_36m,sp100_style_top100,2019-06-01,36,equal_weight,0.010101010101010105,0.010101010101010102
sp100_style_top100_20190601_36m,sp100_style_top100,2019-06-01,36,naive_risk_parity,0.010919042116731817,0.024478017716382514
sp100_style_top100_20190601_36m,sp100_style_top100,2019-06-01,36,markowitz,0.14920470252151694,0.266389234249124
sp100_style_top100_20190601_36m,sp100_style_top100,2019-06-01,36,hrp_recursive,0.2770787485265957,0.5100820761510889
sp100_style_top100_20190601_36m,sp100_style_top100,2019-06-01,36,hca_deprado_ew_nrp,0.050375497446383366,0.18811088289045258
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,equal_weight,0.010101010101010105,0.010101010101010102
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,naive_risk_parity,0.010560855232137777,0.017136526841047234
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,markowitz,0.30966929687555106,0.44590216298045554
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,hrp_recursive,0.0887562324711303,0.19549979632756806
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,hca_deprado_ew_nrp,0.06590851853996814,0.1446469246186622
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,equal_weight,0.010101010101010105,0.010101010101010102
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,naive_risk_parity,0.01053803294873653,0.016020799276927462
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,markowitz,0.2189558253609596,0.3144619708783791
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,hrp_recursive,0.043287310001349485,0.09512183696938983
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,hca_deprado_ew_nrp,0.03592749174502388,0.11403391182489366
sp100_style_top100_20200601_36m,sp100_style_top100,2020-06-01,36,equal_weight,0.010101010101010105,0.010101010101010102
sp100_style_top100_20200601_36m,sp100_style_top100,2020-06-01,36,naive_risk_parity,0.010517156231385359,0.014758202461689966
sp100_style_top100_20200601_36m,sp100_style_top100,2020-06-01,36,markowitz,0.13408679258777775,0.17942885098146374
sp100_style_top100_20200601_36m,sp100_style_top100,2020-06-01,36,hrp_recursive,0.035137601336472216,0.06704158962258755
sp100_style_top100_20200601_36m,sp100_style_top100,2020-06-01,36,hca_deprado_ew_nrp,0.029717553718174965,0.07005869468268298
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,equal_weight,0.01,0.01
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,naive_risk_parity,0.010825699064598073,0.016419586907685267
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,markowitz,0.12736595002967338,0.22883011016417354
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,hrp_recursive,0.04050467973982448,0.15431076175068412
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,hca_deprado_ew_nrp,0.0175047733914864,0.06727906399023757
sp100_style_top100_20220103_24m,sp100_style_top100,2022-01-03,24,equal_weight,0.01,0.01
sp100_style_top100_20220103_24m,sp100_style_top100,2022-01-03,24,naive_risk_parity,0.010532244699593728,0.017841513690486154
sp100_style_top100_20220103_24m,sp100_style_top100,2022-01-03,24,markowitz,0.15215744836208966,0.24692924315000483
sp100_style_top100_20220103_24m,sp100_style_top100,2022-01-03,24,hrp_recursive,0.05828029172249286,0.1344146495471902
sp100_style_top100_20220103_24m,sp100_style_top100,2022-01-03,24,hca_deprado_ew_nrp,0.027191817777698232,0.069809176527284
sp100_style_top100_20220103_36m,sp100_style_top100,2022-01-03,36,equal_weight,0.01,0.01
sp100_style_top100_20220103_36m,sp100_style_top100,2022-01-03,36,naive_risk_parity,0.010516277638259122,0.01710092144615899
sp100_style_top100_20220103_36m,sp100_style_top100,2022-01-03,36,markowitz,0.19556610646140565,0.33163765033491566
sp100_style_top100_20220103_36m,sp100_style_top100,2022-01-03,36,hrp_recursive,0.05784449767770565,0.14946996494082726
sp100_style_top100_20220103_36m,sp100_style_top100,2022-01-03,36,hca_deprado_ew_nrp,0.031984537764498895,0.10905952390901413
multi_asset_etf_20190601_12m,multi_asset_etf,2019-06-01,12,equal_weight,0.07692307692307694,0.07692307692307693
multi_asset_etf_20190601_12m,multi_asset_etf,2019-06-01,12,naive_risk_parity,0.11380901272008379,0.18481996762109623
multi_asset_etf_20190601_12m,multi_asset_etf,2019-06-01,12,markowitz,0.5018155787827245,0.6305991520940154
multi_asset_etf_20190601_12m,multi_asset_etf,2019-06-01,12,hrp_recursive,0.21738122140377159,0.34792834760928293
multi_asset_etf_20190601_12m,multi_asset_etf,2019-06-01,12,hca_deprado_ew_nrp,0.14577874921129974,0.261221493526631
multi_asset_etf_20190601_24m,multi_asset_etf,2019-06-01,24,equal_weight,0.07692307692307694,0.07692307692307693
multi_asset_etf_20190601_24m,multi_asset_etf,2019-06-01,24,naive_risk_parity,0.11023470618145717,0.1803747119808247
multi_asset_etf_20190601_24m,multi_asset_etf,2019-06-01,24,markowitz,0.5372943377973104,0.7003597672340824
multi_asset_etf_20190601_24m,multi_asset_etf,2019-06-01,24,hrp_recursive,0.19266892761531224,0.2874921786204251
multi_asset_etf_20190601_24m,multi_asset_etf,2019-06-01,24,hca_deprado_ew_nrp,0.11320630110530917,0.204904438200584
multi_asset_etf_20190601_36m,multi_asset_etf,2019-06-01,36,equal_weight,0.07692307692307694,0.07692307692307693
multi_asset_etf_20190601_36m,multi_asset_etf,2019-06-01,36,naive_risk_parity,0.10590390979252591,0.17519614648891813
multi_asset_etf_20190601_36m,multi_asset_etf,2019-06-01,36,markowitz,0.2655297776914346,0.38361606167615825
multi_asset_etf_20190601_36m,multi_asset_etf,2019-06-01,36,hrp_recursive,0.22333041023475333,0.394641238036912
multi_asset_etf_20190601_36m,multi_asset_etf,2019-06-01,36,hca_deprado_ew_nrp,0.11066754185512219,0.2141388832302723
multi_asset_etf_20200601_12m,multi_asset_etf,2020-06-01,12,equal_weight,0.07692307692307694,0.07692307692307693
multi_asset_etf_20200601_12m,multi_asset_etf,2020-06-01,12,naive_risk_parity,0.10263489922975126,0.18464257154752567
multi_asset_etf_20200601_12m,multi_asset_etf,2020-06-01,12,markowitz,0.6341091309668291,0.7764567933369382
multi_asset_etf_20200601_12m,multi_asset_etf,2020-06-01,12,hrp_recursive,0.20505792121812,0.3180446292827893
multi_asset_etf_20200601_12m,multi_asset_etf,2020-06-01,12,hca_deprado_ew_nrp,0.13681898020036792,0.1855250267930529
multi_asset_etf_20200601_24m,multi_asset_etf,2020-06-01,24,equal_weight,0.07692307692307694,0.07692307692307693
multi_asset_etf_20200601_24m,multi_asset_etf,2020-06-01,24,naive_risk_parity,0.103470799440399,0.18022934279152064
multi_asset_etf_20200601_24m,multi_asset_etf,2020-06-01,24,markowitz,0.7363207819910091,0.8451482690444968
multi_asset_etf_20200601_24m,multi_asset_etf,2020-06-01,24,hrp_recursive,0.20400573171870223,0.3316514975051312
multi_asset_etf_20200601_24m,multi_asset_etf,2020-06-01,24,hca_deprado_ew_nrp,0.13763683634560414,0.18724065525601896
multi_asset_etf_20200601_36m,multi_asset_etf,2020-06-01,36,equal_weight,0.07692307692307694,0.07692307692307693
multi_asset_etf_20200601_36m,multi_asset_etf,2020-06-01,36,naive_risk_parity,0.10314226215392691,0.17527357197344096
multi_asset_etf_20200601_36m,multi_asset_etf,2020-06-01,36,markowitz,0.6688416485855018,0.7995487294536411
multi_asset_etf_20200601_36m,multi_asset_etf,2020-06-01,36,hrp_recursive,0.20090420546540147,0.3352242569910915
multi_asset_etf_20200601_36m,multi_asset_etf,2020-06-01,36,hca_deprado_ew_nrp,0.13675736499324925,0.1874349541583736
multi_asset_etf_20220103_12m,multi_asset_etf,2022-01-03,12,equal_weight,0.07692307692307694,0.07692307692307693
multi_asset_etf_20220103_12m,multi_asset_etf,2022-01-03,12,naive_risk_parity,0.1073089804743077,0.1786022144483786
multi_asset_etf_20220103_12m,multi_asset_etf,2022-01-03,12,markowitz,0.36459247466412203,0.4826456017375769
multi_asset_etf_20220103_12m,multi_asset_etf,2022-01-03,12,hrp_recursive,0.2094850146860562,0.372002906855487
multi_asset_etf_20220103_12m,multi_asset_etf,2022-01-03,12,hca_deprado_ew_nrp,0.12596474043059375,0.24375488036950554
multi_asset_etf_20220103_24m,multi_asset_etf,2022-01-03,24,equal_weight,0.07692307692307694,0.07692307692307693
multi_asset_etf_20220103_24m,multi_asset_etf,2022-01-03,24,naive_risk_parity,0.1064176441645875,0.18963482133688928
multi_asset_etf_20220103_24m,multi_asset_etf,2022-01-03,24,markowitz,0.36574312074949156,0.5077924149834029
multi_asset_etf_20220103_24m,multi_asset_etf,2022-01-03,24,hrp_recursive,0.19246177831435837,0.3007563746524398
multi_asset_etf_20220103_24m,multi_asset_etf,2022-01-03,24,hca_deprado_ew_nrp,0.13569784505041813,0.17988060297405323
multi_asset_etf_20220103_36m,multi_asset_etf,2022-01-03,36,equal_weight,0.07692307692307694,0.07692307692307693
multi_asset_etf_20220103_36m,multi_asset_etf,2022-01-03,36,naive_risk_parity,0.10393316128183476,0.17632327264475703
multi_asset_etf_20220103_36m,multi_asset_etf,2022-01-03,36,markowitz,0.33895444296290256,0.437431692862445
multi_asset_etf_20220103_36m,multi_asset_etf,2022-01-03,36,hrp_recursive,0.18351631714343897,0.3021161209219784
multi_asset_etf_20220103_36m,multi_asset_etf,2022-01-03,36,hca_deprado_ew_nrp,0.13373019328796792,0.18023469638788966
