run_id,source,universe_id,universe_display_name,requested_tickers,available_tickers,n_assets,construction_date,estimation_months,construction_start,construction_end,backtest_start,backtest_end,mc_horizon,mc_simulations,mc_seed,methods,hca_n_clusters,method,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown,mean_terminal_value,median_terminal_value,std_terminal_value,prob_loss,herfindahl,max_weight
djia_20190601_36m,yfinance,djia,DJIA Constituents,"['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']","['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']",30,2019-06-01,36,2016-06-01,2019-05-31,2019-06-03,2020-06-01,252,2000,42,"['equal_weight', 'naive_risk_parity', 'markowitz', 'hrp_recursive', 'hca_deprado_ew_nrp']",5,equal_weight,0.15319975537679809,0.15319975537679809,0.333212823374704,0.45976548508915616,-0.3284584531028397,1.2006032225709085,1.190081372862752,0.15385057393829082,0.087,0.03333333333333333,0.03333333333333333
djia_20190601_36m,yfinance,djia,DJIA Constituents,"['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']","['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']",30,2019-06-01,36,2016-06-01,2019-05-31,2019-06-03,2020-06-01,252,2000,42,"['equal_weight', 'naive_risk_parity', 'markowitz', 'hrp_recursive', 'hca_deprado_ew_nrp']",5,naive_risk_parity,0.12337864849547575,0.12337864849547575,0.32746317560874844,0.3767710621694087,-0.32705808323157337,1.1853225601263369,1.171196197317546,0.14944766196670878,0.092,0.03472065604673914,0.048683934224382525
djia_20190601_36m,yfinance,djia,DJIA Constituents,"['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']","['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']",30,2019-06-01,36,2016-06-01,2019-05-31,2019-06-03,2020-06-01,252,2000,42,"['equal_weight', 'naive_risk_parity', 'markowitz', 'hrp_recursive', 'hca_deprado_ew_nrp']",5,markowitz,-0.003065367886596948,-0.003065367886596948,0.3912417645702741,-0.007834971018403003,-0.41278680044806537,1.3108836666604597,1.2954959858518698,0.18357939844191454,0.0285,0.18897844738345657,0.2933138984884206
djia_20190601_36m,yfinance,djia,DJIA Constituents,"['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']","['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']",30,2019-06-01,36,2016-06-01,2019-05-31,2019-06-03,2020-06-01,252,2000,42,"['equal_weight', 'naive_risk_parity', 'markowitz', 'hrp_recursive', 'hca_deprado_ew_nrp']",5,hrp_recursive,0.1229195401778782,0.1229195401778782,0.2894039480536347,0.42473345994263273,-0.28568956713987537,1.1589153977699256,1.1532960178381515,0.12355488705211998,0.091,0.09032771231111143,0.19263105822147025
djia_20190601_36m,yfinance,djia,DJIA Constituents,"['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']","['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']",30,2019-06-01,36,2016-06-01,2019-05-31,2019-06-03,2020-06-01,252,2000,42,"['equal_weight', 'naive_risk_parity', 'markowitz', 'hrp_recursive', 'hca_deprado_ew_nrp']",5,hca_deprado_ew_nrp,0.12999430543560608,0.12999430543560608,0.3007942749310226,0.43217014507811374,-0.3013600516394398,1.173450915802321,1.169711096384853,0.12691840054472212,0.0795,0.07608020395787411,0.18278955480558698
djia_20200601_12m,yfinance,djia,DJIA Constituents,"['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']","['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']",30,2020-06-01,12,2019-06-03,2020-05-29,2020-06-01,2021-06-01,253,2000,42,"['equal_weight', 'naive_risk_parity', 'markowitz', 'hrp_recursive', 'hca_deprado_ew_nrp']",5,equal_weight,0.41495698190274655,0.41301708628541967,0.16542833876485563,2.496652564906025,-0.08438202991125698,1.2210292847643118,1.1526931015208386,0.4123997759667691,0.3315,0.03333333333333333,0.03333333333333333
djia_20200601_12m,yfinance,djia,DJIA Constituents,"['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']","['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']",30,2020-06-01,12,2019-06-03,2020-05-29,2020-06-01,2021-06-01,253,2000,42,"['equal_weight', 'naive_risk_parity', 'markowitz', 'hrp_recursive', 'hca_deprado_ew_nrp']",5,naive_risk_parity,0.3703585548893342,0.3686530471528868,0.1547626999045929,2.382053604519381,-0.08186519624735,1.2349430100830345,1.157731373196028,0.4130240826033665,0.309,0.03494122023625568,0.05374873752645026
djia_20200601_12m,yfinance,djia,DJIA Constituents,"['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']","['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']",30,2020-06-01,12,2019-06-03,2020-05-29,2020-06-01,2021-06-01,253,2000,42,"['equal_weight', 'naive_risk_parity', 'markowitz', 'hrp_recursive', 'hca_deprado_ew_nrp']",5,markowitz,0.7911274607633256,0.7870059246745909,0.39144056624753903,2.0105374673326635,-0.21863370452118558,2.784363772994835,2.434990977669177,1.5213309909615522,0.0385,0.6550188402218706,0.7784051366461031
djia_20200601_12m,yfinance,djia,DJIA Constituents,"['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']","['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']",30,2020-06-01,12,2019-06-03,2020-05-29,2020-06-01,2021-06-01,253,2000,42,"['equal_weight', 'naive_risk_parity', 'markowitz', 'hrp_recursive', 'hca_deprado_ew_nrp']",5,hrp_recursive,0.26452935595562876,0.2633568364839063,0.15292277115433645,1.7221557946927006,-0.09250708597725621,1.2013066497418599,1.1553280793058955,0.3268173768995274,0.291,0.12266161383946471,0.2685699388765738
djia_20200601_12m,yfinance,djia,DJIA Constituents,"['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']","['AAPL', 'AMGN', 'AMZN', 'AXP', 'BA', 'CAT', 'CRM', 'CSCO', 'CVX', 'DIS', 'GS', 'HD', 'HON', 'IBM', 'JNJ', 'JPM', 'KO', 'MCD', 'MMM', 'MRK', 'MSFT', 'NKE', 'NVDA', 'PG', 'SHW', 'TRV', 'UNH', 'V', 'VZ', 'WMT']",30,2020-06-01,12,2019-06-03,2020-05-29,2020-06-01,2021-06-01,253,2000,42,"['equal_weight', 'naive_risk_parity', 'markowitz', 'hrp_recursive', 'hca_deprado_ew_nrp']",5,hca_deprado_ew_nrp,0.30530246709647013,0.30392857409470264,0.15789660871991235,1.9248581496378534,-0.09829083048075649,1.220472271092558,1.1826516833796532,0.33727330953558254,0.278,0.12912258435305385,0.23796877756256762
