Date,SPY,QQQ,IWM,EFA,EEM,TLT,IEF,LQD,HYG,TIP,GLD,DBC,VNQ
2016-05-25,177.80213928222656,101.77679443359376,99.91130065917967,43.413330078125,26.33118438720703,99.00157163016598,88.04601128030724,85.21554481224985,50.419878932516745,85.92821937766158,116.9800033569336,12.47020435333252,55.86934661865234
2016-05-26,177.85301208496094,102.07492065429688,99.79698181152344,43.53194046020508,26.507421493530277,99.51435092077772,88.31950834980584,85.45911970467922,50.27543375322597,86.17670459913812,116.58000183105467,12.461750030517578,55.97697067260742
2016-05-27,178.61769104003906,102.60596466064452,100.79083251953124,43.48746490478516,26.49941062927246,99.3689651039193,88.15063242452977,85.39464763485293,50.359710551678205,86.0637373327408,115.62000274658205,12.512476921081545,56.27961349487305
2016-05-31,178.27786254882812,102.80162811279295,101.14261627197266,43.27989196777344,26.53145217895508,99.60617434970877,88.2552075409722,85.54510822648305,50.3115479536108,85.93571845530656,116.05999755859376,12.436387062072754,56.27288818359375
2016-06-01,178.64320373535156,102.81096649169922,101.8286361694336,43.24281311035156,26.515430450439453,100.0102787781676,88.22537386815496,85.60549186128921,50.39136568269564,85.8047289656484,115.94000244140624,12.563202857971191,56.319969177246094
2016-06-02,179.18695068359375,103.0252456665039,102.61136627197266,43.24281311035156,26.73171806335449,100.73107658051784,88.49922381730119,85.77791716431304,50.40343732487533,86.0984377490532,115.66999816894533,12.588565826416016,56.609169006347656
2016-06-03,178.6516571044922,102.54075622558594,101.99573516845705,43.52452850341797,27.14026260375977,102.16508290131289,89.32082736381668,86.46771884834651,50.49414122678588,86.65575209378896,118.87999725341795,12.673110008239746,56.83784484863281
2016-06-06,179.5607452392578,102.9134292602539,103.09510803222656,43.7691764831543,27.42865562438965,101.40590895254074,89.08718268060903,86.25932459147806,50.71786563764449,86.7536906587552,118.91999816894533,12.825288772583008,56.40068054199219
2016-06-07,179.84109497070312,102.65258026123048,103.39413452148438,44.08796310424805,27.67698097229004,101.65130603041024,89.21613717792397,86.38871699054688,50.94159392258595,86.9871700884065,118.81999969482422,12.952103614807127,56.7436637878418
2016-06-08,180.42730712890625,102.8295669555664,104.1593246459961,44.17691802978516,27.87724876403809,102.1957853531893,89.32082736381668,86.67608219077243,51.13506949450391,87.19050047677229,120.58000183105467,13.171917915344238,57.10685729980469
2016-06-09,180.18093872070312,102.66188049316406,103.49085998535156,43.6357421875,27.556825637817383,102.85522429395398,89.45776768098317,86.79823288168646,50.93551936066755,87.22059606231083,121.25,13.146554946899414,57.23465347290039
2016-06-10,178.47328186035156,101.49727630615234,102.08368682861328,42.3680305480957,26.85988998413086,103.3536384283766,89.77189193773816,86.8988439347911,50.68763616911812,87.22059606231083,121.73999786376952,12.985920906066896,56.965614318847656
2016-06-13,177.09695434570312,100.6494598388672,100.97553253173828,41.752716064453125,26.4833927154541,103.81379152179552,89.9491142338101,86.76948245016477,50.34904907565813,87.1076746151252,122.63999938964844,12.985920906066896,56.97908401489258
2016-06-14,176.7485809326172,100.6494598388672,100.68527221679688,41.08550262451172,26.39527130126953,103.7371313132863,89.92498033443158,86.57550205211031,50.179712914016726,86.8892544330461,122.7699966430664,12.90137767791748,56.83111572265625
2016-06-15,176.50222778320312,100.36063385009766,100.7556381225586,41.35979461669922,26.675642013549805,104.1358795029524,90.19885329746788,86.8988439347911,50.20392980595039,87.29593048284822,123.68000030517578,12.83374309539795,57.36915969848633
2016-06-16,177.0289764404297,100.65876007080078,100.7468490600586,41.4487533569336,26.579519271850582,104.64198267930956,90.29548862183884,87.0282054194174,50.23414377814534,87.12270331655627,122.37999725341795,12.613929748535156,57.69198226928711
2016-06-17,176.3696746826172,99.47895050048828,100.31587982177734,41.85649490356445,26.651613235473636,103.9901253487558,89.98939621271555,86.76948245016477,50.264365498506,86.90429840754774,123.9499969482422,12.909832954406738,57.597801208496094
2016-06-20,177.50552368164062,100.10480499267578,101.4064712524414,42.89438247680664,27.124242782592773,102.878268398674,89.60275518837472,86.6617069750116,50.56065535534276,86.65575209378896,123.20999908447266,13.028193473815918,57.67853546142578
2016-06-21,178.00936889648438,100.4224090576172,101.21298217773438,43.24281311035156,27.332521438598636,102.40283697941508,89.4013836503309,86.58265874554824,50.75412317909501,86.39213125938744,120.83999633789062,12.926739692687988,57.89838790893555
2016-06-22,177.71897888183594,100.17952728271484,100.81719207763672,43.2163314819336,27.40195655822754,102.57152780660807,89.57861361769952,86.7407629330856,50.80252984438234,86.62558777943289,120.9000015258789,12.850650787353516,57.810184478759766
