Date,drawdown
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,-0.00048034336836588754
2020-06-05,0.0
2020-06-08,0.0
2020-06-09,-0.00831901928212242
2020-06-10,-0.014736099171900108
2020-06-11,-0.07787598613995617
2020-06-12,-0.06283977477315117
2020-06-15,-0.05516786370531135
2020-06-16,-0.0372653175900477
2020-06-17,-0.04181209140634112
2020-06-18,-0.04093144346547006
2020-06-19,-0.04644425349313308
2020-06-22,-0.042697679961051116
2020-06-23,-0.040101612599961145
2020-06-24,-0.0642069176221175
2020-06-25,-0.05204808527511129
2020-06-26,-0.07753260999891054
2020-06-29,-0.06039467060519843
2020-06-30,-0.04942216211890005
2020-07-01,-0.04727737919559882
2020-07-02,-0.0431938127752286
2020-07-06,-0.026654112644578065
2020-07-07,-0.0390667816587692
2020-07-08,-0.03224279854200707
2020-07-09,-0.04159329965654446
2020-07-10,-0.02923866702642608
2020-07-13,-0.033245392460507506
2020-07-14,-0.014545541209264323
2020-07-15,-0.0074486063040517525
2020-07-16,-0.011261379245053105
2020-07-17,-0.010831255905899395
2020-07-20,-0.007713276840649597
2020-07-21,-0.0022603124438070887
2020-07-22,0.0
2020-07-23,-0.01073774753250789
2020-07-24,-0.015063498677712617
2020-07-27,-0.00916963638895052
2020-07-28,-0.015706881365012526
2020-07-29,-0.008853050501358206
2020-07-30,-0.01740097063629853
2020-07-31,-0.01666112647709883
2020-08-03,-0.009761070108690206
2020-08-04,-0.005002396745196536
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-10,0.0
2020-08-11,-0.0030257403485349776
2020-08-12,0.0
2020-08-13,-0.005057531089881939
2020-08-14,-0.0043683366644018395
2020-08-17,-0.004035375593223867
2020-08-18,-0.00390496605431645
2020-08-19,-0.007832564540846687
2020-08-20,-0.006940386683060629
2020-08-21,-0.002631069834895916
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-31,-0.005754203111727918
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,-0.02837097962952495
2020-09-04,-0.03267847185043382
2020-09-08,-0.055502760675351315
2020-09-09,-0.03878295297188439
2020-09-10,-0.052425276854157876
2020-09-11,-0.04779987387745532
2020-09-14,-0.03610795892320784
2020-09-15,-0.0368776964197457
2020-09-16,-0.03704330848746873
2020-09-17,-0.041939268399905694
2020-09-18,-0.05184542839292583
2020-09-21,-0.0677316718372718
2020-09-22,-0.06043217337887419
2020-09-23,-0.07950691443629465
2020-09-24,-0.07713864501968892
2020-09-25,-0.06477889662416136
2020-09-28,-0.0503203634927929
2020-09-29,-0.05509543638309866
2020-09-30,-0.04591694889496889
2020-10-01,-0.04512257079231241
2020-10-02,-0.05066919130442915
2020-10-05,-0.034974962093613504
2020-10-06,-0.04690445986409708
2020-10-07,-0.029853346739836972
2020-10-08,-0.023501148643052416
2020-10-09,-0.018022843555623114
2020-10-12,-0.007412987489210265
2020-10-13,-0.01414205487271536
2020-10-14,-0.019518526563452432
2020-10-15,-0.021084075573201244
2020-10-16,-0.018920920727844015
2020-10-19,-0.03405586467170052
2020-10-20,-0.030233353022460663
2020-10-21,-0.033528640989125114
2020-10-22,-0.026847464287337308
2020-10-23,-0.026132622247929893
2020-10-26,-0.047095949949511606
2020-10-27,-0.05345070178576461
2020-10-28,-0.08438202991125698
2020-10-29,-0.07657745769183277
2020-10-30,-0.08364429018657815
2020-11-02,-0.06999091703512617
2020-11-03,-0.05256040541193818
2020-11-04,-0.04167326169656593
2020-11-05,-0.023029921770494677
2020-11-06,-0.02298268710249718
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,-0.010199490416863854
2020-11-13,0.0
2020-11-16,0.0
2020-11-17,-0.0040292289466031805
2020-11-18,-0.015173392127550644
2020-11-19,-0.012578685800913036
2020-11-20,-0.019437775561488957
2020-11-23,-0.008285843018087213
2020-11-24,0.0
2020-11-25,-0.0033627516305962946
2020-11-27,-0.002835335071124101
2020-11-30,-0.009548271331337732
2020-12-01,-0.002742876956700724
2020-12-02,-4.686889488580981e-05
2020-12-03,0.0
