Date,cumulative_return
2022-01-03,0.00532593267571424
2022-01-04,0.007829469525582056
2022-01-05,-0.006522108156163942
2022-01-06,-0.006117266630916607
2022-01-07,-0.009935249037640648
2022-01-10,-0.010761892332296075
2022-01-11,-0.002921503342745102
2022-01-12,-0.0006909737483016265
2022-01-13,-0.012027823282978023
2022-01-14,-0.01062345083067584
2022-01-18,-0.02888384253878251
2022-01-19,-0.037931379268004495
2022-01-20,-0.047779967252068456
2022-01-21,-0.0643824700622313
2022-01-24,-0.06195859230230982
2022-01-25,-0.07158362080229097
2022-01-26,-0.0750594130203246
2022-01-27,-0.07819198434396879
2022-01-28,-0.05947934526894283
2022-01-31,-0.04155049894835061
2022-02-01,-0.03350236273656959
2022-02-02,-0.026380693655031373
2022-02-03,-0.04666252430194062
2022-02-04,-0.044097956319928855
2022-02-07,-0.04569803264735228
2022-02-08,-0.0378791450759125
2022-02-09,-0.022720762598160138
2022-02-10,-0.03988498333942814
2022-02-11,-0.05837035733364304
2022-02-14,-0.06218698567757597
2022-02-15,-0.045340260284644884
2022-02-16,-0.044818084285862314
2022-02-17,-0.06427008311400284
2022-02-18,-0.07158279772594456
2022-02-22,-0.0802607580767668
2022-02-23,-0.09433357070048265
2022-02-24,-0.0825125233905174
2022-02-25,-0.062030287312725085
2022-02-28,-0.06493629741021201
2022-03-01,-0.07980523317089605
2022-03-02,-0.06174676443578919
2022-03-03,-0.06688032375522712
2022-03-04,-0.07409977979037152
2022-03-07,-0.10071223765107762
2022-03-08,-0.10641018303993743
2022-03-09,-0.08414545277174068
2022-03-10,-0.08831223988996384
2022-03-11,-0.0977090039879599
2022-03-14,-0.10255055862550289
2022-03-15,-0.08325017144584501
2022-03-16,-0.06290956241993029
2022-03-17,-0.051105680463176095
2022-03-18,-0.04133758246541264
2022-03-21,-0.04421278273224716
2022-03-22,-0.03463225323594221
2022-03-23,-0.04933140943614489
2022-03-24,-0.035344237595432926
2022-03-25,-0.030581371255755663
2022-03-28,-0.02413331144434694
2022-03-29,-0.012362288223149998
2022-03-30,-0.018381786273063416
2022-03-31,-0.03186586113939949
2022-04-01,-0.029108255730192156
2022-04-04,-0.02380142389406903
2022-04-05,-0.03623547899480872
2022-04-06,-0.042578441867708094
2022-04-07,-0.03731565386719915
2022-04-08,-0.03927455211780251
2022-04-11,-0.05172484523762211
2022-04-12,-0.05603409810201132
2022-04-13,-0.04646177684536801
2022-04-14,-0.05583608366111237
2022-04-18,-0.05809839001415895
2022-04-19,-0.04219574243590141
2022-04-20,-0.04210457835320336
2022-04-21,-0.056096440948780746
2022-04-22,-0.0836657503322712
2022-04-25,-0.07814848993652534
2022-04-26,-0.10257338735303922
2022-04-27,-0.10237441145071202
2022-04-28,-0.07876148891136259
2022-04-29,-0.10878077116205565
2022-05-02,-0.10433272473226729
2022-05-03,-0.10181326089858
2022-05-04,-0.07613839437327696
2022-05-05,-0.10590997236268285
2022-05-06,-0.11243023926057472
2022-05-09,-0.1432896356425548
2022-05-10,-0.14258675581851676
2022-05-11,-0.1536339017012196
2022-05-12,-0.15036159335636912
2022-05-13,-0.12896020310605738
2022-05-16,-0.13277686305747793
2022-05-17,-0.11434478014740479
2022-05-18,-0.14618588076113814
2022-05-19,-0.15065806289674644
2022-05-20,-0.14924354111604543
2022-05-23,-0.13443559820975182
2022-05-24,-0.14021584740548054
2022-05-25,-0.13053761034367728
2022-05-26,-0.11354429425735801
2022-05-27,-0.09370022276539325
2022-05-31,-0.10054074580160921
2022-06-01,-0.10842458577357628
2022-06-02,-0.08860505543619746
2022-06-03,-0.10173159923641595
2022-06-06,-0.10081582700418978
2022-06-07,-0.09194300722032711
2022-06-08,-0.10197924227319533
2022-06-09,-0.12317576631323013
2022-06-10,-0.14806024604282542
2022-06-13,-0.17976905715087566
2022-06-14,-0.18297084846686307
2022-06-15,-0.17124539297516583
2022-06-16,-0.1961874325547046
2022-06-17,-0.1943294126793793
2022-06-21,-0.17527627054141515
2022-06-22,-0.17631353090118407
2022-06-23,-0.1696039626452882
2022-06-24,-0.14345844958418086
2022-06-27,-0.14677301494396233
2022-06-28,-0.16270282360550947
2022-06-29,-0.16520314793951585
2022-06-30,-0.17059524673981086
2022-07-01,-0.1639903078814885
2022-07-05,-0.1641128136465243
2022-07-06,-0.1628534958086708
2022-07-07,-0.14999357253546408
2022-07-08,-0.15046074646405816
2022-07-11,-0.15950925771712332
2022-07-12,-0.16685840506087046
2022-07-13,-0.17013543383766028
2022-07-14,-0.17376034485958702
2022-07-15,-0.15526763247147224
2022-07-18,-0.16225126991394312
2022-07-19,-0.1383413266638468
2022-07-20,-0.13290103555605448
2022-07-21,-0.12430865558458859
2022-07-22,-0.1316487949730869
2022-07-25,-0.12978977966737348
2022-07-26,-0.1394863805089135
2022-07-27,-0.12014309499045794
2022-07-28,-0.10760864735086206
2022-07-29,-0.0986285355022486
2022-08-01,-0.0986288162400375
2022-08-02,-0.10251489730767172
2022-08-03,-0.0887212495813331
2022-08-04,-0.08784821447721136
2022-08-05,-0.08827440660614017
2022-08-08,-0.09094398801371895
2022-08-09,-0.09682165928289
2022-08-10,-0.07746585897487579
2022-08-11,-0.07694125988683898
2022-08-12,-0.06081045160319554
2022-08-15,-0.0565176079624532
2022-08-16,-0.05443418337062733
2022-08-17,-0.06169787311197317
