run_id,universe_id,construction_date,estimation_months,method,total_return,annualized_return,volatility,sharpe_ratio,max_drawdown
djia_20190601_12m,djia,2019-06-01,12,equal_weight,0.22189335717075842,0.22189335717075842,0.21653394700700265,1.0247509004377149,-0.27169344068282963
djia_20190601_12m,djia,2019-06-01,12,naive_risk_parity,0.17884221167543468,0.17884221167543468,0.2121409116825544,0.8430349914921288,-0.27162037762437585
djia_20190601_12m,djia,2019-06-01,12,markowitz,0.0803220972339922,0.0803220972339922,0.18804848225213144,0.42713504662216856,-0.23583208785882426
djia_20190601_12m,djia,2019-06-01,12,hrp_recursive,0.08337279412041809,0.08337279412041809,0.19065620848711956,0.43729388506144884,-0.2515711671963623
djia_20190601_12m,djia,2019-06-01,12,hca_deprado_ew_nrp,0.11015233846359496,0.11015233846359496,0.20318390022298172,0.5421312335411891,-0.2513433641995221
djia_20200601_12m,djia,2020-06-01,12,equal_weight,0.3430590968361229,0.3414942574924822,0.14365514649535918,2.3771808099023746,-0.08937622473616325
djia_20200601_12m,djia,2020-06-01,12,naive_risk_parity,0.305027464471362,0.30365494663182857,0.13656602439078364,2.223502866005091,-0.08864948993259991
djia_20200601_12m,djia,2020-06-01,12,markowitz,0.5096283758575357,0.5071728223760972,0.21857394471784472,2.3203718221346206,-0.13248478489122661
djia_20200601_12m,djia,2020-06-01,12,hrp_recursive,0.20904187759384985,0.20813506267593684,0.13347500352706845,1.559356112949849,-0.09364170253971604
djia_20200601_12m,djia,2020-06-01,12,hca_deprado_ew_nrp,0.23296841044617955,0.23194822435899765,0.13362290029205035,1.735841864321493,-0.0885250959001137
djia_20200601_24m,djia,2020-06-01,24,equal_weight,0.3430590968361229,0.3414942574924822,0.14365514649535918,2.3771808099023746,-0.08937622473616325
djia_20200601_24m,djia,2020-06-01,24,naive_risk_parity,0.3080067984013748,0.3066193701465243,0.1377732082448383,2.2255369824997295,-0.08786267936514858
djia_20200601_24m,djia,2020-06-01,24,markowitz,0.24263611335330304,0.24156959863639482,0.13923985838630776,1.734917008937074,-0.08030517116825775
djia_20200601_24m,djia,2020-06-01,24,hrp_recursive,0.17031697800367507,0.16958968956160803,0.12458063224803644,1.3612845472156527,-0.08838226432412855
djia_20200601_24m,djia,2020-06-01,24,hca_deprado_ew_nrp,0.1743540119553333,0.17360824061214553,0.12153720398283381,1.4284370128892083,-0.08444725783756835
djia_20220103_12m,djia,2022-01-03,12,equal_weight,-0.11557792852162385,-0.11557792852162385,0.180092585469847,-0.641769499949653,-0.21627903363506495
djia_20220103_12m,djia,2022-01-03,12,naive_risk_parity,-0.09117747526769937,-0.09117747526769937,0.16412810676715225,-0.5555262719081528,-0.19474761359136472
djia_20220103_12m,djia,2022-01-03,12,markowitz,-0.09444138980113903,-0.09444138980113903,0.18485548296147633,-0.5108930949092838,-0.2019310760576799
djia_20220103_12m,djia,2022-01-03,12,hrp_recursive,-0.07643019426289988,-0.07643019426289988,0.16126245079350698,-0.47394910524314837,-0.17840780204129925
djia_20220103_12m,djia,2022-01-03,12,hca_deprado_ew_nrp,-0.04800894268403777,-0.04800894268403777,0.16565050454639083,-0.2898206849143206,-0.1706385512912908
djia_20220103_24m,djia,2022-01-03,24,equal_weight,-0.11557792852162385,-0.11557792852162385,0.180092585469847,-0.641769499949653,-0.21627903363506495
djia_20220103_24m,djia,2022-01-03,24,naive_risk_parity,-0.09648337086521519,-0.09648337086521519,0.16638808360655097,-0.5798694760699586,-0.19997297572655748
djia_20220103_24m,djia,2022-01-03,24,markowitz,-0.30627754313416844,-0.30627754313416844,0.3062107864148307,-1.000218009039196,-0.42739797548138514
djia_20220103_24m,djia,2022-01-03,24,hrp_recursive,-0.05433499453587254,-0.05433499453587254,0.1434147516337124,-0.3788661481257278,-0.17489438134392
djia_20220103_24m,djia,2022-01-03,24,hca_deprado_ew_nrp,-0.06859227142313984,-0.06859227142313984,0.15715465709808296,-0.4364634983761901,-0.177030560378724
djia_20220103_36m,djia,2022-01-03,36,equal_weight,-0.11557792852162385,-0.11557792852162385,0.180092585469847,-0.641769499949653,-0.21627903363506495
djia_20220103_36m,djia,2022-01-03,36,naive_risk_parity,-0.09492592365817243,-0.09492592365817243,0.16661329739396138,-0.5697379809590928,-0.19887066140134657
djia_20220103_36m,djia,2022-01-03,36,markowitz,-0.24038455128336877,-0.24038455128336877,0.24479041910354338,-0.982001469517028,-0.34267932193267114
djia_20220103_36m,djia,2022-01-03,36,hrp_recursive,-0.03906068837355281,-0.03906068837355281,0.1410085372557881,-0.2770093863373471,-0.17117382208991827
djia_20220103_36m,djia,2022-01-03,36,hca_deprado_ew_nrp,-0.05227588059442412,-0.05227588059442412,0.15021471476731307,-0.34800772131678953,-0.16978629587230465
sp100_style_top100_20190601_12m,sp100_style_top100,2019-06-01,12,equal_weight,0.24619203181025195,0.24619203181025195,0.21063632693318832,1.1688013905044097,-0.27212457563587866
sp100_style_top100_20190601_12m,sp100_style_top100,2019-06-01,12,naive_risk_parity,0.18453626535670664,0.18453626535670664,0.204537352642241,0.9022130333303056,-0.26816835636290914
sp100_style_top100_20190601_12m,sp100_style_top100,2019-06-01,12,markowitz,0.19854215493074534,0.19854215493074534,0.19584709045763432,1.0137610646490254,-0.23387094303164024
sp100_style_top100_20190601_12m,sp100_style_top100,2019-06-01,12,hrp_recursive,0.1852922615685335,0.1852922615685335,0.19745308510437923,0.9384115799992836,-0.26630232472131243
sp100_style_top100_20190601_12m,sp100_style_top100,2019-06-01,12,hca_deprado_ew_nrp,0.2996311079698124,0.2996311079698124,0.20171316106877396,1.4854316217257306,-0.26801904614327365
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,equal_weight,0.4395722300135938,0.43750059006777886,0.1416854038434373,3.087831055280881,-0.07835463672264453
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,naive_risk_parity,0.38976704932587936,0.3879602305247365,0.13433390036133813,2.88802922777632,-0.07323765848463681
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,markowitz,0.7849879890602889,0.78090474988574,0.23176748282958304,3.3693456060008797,-0.12800110201385284
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,hrp_recursive,0.40810832741337855,0.4062047886503264,0.126503448761908,3.211017506841604,-0.06828291189386182
sp100_style_top100_20200601_12m,sp100_style_top100,2020-06-01,12,hca_deprado_ew_nrp,0.49796532913188885,0.4955745931722486,0.1417030615087826,3.4972751322068896,-0.07488200391283972
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,equal_weight,0.4395722300135938,0.43750059006777886,0.1416854038434373,3.087831055280881,-0.07835463672264453
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,naive_risk_parity,0.39075248292753906,0.38894049167249856,0.13511584158251902,2.878570618493774,-0.07313492388333653
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,markowitz,0.4737613367231408,0.47150397253096954,0.16255153476097042,2.90064300668898,-0.1160129722382639
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,hrp_recursive,0.417569578457885,0.4156157792018935,0.1255613263748799,3.3100620326438555,-0.06688195347595283
sp100_style_top100_20200601_24m,sp100_style_top100,2020-06-01,24,hca_deprado_ew_nrp,0.4379471875527081,0.43588429639313064,0.13208532002846,3.300020746432776,-0.07155246428146278
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,equal_weight,-0.13493556541666185,-0.13493556541666185,0.18842549205455397,-0.7161216030026053,-0.22559136333536078
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,naive_risk_parity,-0.10446298829843526,-0.10446298829843526,0.17300440248559792,-0.6038169364339239,-0.20020042964286522
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,markowitz,-0.11799253638931317,-0.11799253638931317,0.1822228967749698,-0.6475176197809224,-0.19504120705417194
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,hrp_recursive,-0.04183251151715983,-0.04183251151715983,0.15767321383233057,-0.26531146604041733,-0.15788413279243152
sp100_style_top100_20220103_12m,sp100_style_top100,2022-01-03,12,hca_deprado_ew_nrp,-0.0696786240852193,-0.0696786240852193,0.16749753721996535,-0.4159979020689371,-0.17106649967389242
sp100_style_top100_20220103_24m,sp100_style_top100,2022-01-03,24,equal_weight,-0.13493556541666185,-0.13493556541666185,0.18842549205455397,-0.7161216030026053,-0.22559136333536078
sp100_style_top100_20220103_24m,sp100_style_top100,2022-01-03,24,naive_risk_parity,-0.11071724176009878,-0.11071724176009878,0.17624179540119211,-0.62821217582393,-0.20562499928219413
sp100_style_top100_20220103_24m,sp100_style_top100,2022-01-03,24,markowitz,-0.24871406615036673,-0.24871406615036673,0.24866682484529182,-1.0001899783177925,-0.26604204015603405
sp100_style_top100_20220103_24m,sp100_style_top100,2022-01-03,24,hrp_recursive,-0.1899333393478354,-0.1899333393478354,0.22368773457260288,-0.8491003751758605,-0.3088428525264725
