run_id,universe_id,construction_date,estimation_months,method,mean_terminal_value,median_terminal_value,std_terminal_value,prob_loss
djia_20190601_12m,djia,2019-06-01,12,equal_weight,1.14647207805154,1.14100474785598,0.14561344398051948,0.1615
djia_20190601_12m,djia,2019-06-01,12,naive_risk_parity,1.17121960278672,1.161319099159831,0.13852009104181218,0.095
djia_20190601_12m,djia,2019-06-01,12,markowitz,1.3929419517541086,1.3842561848964636,0.1519081872535516,0.0015
djia_20190601_12m,djia,2019-06-01,12,hrp_recursive,1.230006174435061,1.2240819231396325,0.12300111077549465,0.0205
djia_20190601_12m,djia,2019-06-01,12,hca_deprado_ew_nrp,1.2526711642487993,1.2432438662176422,0.13526278025524796,0.0225
djia_20200601_12m,djia,2020-06-01,12,equal_weight,1.2602976253268061,1.2365409439123436,0.27993582659775595,0.1835
djia_20200601_12m,djia,2020-06-01,12,naive_risk_parity,1.2439253535185824,1.2150655770057273,0.2562363561553203,0.1525
djia_20200601_12m,djia,2020-06-01,12,markowitz,1.9896165298038482,1.9242166543020764,0.5268999974775368,0.01
djia_20200601_12m,djia,2020-06-01,12,hrp_recursive,1.2395245064516804,1.2194243776512053,0.21297652977864936,0.126
djia_20200601_12m,djia,2020-06-01,12,hca_deprado_ew_nrp,1.2716316388899491,1.2521988625147973,0.21925510571788542,0.0955
djia_20200601_24m,djia,2020-06-01,24,equal_weight,1.2030967195423636,1.187012952971954,0.21781586576331954,0.185
djia_20200601_24m,djia,2020-06-01,24,naive_risk_parity,1.2029468524544586,1.1819915390423212,0.20399900619308364,0.143
djia_20200601_24m,djia,2020-06-01,24,markowitz,1.3259329299409146,1.3152448525101534,0.20882935468630365,0.043
djia_20200601_24m,djia,2020-06-01,24,hrp_recursive,1.2083674653829917,1.199760857955446,0.17393905895958314,0.112
djia_20200601_24m,djia,2020-06-01,24,hca_deprado_ew_nrp,1.2234842585185506,1.2129924813159356,0.17846376118085824,0.094
djia_20220103_12m,djia,2022-01-03,12,equal_weight,1.24683365062215,1.241806900814331,0.11736179893996404,0.01
djia_20220103_12m,djia,2022-01-03,12,naive_risk_parity,1.2223975225915569,1.2178537825555233,0.10582275620606657,0.0115
djia_20220103_12m,djia,2022-01-03,12,markowitz,1.5315124997338216,1.5233012379890183,0.1566906593497543,0.0
djia_20220103_12m,djia,2022-01-03,12,hrp_recursive,1.1889299469409857,1.1829682931690635,0.10293154445380803,0.0245
djia_20220103_12m,djia,2022-01-03,12,hca_deprado_ew_nrp,1.212805026065182,1.2080677010430194,0.11432496339112132,0.024
