equal_weight,naive_risk_parity,markowitz,hrp_recursive,hca_deprado_ew_nrp
1.122809530792015,1.3082339311267828,1.6735006919561082,1.2127936130056216,1.3655467068914935
1.2497305358733646,1.1618890109969764,1.9248194716222955,1.057143519513285,1.1721712163431293
1.259603490387526,1.2739668400064599,1.3628902318543998,1.4451969604291866,1.3299811906795251
1.3176521345087826,1.5909718626269214,1.6816992736662597,1.2362429762382787,1.0922412505572334
1.2380041947001865,1.0735280592698808,1.6686657223995007,1.3518335369753083,1.1566111243252855
0.9882772114914598,1.1184325388470426,1.5926814704917813,1.2983714245580285,1.2272559741823794
1.1756709082038823,1.2885654332441367,1.2448728456565397,1.2506005509496692,1.3811861753375987
1.2475008314063305,1.1337336563290838,1.6145707355966932,1.0768353545913978,1.1239156999011453
1.2105997414178389,1.3040099952230804,1.8154868310251642,1.0980478667407938,1.0751179383019625
1.2599027472301774,1.2375051506235817,1.7425440815515887,1.1802853142881833,1.1531464804828198
1.6107953981841836,1.088062850368978,1.1726652584804849,1.3132425183420136,1.011281019912899
1.3034391413516802,1.1861832318135908,1.8042741584045532,1.0811469817162662,1.3667483346912255
1.1856980324203719,1.1261487326141693,1.7145944241193318,1.363578967574151,1.3855313028030827
0.9454652172776647,1.1413899022700214,1.7904510771800324,1.140421442022098,1.2376536329553993
1.1826524422362967,1.15678636582145,1.7806432211450878,1.2569506233412484,1.2477055914642743
1.2255501425355602,1.265230999529181,1.5419188381160218,1.354594222434773,1.0202506521377543
0.9852160958494788,1.3015740329544672,1.6251057676591059,1.0263735714584357,1.2082634566472237
1.2634937984487795,1.3859705358228067,1.2478567973576946,1.3307835141162512,1.443099160279796
1.3902689139004862,1.1275698470563305,1.7759102178069275,1.083374706783289,1.3125286908905944
1.1116700518065632,1.1910679272308018,1.6194654302120461,1.219710789853967,1.573426333202278
1.2218518679526036,1.2303089592940226,1.437273864331161,1.1897648512157362,1.174412912751072
