Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT,MSFT
Price,Adj Close,Close,High,Low,Open,Repaired?,Volume,Adj Close,Close,High,Low,Open,Repaired?,Volume,Adj Close,Close,High,Low,Open,Repaired?,Volume
Date,,,,,,,,,,,,,,,,,,,,,
2024-01-02,183.73130798339844,185.63999938964844,188.44000244140625,183.88999938964844,187.14999389648438,False,82488700,149.92999267578125,149.92999267578125,152.3800048828125,148.38999938964844,151.5399932861328,False,47339400,364.58941650390625,370.8699951171875,375.8999938964844,366.7699890136719,373.8599853515625,False,25258600
2024-01-03,182.35560607910156,184.25,185.8800048828125,183.42999267578125,184.22000122070312,False,58414500,148.47000122070312,148.47000122070312,151.0500030517578,148.3300018310547,149.1999969482422,False,49425500,364.32403564453125,370.6000061035156,373.260009765625,368.510009765625,369.010009765625,False,23083500
2024-01-04,180.03965759277344,181.91000366210938,183.08999633789062,180.8800048828125,182.14999389648438,False,71983600,144.57000732421875,144.57000732421875,147.3800048828125,144.0500030517578,145.58999633789062,False,56039800,361.7091064453125,367.94000244140625,373.1000061035156,367.1700134277344,370.6700134277344,False,20901500
2024-01-05,179.31715393066406,181.17999267578125,182.75999450683594,180.1699981689453,181.99000549316406,False,62379700,145.24000549316406,145.24000549316406,146.58999633789062,144.52999877929688,144.69000244140625,False,45153100,361.52227783203125,367.75,372.05999755859375,366.5,368.9700012207031,False,21004600
2024-01-08,183.6521453857422,185.55999755859375,185.60000610351562,181.5,182.08999633789062,False,59144500,149.10000610351562,149.10000610351562,149.39999389648438,146.14999389648438,146.74000549316406,False,46757100,368.3447570800781,374.69000244140625,375.20001220703125,369.010009765625,369.29998779296875,False,23134000
2024-01-09,183.2364501953125,185.13999938964844,185.14999389648438,182.72999572753906,183.9199981689453,False,42841800,151.3699951171875,151.3699951171875,151.7100067138672,148.2100067138672,148.3300018310547,False,43812600,369.42608642578125,375.7900085449219,375.989990234375,371.19000244140625,372.010009765625,False,20830000
2024-01-10,184.27565002441406,186.19000244140625,186.39999389648438,183.9199981689453,184.35000610351562,False,46792900,153.72999572753906,153.72999572753906,154.4199981689453,151.8800048828125,152.05999755859375,False,44421800,376.2879333496094,382.7699890136719,384.1700134277344,376.32000732421875,376.3699951171875,False,25514200
2024-01-11,183.68182373046875,185.58999633789062,187.0500030517578,183.6199951171875,186.5399932861328,False,49128400,155.17999267578125,155.17999267578125,157.1699981689453,153.1199951171875,155.0399932861328,False,49072700,378.116455078125,384.6300048828125,390.67999267578125,380.3800048828125,386.0,False,27850800
2024-01-12,184.00840759277344,185.9199981689453,186.74000549316406,185.19000244140625,186.05999755859375,False,40477800,154.6199951171875,154.6199951171875,156.1999969482422,154.00999450683594,155.38999938964844,False,40484200,381.891357421875,388.4700012207031,388.67999267578125,384.6499938964844,385.489990234375,False,21661200
2024-01-16,181.74197387695312,183.6300048828125,184.25999450683594,180.92999267578125,182.16000366210938,False,65603000,153.16000366210938,153.16000366210938,154.99000549316406,152.14999389648438,153.52999877929688,False,41384600,383.6609191894531,390.2699890136719,394.0299987792969,387.6199951171875,393.6600036621094,False,27202300
2024-01-17,180.80174255371094,182.67999267578125,182.92999267578125,180.3000030517578,181.27000427246094,False,47317400,151.7100067138672,151.7100067138672,152.14999389648438,149.91000366210938,151.49000549316406,False,34953400,382.87445068359375,389.4700012207031,390.1099853515625,384.80999755859375,387.9800109863281,False,22234100
2024-01-18,186.6905517578125,188.6300048828125,189.13999938964844,185.8300018310547,186.08999633789062,False,78005800,153.5,153.5,153.77999877929688,151.82000732421875,152.77000427246094,False,37850200,387.1999816894531,393.8699951171875,393.989990234375,390.1199951171875,391.7200012207031,False,23392100
2024-01-19,189.59043884277344,191.55999755859375,191.9499969482422,188.82000732421875,189.3300018310547,False,68903000,155.33999633789062,155.33999633789062,155.75999450683594,152.74000549316406,153.8300018310547,False,51651600,391.9186706542969,398.6700134277344,398.6700134277344,393.5,395.760009765625,False,29331100
2024-01-22,191.896484375,193.88999938964844,195.3300018310547,192.25999450683594,192.3000030517578,False,60133900,154.77999877929688,154.77999877929688,157.0500030517578,153.89999389648438,156.88999938964844,False,43687500,389.7952880859375,396.510009765625,400.6199951171875,393.5899963378906,400.0199890136719,False,27016900
2024-01-23,193.17320251464844,195.17999267578125,195.75,193.8300018310547,195.02000427246094,False,42355600,156.02000427246094,156.02000427246094,156.2100067138672,153.92999267578125,154.85000610351562,False,37986000,392.1448059082031,398.8999938964844,399.3800048828125,393.92999267578125,395.75,False,20525900
2024-01-24,192.50021362304688,194.5,196.3800048828125,194.33999633789062,195.4199981689453,False,53631300,156.8699951171875,156.8699951171875,158.50999450683594,156.47999572753906,157.8000030517578,False,48547300,395.7427673339844,402.55999755859375,405.6300048828125,400.45001220703125,401.5400085449219,False,24867000
2024-01-25,192.17359924316406,194.1699981689453,196.27000427246094,193.11000061035156,195.22000122070312,False,54822100,157.75,157.75,158.50999450683594,154.5500030517578,156.9499969482422,False,43638600,398.0137023925781,404.8699951171875,407.010009765625,402.5299987792969,404.32000732421875,False,21021200
