,weight
AAPL,0.03333333333333333
AMGN,0.03333333333333333
AMZN,0.03333333333333333
AXP,0.03333333333333333
BA,0.03333333333333333
CAT,0.03333333333333333
CRM,0.03333333333333333
CSCO,0.03333333333333333
CVX,0.03333333333333333
DIS,0.03333333333333333
GS,0.03333333333333333
HD,0.03333333333333333
HON,0.03333333333333333
IBM,0.03333333333333333
JNJ,0.03333333333333333
JPM,0.03333333333333333
KO,0.03333333333333333
MCD,0.03333333333333333
MMM,0.03333333333333333
MRK,0.03333333333333333
MSFT,0.03333333333333333
NKE,0.03333333333333333
NVDA,0.03333333333333333
PG,0.03333333333333333
SHW,0.03333333333333333
TRV,0.03333333333333333
UNH,0.03333333333333333
V,0.03333333333333333
VZ,0.03333333333333333
WMT,0.03333333333333333
