,weight
AAPL,0.020833333333333332
ABBV,0.020833333333333332
ABT,0.020833333333333332
ACN,0.020833333333333332
ADBE,0.020833333333333332
AMD,0.020833333333333332
AMGN,0.020833333333333332
AMZN,0.020833333333333332
AVGO,0.020833333333333332
BAC,0.020833333333333332
BMY,0.020833333333333332
COST,0.020833333333333332
CRM,0.020833333333333332
CSCO,0.020833333333333332
CVX,0.020833333333333332
DHR,0.020833333333333332
DIS,0.020833333333333332
GOOG,0.020833333333333332
HD,0.020833333333333332
HON,0.020833333333333332
JPM,0.020833333333333332
KO,0.020833333333333332
LIN,0.020833333333333332
LLY,0.020833333333333332
MA,0.020833333333333332
MCD,0.020833333333333332
META,0.020833333333333332
MRK,0.020833333333333332
MSFT,0.020833333333333332
NEE,0.020833333333333332
NFLX,0.020833333333333332
NKE,0.020833333333333332
NVDA,0.020833333333333332
ORCL,0.020833333333333332
PEP,0.020833333333333332
PFE,0.020833333333333332
PG,0.020833333333333332
PM,0.020833333333333332
TMO,0.020833333333333332
TSLA,0.020833333333333332
TXN,0.020833333333333332
UNH,0.020833333333333332
UPS,0.020833333333333332
V,0.020833333333333332
VZ,0.020833333333333332
WFC,0.020833333333333332
WMT,0.020833333333333332
XOM,0.020833333333333332
