Date,drawdown
2022-01-03,0.0
2022-01-04,-0.00549413168327062
2022-01-05,-0.011329082291069548
2022-01-06,-0.014598248076245102
2022-01-07,-0.014401365594442384
2022-01-10,-0.015448716237298932
2022-01-11,-0.009935103383979738
2022-01-12,-0.01017376796172853
2022-01-13,-0.020950641962865224
2022-01-14,-0.02492466129016324
2022-01-18,-0.03903591266764195
2022-01-19,-0.04526119824553054
2022-01-20,-0.051504932818948856
2022-01-21,-0.06561964398030795
2022-01-24,-0.06775186733878558
2022-01-25,-0.07122683220604009
2022-01-26,-0.07604201342086492
2022-01-27,-0.07512617567320523
2022-01-28,-0.05624398091089389
2022-01-31,-0.04634951296886969
2022-02-01,-0.03835597717113137
2022-02-02,-0.03009331929233272
2022-02-03,-0.04779903493589832
2022-02-04,-0.049425118804094614
2022-02-07,-0.051054614181354374
2022-02-08,-0.052800953108811055
2022-02-09,-0.0415955108791215
2022-02-10,-0.0586276265194523
2022-02-11,-0.06986665652163215
2022-02-14,-0.07622422067037793
2022-02-15,-0.0640654325420349
2022-02-16,-0.06517144444768763
2022-02-17,-0.08045450735102422
2022-02-18,-0.08781355432385363
2022-02-22,-0.09932132612135325
2022-02-23,-0.10989326465344729
2022-02-24,-0.10286976190709307
2022-02-25,-0.08011257480220668
2022-02-28,-0.0819220458712906
2022-03-01,-0.09240452562111079
2022-03-02,-0.07398048738452667
2022-03-03,-0.07449699473724003
2022-03-04,-0.0742314732463667
2022-03-07,-0.0898156030057814
2022-03-08,-0.0982290029277394
2022-03-09,-0.08094890368566277
2022-03-10,-0.07857384144456447
2022-03-11,-0.08318678594702444
2022-03-14,-0.08168635584105777
2022-03-15,-0.06730241177379714
2022-03-16,-0.05295372662055231
2022-03-17,-0.038309905708900804
2022-03-18,-0.029968297980893288
2022-03-21,-0.0330385366855761
2022-03-22,-0.029632508845422456
2022-03-23,-0.040811159807698894
2022-03-24,-0.03114373096762557
2022-03-25,-0.026228098401501088
2022-03-28,-0.019194723662550706
2022-03-29,-0.011427350755874865
2022-03-30,-0.013151975553721051
2022-03-31,-0.024765945941081502
2022-04-01,-0.020803765422394815
2022-04-04,-0.01918191533692304
2022-04-05,-0.024446903611037407
2022-04-06,-0.021399038838660456
2022-04-07,-0.00699782547692307
2022-04-08,-0.007087881650586714
2022-04-11,-0.020875172988520263
2022-04-12,-0.026948906710476228
2022-04-13,-0.018021724403004313
2022-04-14,-0.02278510589181748
2022-04-18,-0.031801762453988025
2022-04-19,-0.023162244637048413
2022-04-20,-0.02209927426869529
2022-04-21,-0.035639876524949377
2022-04-22,-0.06240004480649031
2022-04-25,-0.05759190335847941
2022-04-26,-0.07654042483302526
2022-04-27,-0.07572261650904633
2022-04-28,-0.0532478830261881
2022-04-29,-0.08100655520183098
2022-05-02,-0.08339837380991855
2022-05-03,-0.08065894062558499
2022-05-04,-0.05906092183168932
2022-05-05,-0.08648393325202941
2022-05-06,-0.09261619536925036
