Date,drawdown
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,-0.003182855307533705
2020-06-05,0.0
2020-06-08,0.0
2020-06-09,-0.0006915764395204471
2020-06-10,0.0
2020-06-11,-0.01913181836913702
2020-06-12,-0.01403022305877355
2020-06-15,-0.009314050834986043
2020-06-16,-0.006069360615916453
2020-06-17,-0.007090512331900278
2020-06-18,-0.005414278605836431
2020-06-19,-0.0050943872103840215
2020-06-22,-0.0015576974050344194
2020-06-23,-0.0003878679075575153
2020-06-24,-0.008814615847590801
2020-06-25,-0.004969441845234623
2020-06-26,-0.009730273409734203
2020-06-29,-0.004901519256190867
2020-06-30,-0.0018894922428216443
2020-07-01,0.0
2020-07-02,0.0
2020-07-06,0.0
2020-07-07,-0.0020141317481798815
2020-07-08,0.0
2020-07-09,-6.0483345666217936e-05
2020-07-10,0.0
2020-07-13,-0.003309673555137116
2020-07-14,0.0
2020-07-15,0.0
2020-07-16,-0.0021704855422268743
2020-07-17,0.0
2020-07-20,0.0
2020-07-21,0.0
2020-07-22,0.0
2020-07-23,-0.0008651646543424985
2020-07-24,-0.002179240439128427
2020-07-27,0.0
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,-0.001993130280492861
2020-07-31,-0.0008352748194546677
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,-0.00425599179739844
2020-08-10,-0.004357762513587771
2020-08-11,-0.014740366722032938
2020-08-12,-0.011831073472301057
2020-08-13,-0.013064239641295106
2020-08-14,-0.01487129767525941
2020-08-17,-0.008546091646793985
2020-08-18,-0.005890604592709736
2020-08-19,-0.012160000655835335
2020-08-20,-0.009497409460376804
2020-08-21,-0.009307061484843726
2020-08-24,-0.0067220319857904665
2020-08-25,-0.006332522736305357
2020-08-26,-0.004082200192077057
2020-08-27,-0.008797295662601345
2020-08-28,-0.00387476849768309
2020-08-31,-0.004025243718605687
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,-0.009359334250159668
2020-09-04,-0.014962928968183409
2020-09-08,-0.021797259823182702
2020-09-09,-0.015305630844409168
2020-09-10,-0.019646710665440215
2020-09-11,-0.018469365578292707
2020-09-14,-0.013762399172074447
2020-09-15,-0.01130825376954725
2020-09-16,-0.010502875150090407
2020-09-17,-0.012123263349041236
2020-09-18,-0.015375164940327979
2020-09-21,-0.023474298260551696
2020-09-22,-0.02215796668557979
2020-09-23,-0.03181042649410637
2020-09-24,-0.030693307421886806
2020-09-25,-0.027586886885776596
2020-09-28,-0.020652405190070056
2020-09-29,-0.021196353453722505
2020-09-30,-0.020932966273436104
2020-10-01,-0.017266489666157625
2020-10-02,-0.019804922121168467
2020-10-05,-0.01613347087628747
2020-10-06,-0.018494505534981442
2020-10-07,-0.015707438741807023
2020-10-08,-0.010684541748951948
2020-10-09,-0.006920322768077414
2020-10-12,-0.003206102701888147
2020-10-13,-0.005904813916896345
2020-10-14,-0.0070034448915333725
2020-10-15,-0.007676114359441377
2020-10-16,-0.009096334205645928
2020-10-19,-0.01316226803280851
2020-10-20,-0.011774466459503974
2020-10-21,-0.013032658847701883
2020-10-22,-0.014308051832206514
2020-10-23,-0.012406998437793582
2020-10-26,-0.016973442618532064
2020-10-27,-0.015737352504501922
2020-10-28,-0.027755311208482514
2020-10-29,-0.02799460323539893
2020-10-30,-0.032562342192545723
2020-11-02,-0.025453682816890533
2020-11-03,-0.01992730585489766
2020-11-04,-0.009137998565255212
2020-11-05,-0.000996440805349219
2020-11-06,-0.004155843842693296
2020-11-09,-0.005950137480299045
2020-11-10,-0.005130878828174423
2020-11-11,-0.0024831303534974536
2020-11-12,-0.002894247148335971
2020-11-13,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,-0.002718389906978036
2020-11-19,0.0
2020-11-20,0.0
2020-11-23,-0.0008424899584110745
2020-11-24,0.0
2020-11-25,0.0
2020-11-27,0.0
2020-11-30,-0.004131649766055179
2020-12-01,-0.0015144997139477923
2020-12-02,-0.0014546995606422586
2020-12-03,0.0
2020-12-04,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,-0.004673009555485885
