0,NVDA,MSFT,AAPL,AMZN,GOOG,META,AVGO,TSLA,LLY,JPM,V,WMT,MA,NFLX,ORCL,XOM,COST,HD,PG,BAC,ABBV,KO,PM,UNH,CRM,CSCO,WFC,CVX,ABT,MCD,LIN,AMD,MRK,TMO,DIS,PEP,ACN,TXN,VZ,AMGN,ADBE,NEE,DHR,PFE,HON,NKE,UPS,BMY
2019-12-27,5.983416320008272,152.30188693097045,71.17143628217687,95.06999969482422,68.10561554439893,208.13493362259103,27.72228519121235,29.020666122436523,123.29059889072973,120.34073029640857,182.99209100032684,37.09181848248709,292.78363359699284,333.82000732421875,49.68248606709975,54.67914312338123,272.00813800749995,196.6142871168714,110.95884343057246,31.54356119318365,72.17338591945597,47.48868997576162,65.9307708407835,275.5289180349641,164.54097395878247,40.81319966470962,47.31849850923973,96.04782784748362,80.00331952855231,176.7747009606561,199.2629804266761,46.880001068115234,75.07934000163932,323.73949595477137,144.72215595961538,119.15856054883596,197.56791087318672,111.3522553708994,45.95239335537892,206.9138975280948,332.8800048828125,53.96115153982775,133.30510836247925,29.852261816284724,159.82145749357696,96.10078664767842,99.1216404213761,53.308074094121686
2019-12-30,5.880348085361016,151.79596831979984,70.86153534910308,94.1999969482422,67.6049326402167,207.10883500720053,27.546925503699107,28.600000381469727,123.44029511654776,120.607618563869,182.59698404493167,37.05162368687321,292.31759344894255,329.19000244140625,49.39623029040008,54.780246955053,271.37470846658863,195.46186285384056,110.67773127997192,31.48174804083924,71.73368425020358,47.43729978768109,66.10620942306592,275.52885347982385,164.0238643142018,40.694216504178,47.26622563990694,96.08743241074984,80.03979140431508,176.17796512470971,197.998156039729,46.16999816894531,75.07116483919657,323.5023536727776,144.08995936632564,119.49634467111603,197.20555375146787,110.96359752430376,46.00458328730146,206.9052859279737,330.4700012207031,53.83890612683022,132.9574477602655,29.70156805292837,159.60501713348742,95.93084787799826,98.89767084723812,53.4407297151077
2019-12-31,5.867402948252175,150.60273091885034,71.10123409050465,92.66300201416016,66.79087018476127,204.77775098644787,27.4627313234985,28.086000442504883,123.05672303378378,120.0910137258837,181.1707904377819,37.048542245823256,290.25915042767804,324.9200134277344,48.94372839067224,54.2825171958535,271.2278053758257,193.70660393969283,109.8079695717214,31.137344656164885,70.8303206683888,47.4287405842347,65.51127491302842,273.2524915021933,162.35318472289845,40.77920583891567,46.88294300287431,95.52517531590794,79.31042311046595,176.3115737500222,198.01675776884687,46.09000015258789,74.49803789379591,321.35828556366766,143.00338803471985,118.8813975225157,196.1091198595257,110.8944838883136,45.788330078125,205.61101251102448,329.94000244140625,53.9211371629935,133.47895680820653,29.5358108915568,159.6771504955056,95.72316682748736,97.13075064413734,53.233459064891605
2020-01-02,5.972709655761719,153.4282456163035,72.77660582997152,94.90049743652344,68.18681335449219,208.9916611857842,27.995733476428367,28.71333312988281,123.74909500383616,121.4858369461578,184.19667628188392,37.0763709652469,294.72564535600634,329.9800109863281,49.83025514936075,55.23129618883127,270.4291342697384,194.8147149559202,109.57955604632758,31.4905718975276,71.60577644625867,47.47156323691788,65.72483253174403,274.7484243863159,166.14204221418396,41.455711364746094,47.07458972716379,96.3170737890476,79.28305254473686,178.85004106082025,199.439630507798,49.25,75.43957232719664,323.0379356661334,146.39154052734375,118.85541253804804,196.9082026466264,111.9482321181826,45.82560962864985,207.08415853293377,334.4800109863281,54.16341478312189,134.92168711937933,29.64882290094288,163.03156326966578,96.49732762319076,97.860753613615,53.43396071873618
2020-01-03,5.920928372082976,152.68370535175205,72.77172916472097,94.30999755859376,68.43940351728152,209.5993432329334,27.778713567161965,30.26666641235352,123.94557111759822,120.6453616683011,184.0232287044176,36.73619744328084,293.64778126797967,329.8599853515625,49.913371204107314,55.5034892139576,268.8869294364774,194.74380013502503,108.52530900351242,31.04020662353561,71.46187043835558,47.09474023742893,65.54939966665913,271.19903874205846,165.843697969376,41.21597596903416,46.70872588752333,97.1802504272379,79.01866517183538,178.62733381885755,194.41762688495075,49.38999938964844,75.38230260819388,321.4076234359329,146.09517482875722,118.47432822160924,195.70959194087817,111.6373031895166,45.33342471576533,204.58916337894647,332.9800109863281,53.64774616140787,134.9824919915984,29.56594418826424,162.15691458719832,96.29907930752763,96.93996464841815,52.87456770689029
2020-01-06,5.906986253744551,151.87230794316667,72.62165386110323,95.18450164794922,69.66345923216974,211.9702928450579,27.2509131155201,30.10400009155273,124.02974414128728,119.81351488453106,182.3368282632324,36.5197162844152,292.5893546624478,336.3599853515625,50.05188734902874,55.4957116527313,268.12495412404087,195.0275037652705,108.22660685296866,30.81943088218241,71.64574148702965,47.02622565293445,65.6790617218071,270.9946157827947,172.70536677190873,40.942012387392325,46.34286520491322,96.34875965905424,78.73601933428824,180.60467315320992,191.90663348465657,48.86000061035156,75.11209584769635,321.4472871950245,144.24800259144735,118.06727032541514,193.9999197504079,109.9789305529937,45.18427655458885,204.7509851745498,333.9100036621094,53.92336258945304,134.50445352703173,29.38511943787473,160.84940424538075,96.14800096182132,96.41736281059336,52.79943657419093
2020-01-07,6.019016870261898,152.4164068417858,72.84923143823697,95.69450378417967,69.92153470711604,213.76344186963544,27.481821490087967,31.441999435424805,124.3759501153731,119.4582259052748,183.19447755685007,36.34344121959267,294.5800155876723,336.70001220703125,50.17193712223591,54.84245406521907,267.7761113616746,195.52389993507572,108.24416815296648,30.83709307777413,71.58178574073601,46.76073024877076,66.2282446552573,270.8366104014331,175.88757792584047,40.85638042764191,46.21219035017111,94.81251248117036,78.6813250721013,180.52451922575764,192.27862017430465,49.38999938964844,74.60447850022508,325.31058257093144,145.07774833103207,117.8507591583146,191.6491278169012,113.06245666376662,44.87851714621204,204.36778554413667,334.7900085449219,53.83667467156808,136.16451919087513,29.483074507087963,160.56987384324626,96.99768989265048,96.591561831277,53.58423372381166
2020-01-08,6.025738074340732,153.49510448810574,73.70627127642481,95.5500030517578,70.33751521494523,215.41712371504224,27.213587193458817,33.232666015625,125.57358363290784,119.21561255104184,185.5072817944247,36.09912843954117,298.4441263623912,342.70001220703125,50.64569458363779,54.66359459635566,271.2553306905442,197.66035184647885,108.4374381062292,31.07551956597669,71.99750148219597,46.794979197970335,67.38759176740943,276.3093192609515,177.85659322760452,40.91631999838461,46.45610310369042,94.3056691116354,79.00953595985139,184.0961326076429,193.61781693586605,48.29999923706055,73.27808201748414,326.644395218855,144.34678935232623,117.23582394308728,190.8965234357409,112.77741518175908,44.818864019347394,204.01013537305545,339.2300109863281,54.001163743007744,137.09446338656196,29.550882241162995,161.49867940705866,96.43125003738152,97.52064345839932,53.94324918244642
2020-01-09,6.122583429791417,154.85058515825207,75.15648731833909,95.89099884033205,71.17597625297427,217.5489814496444,27.170181657265427,33.25333404541016,127.58528004480458,119.77882006270964,186.8757167732184,36.2970537644374,302.32349275923417,343.4200134277344,50.83121574930305,54.36030618416064,277.20411606257164,199.9474933497776,108.8328048414209,31.199160828473502,72.133393320762,47.44586825051688,67.63166397544633,276.1420633551723,178.90075378577063,40.99337568173184,46.34285839447815,93.379197407117,79.02777813329081,186.48319830479096,195.0593019871988,49.959999084472656,73.72840979377708,326.9112595614929,144.84069034246556,117.25313775548967,192.5968793607641,113.7879785545274,44.75785260070122,204.1037615533333,341.8099975585937,54.19452620705924,138.05046364159332,29.588545020308985,161.7962105836898,96.68616489926116,97.74462594790998,54.92007444014829
2020-01-10,6.1878085769213,155.8051735619528,75.69879404161257,95.34700012207033,71.48784974028622,219.04327557723664,26.5243296755935,32.3293342590332,129.37234999654154,118.92964320149046,187.5021130245705,36.2877691807948,303.3055032182227,338.5,50.6920850184004,54.40695171232019,275.65265055466523,199.89433806762685,109.21935080564518,30.969552792733683,72.18137206292865,47.89977213174164,67.88336726550058,275.09221037642254,179.67642632586845,40.71940266087066,46.08152951872575,93.1970487922376,79.31040153345782,186.1091106075892,197.0030254529021,49.290000915527344,73.77751852871992,328.01791373424766,143.72447560703858,117.28777675006128,193.55394724262388,113.84843938849652,44.682496457725975,205.1596983859196,343.3599853515625,54.39012992231246,137.82452693742658,29.85980363071417,162.2200070292259,96.23298978654876,97.11415022033532,55.07872004588428
