0,drawdown
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,0.0
2020-06-08,0.0
2020-06-09,0.0
2020-06-10,0.0
2020-06-11,-0.01800245685885049
2020-06-12,-0.0369188677153367
2020-06-15,-0.04032461544040522
2020-06-16,-0.012200293199863377
2020-06-17,-0.011519914381476593
2020-06-18,-0.013860025116741226
2020-06-19,-0.0050610985745109804
2020-06-22,-0.009200101774889169
2020-06-23,0.0
2020-06-24,-0.00987235944749254
2020-06-25,-0.016798093483210597
2020-06-26,-0.0163087738841875
2020-06-29,-0.02722154006012667
2020-06-30,-0.008813852899334673
2020-07-01,0.0
2020-07-02,0.0
2020-07-06,0.0
2020-07-07,0.0
2020-07-08,-0.0010913776898746619
2020-07-09,0.0
2020-07-10,0.0
2020-07-13,0.0
2020-07-14,-0.022699844459691865
2020-07-15,-0.009924978542001472
2020-07-16,-0.012617695629715153
2020-07-17,-0.013792170770908996
2020-07-20,-0.008405690284511769
2020-07-21,-0.0003847259623794841
2020-07-22,-0.004879142839204542
2020-07-23,-0.002543253692056102
2020-07-24,-0.011031606097803737
2020-07-27,-0.0010010347933259167
2020-07-28,0.0
2020-07-29,0.0
2020-07-30,0.0
2020-07-31,0.0
2020-08-03,0.0
2020-08-04,0.0
2020-08-05,0.0
2020-08-06,0.0
2020-08-07,0.0
2020-08-10,0.0
2020-08-11,-0.006280427254071741
2020-08-12,0.0
2020-08-13,0.0
2020-08-14,0.0
2020-08-17,0.0
2020-08-18,0.0
2020-08-19,-0.00012496583148768892
2020-08-20,-0.002375231401193556
2020-08-21,0.0
2020-08-24,0.0
2020-08-25,0.0
2020-08-26,0.0
2020-08-27,0.0
2020-08-28,0.0
2020-08-31,0.0
2020-09-01,0.0
2020-09-02,0.0
2020-09-03,-0.009057510617887066
2020-09-04,-0.032302783964683224
2020-09-08,-0.05351024521039904
2020-09-09,-0.04668052328241723
2020-09-10,-0.046990204337468144
2020-09-11,-0.05901898595425514
2020-09-14,-0.04951503639292909
2020-09-15,-0.04106646656377466
2020-09-16,-0.034213456409919685
2020-09-17,-0.05864968832599804
2020-09-18,-0.05333256242180251
2020-09-21,-0.06077339018592809
2020-09-22,-0.057632267673257354
2020-09-23,-0.05601894900740911
2020-09-24,-0.07275782633208572
2020-09-25,-0.06410428820886016
2020-09-28,-0.04578259497897941
2020-09-29,-0.0454796346565246
2020-09-30,-0.037523875565660725
2020-10-01,-0.02580906698400809
2020-10-02,-0.03543259754913364
2020-10-05,-0.032544564369894835
2020-10-06,-0.02686774102736056
2020-10-07,-0.018783300727505003
2020-10-08,-0.012858860763763635
2020-10-09,-0.009348414970775654
2020-10-12,0.0
2020-10-13,0.0
2020-10-14,0.0
2020-10-15,-0.017449219222598344
2020-10-16,-0.00839047493568057
2020-10-19,-0.013827352563305473
2020-10-20,-0.023067857679241133
2020-10-21,-0.0305807663802099
2020-10-22,-0.03494245499968196
2020-10-23,-0.036007928650852006
2020-10-26,-0.04106555743286777
2020-10-27,-0.04509655227728171
2020-10-28,-0.06522305197977152
2020-10-29,-0.06436816894061359
2020-10-30,-0.07488200391283972
2020-11-02,-0.07168886071429481
2020-11-03,-0.05584131430369421
2020-11-04,-0.02819432146326417
2020-11-05,-0.01953464637679103
2020-11-06,-0.019752689800391687
2020-11-09,-0.00021059801821332602
2020-11-10,-0.025675452635978924
2020-11-11,-0.018894332707547923
2020-11-12,-0.022182264469995827
2020-11-13,-0.022859245040258602
2020-11-16,-0.01417710137986894
2020-11-17,-0.010464069945635313
2020-11-18,-0.006987710863625485
2020-11-19,-0.01671720373983343
2020-11-20,-0.014983852340155979
2020-11-23,-0.013711693189470409
2020-11-24,-0.0038164128082274207
2020-11-25,-0.001649010989265065
2020-11-27,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,-0.006323490619212113
2020-12-03,-0.005311091004890134
2020-12-04,-0.006683433533210104
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,-0.010702268269348392
2020-12-11,-0.011201998928005663
2020-12-14,0.0
2020-12-15,-0.004132121369684771
2020-12-16,0.0
2020-12-17,0.0
