Date,AAPL,AMGN,AMZN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT
2018-05-25,44.473331451416016,140.8680877685547,80.50749969482422,90.87816619873048,346.5774841308594,131.81332397460938,126.1085205078125,34.221099853515625,87.28056335449219,97.103271484375,196.47056579589844,153.69931030273438,115.90657043457033,98.3272933959961,97.97532653808594,88.96533966064453,33.10953903198242,135.38162231445312,126.79354095458984,44.09911346435547,91.07521057128906,64.9770736694336,6.17026424407959,60.709739685058594,122.05023193359376,110.3314208984375,214.56912231445312,124.36022186279295,31.76529693603516,24.431127548217773
2018-05-29,44.31298065185547,140.2357940673828,80.64350128173828,87.83992004394531,339.2530517578125,129.92724609375,125.0441436767578,33.9917106628418,86.70911407470703,94.71843719482422,189.79928588867188,152.17752075195312,114.01402282714844,96.67073822021484,96.30571746826172,85.16268157958984,33.32820129394531,133.233154296875,124.6976089477539,43.58416366577149,90.75111389160156,63.78095626831055,6.153184413909912,60.497337341308594,120.7184829711914,107.9568862915039,212.1339569091797,122.85401153564452,31.555805206298828,24.413352966308597
2018-05-30,44.2186393737793,142.44874572753906,81.24449920654297,88.98150634765625,344.748779296875,131.4834747314453,127.42913818359376,33.89677429199219,89.40201568603516,94.9939956665039,192.2574615478516,154.7583465576172,115.73733520507812,97.62906646728516,97.5720443725586,87.10822296142578,33.67959213256836,134.2285919189453,126.57052612304688,44.56929397583008,91.62151336669922,64.95912170410156,6.262094020843506,61.18360900878906,119.87216186523438,109.60725402832033,214.5603790283203,123.75395965576172,31.81766891479492,24.922950744628903
2018-05-31,44.070068359375,141.95875549316406,81.48100280761719,88.36127471923828,338.9450378417969,128.48098754882812,127.45870971679688,33.78602600097656,88.78775024414062,94.50942993164062,189.50558471679688,154.31167602539062,113.79095458984376,96.73230743408205,96.48316955566406,86.03092193603516,33.57807159423828,132.72723388671875,125.64683532714844,44.42748641967773,91.5196304321289,64.57238006591797,6.24229097366333,59.77838134765625,118.00521087646484,108.21793365478516,211.5557861328125,123.82975006103516,31.208816528320312,24.45483016967773
2018-06-01,44.86482238769531,145.08055114746094,82.0770034790039,88.31632232666016,343.3339233398437,129.8426971435547,128.6314697265625,34.53752899169922,88.46629333496094,94.4049072265625,191.57781982421875,154.97340393066406,115.46803283691406,97.17046356201172,97.8059310913086,87.14842224121094,33.67178726196289,132.8607635498047,127.15028381347656,45.1961784362793,93.32521057128906,65.6185302734375,6.376697063446045,60.00715255737305,120.10552978515624,108.86627960205078,213.1675720214844,123.9529037475586,31.300472259521484,24.58816146850586
2018-06-04,45.23979949951172,146.55844116210938,83.26349639892578,89.39498901367188,347.1934814453125,128.97999572753906,130.73065185546875,34.4742431640625,87.3305435180664,95.24103546142578,192.8698883056641,158.29043579101562,115.50650787353516,97.91658020019533,98.36249542236328,87.1886215209961,33.96071243286133,133.7456512451172,128.08676147460938,46.285789489746094,94.14004516601562,66.58351135253906,6.555655956268311,60.60354995727539,120.36998748779295,109.22832489013672,214.28878784179688,126.0558853149414,31.30701065063477,25.30811309814453
2018-06-05,45.58882522583008,143.62632751464844,84.81749725341797,89.2691421508789,346.58709716796875,129.4113311767578,132.1793975830078,34.54544448852539,87.66626739501953,94.95597839355467,191.56948852539065,158.7701873779297,115.29881286621094,98.36839294433594,97.9833984375,86.69821166992188,33.66397476196289,133.1279296875,128.17593383789062,45.81560897827149,94.6215362548828,66.78192138671875,6.561102390289307,60.43196487426758,121.48391723632812,108.7652359008789,214.11361694335935,126.5200653076172,31.405221939086918,25.07108688354492
2018-06-06,45.746829986572266,145.0647430419922,84.7874984741211,90.76130676269533,357.6170654296875,132.37155151367188,133.5886993408203,35.01216506958008,88.13056182861328,96.82774353027344,194.8330841064453,160.13507080078125,116.16813659667967,99.05974578857422,99.04000091552734,88.72417449951172,33.93727493286133,135.54876708984375,129.87051391601562,46.21862030029297,94.8992919921875,67.41322326660156,6.563083171844482,60.742435455322266,123.083251953125,108.42843627929688,217.8102264404297,129.09669494628906,31.69327735900879,25.05331802368164
2018-06-07,45.624210357666016,144.86715698242188,84.46499633789062,91.21975708007812,354.7007751464844,132.18544006347656,130.98690795898438,34.52962875366211,90.68775177001952,97.35982513427734,195.85662841796875,162.26922607421875,117.00666809082033,99.50469970703124,99.47555541992188,89.07791137695312,33.92165756225586,141.47552490234375,130.64134216308594,46.26339340209961,93.40853118896484,67.4222412109375,6.507390022277832,61.89437484741211,122.93080139160156,109.92779541015624,218.0992889404297,126.78528594970705,32.08608627319336,25.168869018554688
2018-06-08,45.20913314819336,145.65750122070312,84.19950103759766,90.78827667236328,355.6343688964844,131.3650360107422,131.59791564941406,34.395137786865234,90.31632232666016,98.79450988769533,195.8062744140625,164.05592346191406,116.82976531982422,100.0386734008789,100.06436920166016,89.3271255493164,34.31991958618164,140.9997100830078,131.60963439941406,46.703712463378906,94.10301971435548,67.5484848022461,6.492044448852539,63.05447769165039,123.85492706298828,111.24080657958984,219.5884552001953,127.63784790039062,32.1973991394043,24.994054794311523
2018-06-11,45.09830093383789,145.90255737304688,84.45600128173828,90.9680633544922,357.0203552246094,132.19395446777344,132.04141235351562,34.561256408691406,91.11634063720705,99.14604949951172,196.3935546875,165.13955688476562,116.83745574951172,100.33984375,98.93517303466795,89.10202026367188,34.460472106933594,138.97962951660156,130.6731414794922,46.51714324951172,93.56595611572266,67.26891326904297,6.450954914093018,63.340431213378906,124.00115203857422,110.54615783691406,222.30393981933597,126.85160064697266,32.27595520019531,24.976280212402344
2018-06-12,45.34592819213867,146.26602172851562,84.9375,90.54557800292967,356.7123413085937,133.20037841796875,134.28843688964844,34.759033203125,90.77349090576172,99.12706756591795,195.1686553955078,166.5209503173828,117.13746643066406,100.53836059570312,98.8383560180664,88.58751678466797,34.67912292480469,139.17991638183594,130.54574584960938,46.5992317199707,93.80672454833984,66.99835968017578,6.499468326568604,63.10352325439453,125.2209014892578,109.76685333251952,222.12876892089844,127.7514877319336,31.955162048339844,24.917030334472656
2018-06-13,44.97330856323242,145.16748046875,85.24299621582031,89.90736389160156,350.1963806152344,130.84918212890625,134.52496337890625,34.81440353393555,90.76634979248048,101.00831604003906,196.1753692626953,165.6938018798828,116.8066635131836,100.18240356445312,98.91096496582033,88.41063690185547,34.4995231628418,139.0547332763672,130.5266571044922,46.711185455322266,93.38078308105467,66.83602905273438,6.49501371383667,62.474422454833984,123.26371002197266,109.88540649414062,221.5068206787109,127.31572723388672,31.03205299377441,24.9140625
2018-06-14,44.99689102172852,146.83505249023438,86.19300079345703,89.6736831665039,348.820068359375,129.52127075195312,136.40733337402344,35.352317810058594,90.3663330078125,103.3266372680664,196.02435302734372,165.16436767578125,116.32201385498048,99.3952178955078,98.7335205078125,86.85098266601562,34.334075927734375,139.44703674316406,129.72396850585938,46.29753494262695,93.9085922241211,67.36811065673828,6.606647968292236,62.08227157592773,124.83505249023438,109.15692901611328,223.6617126464844,127.8841552734375,31.30701065063477,24.825178146362305
2018-06-15,44.534664154052734,146.21864318847656,85.79850006103516,88.55902862548828,344.45037841796875,126.88246154785156,136.40733337402344,35.00425338745117,88.60201263427734,103.42163848876952,194.57296752929688,165.8840789794922,115.57575225830078,99.52522277832033,98.89485931396484,86.74644470214844,34.759517669677734,138.9545440673828,130.57760620117188,46.65100860595703,92.714111328125,68.39623260498047,6.565804958343506,63.21785354614258,125.11821746826172,109.58894348144533,225.0242919921875,127.9788818359375,31.46414566040039,24.79850959777832
2018-06-18,44.511077880859375,145.38082885742188,86.18949890136719,88.51407623291016,341.4281921386719,125.7491455078125,137.77719116210938,34.972618103027344,89.98062133789062,101.72090911865234,194.1283264160156,166.00811767578125,115.36034393310548,98.90230560302734,97.85432434082033,86.97151947021484,34.3104362487793,138.80430603027344,130.0679931640625,45.86886215209961,93.39002990722656,68.18879699707031,6.561598300933838,61.95972442626953,123.94514465332033,108.08110809326172,224.04852294921875,129.02081298828125,31.071334838867188,24.59111595153809
2018-06-19,43.79178237915039,147.1511993408203,86.73899841308594,87.31854248046875,328.3193359375,121.1989517211914,137.50128173828125,34.664093017578125,89.67346954345703,100.80878448486328,191.5526885986328,164.78387451171875,113.30625915527344,98.5052719116211,98.86257934570312,86.46505737304688,34.34982681274414,137.7107696533203,127.0228500366211,45.8989372253418,93.39002990722656,66.9712905883789,6.439815521240234,62.36004638671875,123.71802520751952,108.56395721435548,222.42221069335935,127.9883270263672,31.75220489501953,24.7718505859375
2018-06-20,43.98281097412109,147.40414428710938,87.50399780273438,86.6713638305664,329.8304138183594,121.05514526367188,136.92965698242188,34.60082244873047,89.49488067626953,101.8064193725586,191.13323974609372,164.67626953125,112.7369613647461,97.63590240478516,98.43509674072266,86.45703125,34.081966400146484,135.6990203857422,126.18828582763672,46.08696365356445,94.3252410888672,67.38616943359375,6.492787837982178,61.96790313720703,123.8082046508789,105.87865447998048,222.23760986328125,128.3577880859375,31.48377799987793,24.7718505859375
