,weight
AAPL,0.0
ABBV,7.383866754961966e-17
ABT,0.0003976211997373136
ACN,0.0
ADBE,1.228676204095394e-16
ADI,2.1039051431966677e-16
ADP,8.056128374182413e-17
AMAT,0.0
AMD,1.726265435792952e-16
AMGN,1.94555946452396e-17
AMZN,6.140213568626384e-17
ANET,0.025212036437295426
AVGO,0.0
AXP,0.0
BA,0.0
BAC,0.03842505510848464
BKNG,0.0
BLK,1.0434447604446003e-17
BMY,0.0
BRK-B,1.0012421125941478e-16
BSX,2.3578956025136986e-17
C,2.5694415222778022e-17
CAT,0.0
CB,3.6907897235849274e-17
COP,0.11020257279685015
COST,0.013239744865413268
CRM,1.4827106546291817e-16
CSCO,0.0
CVX,5.381868864075629e-17
DE,0.0
DHR,0.014477153830176798
DIS,9.175242522236471e-17
DUK,4.091833209068916e-17
ELV,0.0
ETN,1.5357648297351412e-17
GE,0.0
GILD,0.009904724008239812
GOOG,0.0201738174919844
GS,0.0
HD,0.11197692076192836
HON,6.072186066195758e-17
IBM,0.0
ICE,0.0
INTU,0.00891587481651867
ISRG,0.0
JNJ,0.0
JPM,0.0
KLAC,1.825077986720374e-16
KO,5.941550454781616e-17
LIN,0.0
LLY,0.026948184908191203
LMT,1.630058152851345e-16
LOW,0.04545920155717828
LRCX,1.261880897673549e-16
MA,7.740843772925937e-18
MCD,0.0
MDLZ,0.0
MDT,1.6237160526947796e-16
META,0.0
MO,0.0
MRK,0.0
MSFT,0.0
MU,0.0
NEE,0.0
NFLX,0.0
NKE,6.093885376166641e-18
NOW,1.9098626220545443e-16
NVDA,0.028451305348459716
ORCL,5.677124310063709e-17
PANW,0.0425392039471653
PEP,1.1243652387257912e-16
PFE,0.19869646928654144
PG,9.109475230687799e-17
PGR,1.4968833965146713e-17
PLD,0.22883011016417354
PLTR,8.263480908432759e-17
PM,0.0
QCOM,0.0
RTX,0.0
SBUX,1.8178635465569787e-17
SCHW,0.0
SO,8.309091412436856e-18
SPGI,3.367337991287432e-17
SYK,1.293545848338183e-16
T,1.376591994268477e-16
TJX,0.0
TMO,0.011594374344850318
TSLA,1.2798468949700176e-16
TXN,0.0
UBER,0.0
UNH,0.024299417516723133
UNP,0.0
UPS,0.0
V,0.0
VRTX,0.0
VZ,0.0
WFC,9.687565946327186e-18
WM,0.04025621161008823
WMT,7.323186115336946e-17
XOM,4.6225206654313994e-17
