0,drawdown
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,-0.0038445358078940117
2022-01-06,-0.016095597577325593
2022-01-07,-0.018858618689777673
2022-01-10,-0.023005018610114614
2022-01-11,-0.01980808277502799
2022-01-12,-0.014500756078055566
2022-01-13,-0.014985707901648992
2022-01-14,-0.028638193704385584
2022-01-18,-0.0397189037461424
2022-01-19,-0.037066794281768956
2022-01-20,-0.040254393380736
2022-01-21,-0.05647063740371838
2022-01-24,-0.07397119779830408
2022-01-25,-0.07655998627334348
2022-01-26,-0.06980411052304014
2022-01-27,-0.0698772090156966
2022-01-28,-0.07036934891904956
2022-01-31,-0.053857189988634424
2022-02-01,-0.0421909395588147
2022-02-02,-0.030886304282235266
2022-02-03,-0.04059132954056632
2022-02-04,-0.04746910428186868
2022-02-07,-0.048842407463128845
2022-02-08,-0.049982398567151476
2022-02-09,-0.03958794320627146
2022-02-10,-0.04291031609117535
2022-02-11,-0.0516163726369967
2022-02-14,-0.06979108763244413
2022-02-15,-0.06034542776581342
2022-02-16,-0.061769007017370425
2022-02-17,-0.06484237158009443
2022-02-18,-0.07163910062755996
2022-02-22,-0.0778455356558374
2022-02-23,-0.08247587062261408
2022-02-24,-0.09383109256086708
2022-02-25,-0.07514247796591433
2022-02-28,-0.0786787555075229
2022-03-01,-0.07862827704766617
2022-03-02,-0.07562708062992174
2022-03-03,-0.07045002245896437
2022-03-04,-0.081419462208148
2022-03-07,-0.08747674156229734
2022-03-08,-0.0964848108104227
2022-03-09,-0.09369853347691348
2022-03-10,-0.1007292457206953
2022-03-11,-0.0946633319516722
2022-03-14,-0.10037933387327158
2022-03-15,-0.09287927209085756
2022-03-16,-0.0756831762734026
2022-03-17,-0.06890939049435241
2022-03-18,-0.05906203270920307
2022-03-21,-0.05448965924652205
2022-03-22,-0.049649862938070166
2022-03-23,-0.05572028875651658
2022-03-24,-0.05614620646635493
2022-03-25,-0.04898418585426323
2022-03-28,-0.046408749723566345
2022-03-29,-0.03075794476165472
2022-03-30,-0.0317081395490294
2022-03-31,-0.0349282682746872
2022-04-01,-0.041510448251678045
2022-04-04,-0.03809510245285552
2022-04-05,-0.03445487126143221
2022-04-06,-0.044568666039972116
2022-04-07,-0.03823835985909185
2022-04-08,-0.036687764422684066
2022-04-11,-0.04331087554317126
2022-04-12,-0.04825783921129978
2022-04-13,-0.05348244391710699
2022-04-14,-0.04965315799790493
2022-04-18,-0.05859189189600522
2022-04-19,-0.052996016451558714
2022-04-20,-0.04598236757370888
2022-04-21,-0.04435200461533262
2022-04-22,-0.0684209252609903
2022-04-25,-0.08773175599917193
2022-04-26,-0.08990311642428006
2022-04-27,-0.09666487140858904
2022-04-28,-0.08281826327150354
2022-04-29,-0.0879694414390656
2022-05-02,-0.10544728823249605
2022-05-03,-0.10397602673643247
2022-05-04,-0.08589703657374737
2022-05-05,-0.09189128146442505
2022-05-06,-0.11021599372800328
2022-05-09,-0.11920834612528919
2022-05-10,-0.11871720062509583
2022-05-11,-0.12183706324897592
2022-05-12,-0.136062296774203
2022-05-13,-0.12193373338076852
2022-05-16,-0.11698682186033116
2022-05-17,-0.10763583800900989
2022-05-18,-0.11983498133783954
2022-05-19,-0.1464184632037655
2022-05-20,-0.14447939246712382
2022-05-23,-0.1345085103635404
2022-05-24,-0.13642789816907563
2022-05-25,-0.13023044130979222
2022-05-26,-0.1152505583528397
2022-05-27,-0.10267603055974894
2022-05-31,-0.09931635403143646
2022-06-01,-0.09817475326820835
2022-06-02,-0.09662371075062581
2022-06-03,-0.10007735399063877
2022-06-06,-0.09515610205764635
2022-06-07,-0.10134395605393687
2022-06-08,-0.10042272497071336
2022-06-09,-0.10563794033052365
2022-06-10,-0.13603098783725176
2022-06-13,-0.16041020113583715
2022-06-14,-0.16832392419821807
2022-06-15,-0.1608130694602098
2022-06-16,-0.18092342500550507
2022-06-17,-0.1786475811228999
2022-06-21,-0.163853325396617
2022-06-22,-0.16017272759405365
2022-06-23,-0.1553877864188583
2022-06-24,-0.13621274326949562
2022-06-27,-0.1322011402601826
2022-06-28,-0.13145407455080382
2022-06-29,-0.1506626820911673
2022-06-30,-0.1559140333545147
2022-07-01,-0.15294666223995135
2022-07-05,-0.15253289431770467
2022-07-06,-0.14457001542343806
2022-07-07,-0.14038625249720438
2022-07-08,-0.1375947827667613
2022-07-11,-0.14160289296380346
2022-07-12,-0.14252584874840535
2022-07-13,-0.15367589716385455
2022-07-14,-0.1611269472706207
2022-07-15,-0.14280974054512485
2022-07-18,-0.13609274864681586
2022-07-19,-0.13241090797388755
2022-07-20,-0.12420599271878352
2022-07-21,-0.12109072504902785
2022-07-22,-0.11682565520256716
2022-07-25,-0.12310379188836573
2022-07-26,-0.12621979680292683
2022-07-27,-0.11553929307969024
2022-07-28,-0.10350983119448465
2022-07-29,-0.095753593531677
2022-08-01,-0.09318122251606342
2022-08-02,-0.09614431048564975
2022-08-03,-0.09296483073106443
2022-08-04,-0.09230602697180168
2022-08-05,-0.0971231037574688
2022-08-08,-0.08986630122801875
2022-08-09,-0.09735990094642677
2022-08-10,-0.08443283579203065
2022-08-11,-0.07575119563631705
2022-08-12,-0.0745693212918832
2022-08-15,-0.06812776738959736
2022-08-16,-0.06143624069243836
2022-08-17,-0.06567585209969984
2022-08-18,-0.06627977748753588
2022-08-19,-0.07060710523430125
2022-08-22,-0.08561897268141283
2022-08-23,-0.09327940911577426
2022-08-24,-0.09649290113552
2022-08-25,-0.09077329065185502
2022-08-26,-0.08857060056391053
